,y,Ethiopia - Djibouti EL existing trade link,Ethiopia - Kenya EL planned trade link,Ethiopia - Sudan EL existing trade link
8,2023.0,-5.3927,-4.4378,-5.9918
9,2024.0,-2.8625,-21.0686,-4.7382
10,2025.0,-5.3927,-57.5959,0.0
11,2026.0,-5.3927,-53.454,-5.9918
12,2027.0,-5.3927,-50.158,-5.9918
13,2028.0,-5.3927,-49.2352,-5.9918
14,2029.0,-5.3927,-46.8855,-5.9918
15,2030.0,-4.3904,-59.9077,1.9865
16,2031.0,-5.0513,-59.9184,-0.19889999999999985
17,2032.0,-5.0969,-59.9184,-2.4703
18,2033.0,-4.8829,-59.9184,-2.9682000000000004
19,2034.0,-4.7105,-59.5864,-2.8771000000000004
20,2035.0,-4.8829,-59.9184,-3.2418
21,2036.0,-4.7491,-59.9184,-3.2695999999999996
22,2037.0,-4.3788,-59.9184,-3.3655
23,2038.0,-4.3788,-59.9184,-3.117
24,2039.0,-4.3788,-59.9184,-2.876
25,2040.0,-5.0122,-59.9184,-1.6867
26,2041.0,-5.1654,-59.9184,-1.6867
27,2042.0,-4.9668,-59.9184,-1.6867
28,2043.0,-4.8885,-59.9184,-1.3852000000000002
29,2044.0,-4.8885,-59.9184,-1.3877000000000002
30,2045.0,-4.8885,-59.9184,-1.8047999999999997
31,2046.0,-4.8885,-59.9184,-2.4291
32,2047.0,-4.8885,-59.9184,-2.6307
33,2048.0,-4.8885,-59.9184,-2.0084
34,2049.0,-4.8209,-59.9184,-2.6307
35,2050.0,-5.1278,-59.9184,-2.4885
36,2051.0,-5.3239,-59.9184,-2.5641999999999996
37,2052.0,-5.3927,-59.9184,-2.6307
38,2053.0,-5.3927,-59.9184,-1.6867
39,2054.0,-5.3927,-59.9184,-1.6867
40,2055.0,-5.3927,-59.9184,-1.6867
41,2056.0,-5.3927,-59.9184,-1.4493999999999998
42,2057.0,-5.3927,-59.9184,-1.8509000000000002
43,2058.0,-5.3927,-59.9184,-1.8509000000000002
44,2059.0,-5.3927,-59.9184,-1.8509000000000002
45,2060.0,-5.3927,-59.9184,-1.8585000000000003
46,2061.0,-5.3927,-59.9184,-1.2443
47,2062.0,-5.3927,-59.9184,-1.1511
48,2063.0,-5.3927,-59.9184,-1.4803000000000002
49,2064.0,-5.282,-59.9184,-2.2766
50,2065.0,-4.8829,-59.9184,-2.0564
51,2066.0,-4.8829,-59.9184,-2.7949
52,2067.0,-4.8829,-59.9184,-2.3246
53,2068.0,-4.8829,-59.9184,-2.7949
54,2069.0,-4.8829,-59.9184,-3.7388000000000003
55,2070.0,-4.8829,-59.9184,-3.7388000000000003
