,y,Gas,Hydro,Solar PV,Wind,Geothermal
6,2023.0,0.0,7.088,0.0,0.0,0.2
7,2024.0,0.0,0.0,0.0,0.0,0.25
8,2025.0,0.0,1.025,0.0,0.0,0.2
9,2027.0,0.0,0.0,0.0,0.035,0.0
10,2028.0,0.0,0.0,0.0,0.718,0.0
11,2029.0,0.0,0.0,0.5,0.313,0.0
12,2030.0,0.96,0.0,0.5,0.0,0.0
13,2031.0,0.0,0.0,1.5,0.395,0.0
14,2032.0,0.0,0.0,1.398,0.482,0.0
15,2033.0,0.058,0.0,0.0,1.17,0.0
16,2034.0,0.135,0.0,0.0,1.046,0.0
17,2035.0,0.0,0.0,0.0,2.772,0.0
18,2036.0,0.109,0.0,0.0,1.916,0.0
19,2037.0,0.121,0.0,0.0,1.756,0.0
20,2038.0,0.2,0.0,0.094,1.545,0.0
21,2039.0,0.084,0.0,1.5,1.042,0.0
22,2040.0,0.156,0.0,1.5,1.32,0.0
23,2041.0,0.017,0.0,2.027,0.638,0.0
24,2042.0,0.237,0.0,0.0,1.622,0.0
25,2043.0,0.19,0.0,0.573,1.42,0.0
26,2044.0,0.254,0.0,0.5,1.559,0.0
27,2045.0,0.164,0.0,0.424,2.549,0.0
28,2046.0,0.0,0.0,2.255,1.268,0.0
29,2047.0,0.0,0.0,2.722,0.678,0.0
30,2048.0,0.0,0.0,2.039,2.058,0.0
31,2049.0,0.0,0.0,2.449,1.956,0.0
32,2050.0,0.0,0.0,3.0,1.701,0.0
33,2051.0,0.0,0.0,2.514,0.034,0.0
34,2052.0,0.0,0.0,2.868,0.0,0.0
35,2053.0,0.0,0.0,3.0,0.736,0.0
36,2054.0,0.0,0.0,3.0,0.634,0.0
37,2055.0,0.0,0.0,3.332,0.0,0.0
38,2056.0,0.0,0.0,3.462,1.079,0.0
39,2057.0,0.0,0.0,3.5,1.138,0.0
40,2058.0,0.0,0.0,3.5,0.875,0.0
41,2059.0,0.0,0.0,3.5,1.357,0.0
42,2060.0,0.0,0.0,3.5,5.077,0.0
43,2061.0,0.0,0.0,3.029,1.598,0.0
44,2062.0,0.0,0.0,3.076,1.41,0.0
45,2063.0,0.0,0.0,3.5,1.426,0.0
46,2064.0,0.0,0.0,3.5,2.077,0.0
47,2065.0,0.0,0.0,3.5,1.61,0.0
48,2066.0,0.0,0.0,3.5,3.731,0.0
49,2067.0,0.0,0.0,4.746,2.818,0.0
50,2068.0,0.0,0.0,4.701,2.863,0.0
51,2069.0,0.0,0.0,3.964,3.807,0.0
52,2070.0,0.0,0.0,5.073,4.443,0.0
