,y,Oil,Gas,Hydro,Solar PV,Wind,Geothermal,Biomass,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2023.0,0.45,0.0,1979.47,0.0,0.0,0.18,0.76,0.0,0.0,0.0
1,2024.0,0.42,0.0,2296.05,0.0,0.0,0.26,0.71,0.0,0.0,0.0
2,2025.0,0.39,0.0,3206.22,0.0,0.0,0.33,0.44,0.15,13.06,0.0
3,2026.0,0.37,0.0,3445.59,0.0,0.0,0.33,0.16,0.0,13.52,0.0
4,2027.0,0.34,0.0,3522.81,0.0,0.0,0.33,0.36,0.0,13.98,0.0
5,2028.0,0.32,0.0,3522.81,0.0,0.0,0.33,0.31,0.0,14.47,0.0
6,2029.0,0.29,0.0,3522.81,0.02,0.0,0.33,0.27,0.0,14.97,0.0
7,2030.0,0.26,2.36,3522.81,0.04,0.0,0.33,0.22,0.0,15.45,0.01
8,2031.0,0.24,2.36,3522.81,0.1,0.0,0.33,0.18,0.0,15.9,0.01
9,2032.0,0.21,2.36,3522.81,0.16,0.01,0.33,0.13,0.0,16.36,0.01
10,2033.0,0.18,2.51,3522.81,0.16,0.01,0.33,0.09,0.0,16.86,0.01
11,2034.0,0.16,2.94,3522.81,0.16,0.01,0.33,0.04,0.0,17.34,0.01
12,2035.0,0.13,2.16,3522.81,0.11,0.02,0.33,0.0,0.0,18.05,0.01
13,2036.0,0.11,2.01,3482.44,0.1,0.03,0.33,0.0,0.0,18.6,0.01
14,2037.0,0.08,2.15,3427.42,0.1,0.03,0.33,0.0,0.0,19.16,0.01
15,2038.0,0.05,2.64,3424.68,0.11,0.04,0.33,0.0,0.0,19.74,0.01
16,2039.0,0.03,2.69,3434.27,0.16,0.04,0.33,0.0,0.0,20.33,0.01
17,2040.0,0.0,2.72,3434.27,0.21,0.04,0.33,0.0,0.0,20.94,0.01
18,2041.0,0.0,2.62,3435.02,0.28,0.04,0.33,0.0,0.0,21.42,0.01
19,2042.0,0.0,3.14,3434.27,0.28,0.05,0.33,0.0,0.0,21.91,0.01
20,2043.0,0.0,3.32,3434.27,0.3,0.05,0.33,0.0,0.0,22.42,0.02
21,2044.0,0.0,3.62,3434.27,0.32,0.06,0.33,0.0,0.0,22.93,0.02
22,2045.0,0.0,3.73,3434.27,0.33,0.06,0.29,0.0,0.0,23.45,0.02
23,2046.0,0.0,3.85,3434.27,0.41,0.07,0.23,0.0,0.0,23.99,0.02
24,2047.0,0.0,3.84,3419.73,0.53,0.07,0.2,0.0,0.0,24.53,0.02
25,2048.0,0.0,3.71,3385.81,0.6,0.07,0.14,0.0,0.0,25.09,0.02
26,2049.0,0.0,3.92,3372.67,0.69,0.08,0.06,0.0,0.0,25.67,0.02
27,2050.0,0.0,3.91,3372.67,0.8,0.08,0.0,0.0,0.0,26.25,0.02
28,2051.0,0.0,3.96,3372.67,0.9,0.08,0.0,0.0,0.0,26.71,0.02
29,2052.0,0.0,3.93,3372.67,1.01,0.08,0.0,0.0,0.0,27.19,0.02
30,2053.0,0.0,3.7,3330.83,1.13,0.08,0.0,0.0,0.0,27.66,0.02
31,2054.0,0.0,3.68,3330.83,1.24,0.08,0.0,0.0,0.0,28.15,0.02
32,2055.0,0.0,3.65,3330.83,1.35,0.08,0.0,0.0,0.0,28.65,0.02
33,2056.0,0.0,3.41,3293.85,1.47,0.08,0.0,0.0,0.0,29.15,0.01
34,2057.0,0.0,3.33,3282.83,1.59,0.08,0.0,0.0,0.0,29.66,0.01
35,2058.0,0.0,3.26,3272.6,1.74,0.08,0.0,0.0,0.0,30.17,0.01
36,2059.0,0.0,2.86,3247.14,1.89,0.08,0.0,0.0,0.0,30.7,0.01
37,2060.0,0.0,1.22,3183.77,2.04,0.08,0.0,0.0,0.0,31.23,0.01
38,2061.0,0.0,1.12,3168.52,2.16,0.08,0.0,0.0,0.0,31.67,0.01
39,2062.0,0.0,1.01,3168.52,2.29,0.08,0.0,0.0,0.0,32.1,0.01
40,2063.0,0.0,0.84,3168.52,2.43,0.08,0.0,0.0,0.0,32.55,0.0
41,2064.0,0.0,0.73,3168.52,2.53,0.08,0.0,0.0,0.0,32.99,0.0
42,2065.0,0.0,0.73,3159.63,2.64,0.08,0.0,0.0,0.0,33.45,0.0
43,2066.0,0.0,0.71,3096.65,2.68,0.08,0.0,0.0,0.0,33.9,0.0
44,2067.0,0.0,0.59,3085.31,2.73,0.09,0.0,0.0,0.0,34.36,0.0
45,2068.0,0.0,0.41,3085.31,2.8,0.09,0.0,0.0,0.0,34.83,0.0
46,2069.0,0.0,0.29,3085.31,2.85,0.09,0.0,0.0,0.0,35.3,0.0
47,2070.0,0.0,0.15,3085.31,2.89,0.1,0.0,0.0,0.0,35.78,0.0
