country,country_lo,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8,estimate_9,field_37,field_38,field_39,SAMPLE_1
EGY,Egypt,BbSP} Infinity 1,WKS0069197,50.000000000000000,24.448000000000000,32.716999999999999,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"116.74","117.78",117.480000000000004,117.620000000000005,118.650000000000006,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,
EGY,Egypt,BbSP} Infinity 2,WKS0071521,50.000000000000000,24.417999999999999,32.734999999999999,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"114.78","115.50",118.260000000000005,117.930000000000007,120.379999999999995,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,
EGY,Egypt,BbSP} SP I,WKS0065892,50.000000000000000,24.448000000000000,32.734999999999999,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"115.37","116.18",117.950000000000003,117.930000000000007,119.939999999999998,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,
EGY,Egypt,BbSP} SP II,WKS0065893,150.000000000000000,24.448000000000000,32.728999999999999,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"344.59","346.61",349.920000000000016,349.449999999999989,356.000000000000000,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,
EGY,Egypt,BbSP} Vogt/Hareon,WKS0065479,50.000000000000000,24.417000000000002,32.722999999999999,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"116.18","116.85",117.950000000000003,117.799999999999997,119.599999999999994,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,
EGY,Egypt,BbSP} Vogt/Lekela,WKS0067966,50.000000000000000,24.433000000000000,32.728999999999999,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"116.18","116.38",117.950000000000003,117.799999999999997,119.599999999999994,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,
EGY,Egypt,BbSP} Voltalia,WKS0070745,25.000000000000000,24.430000000000000,32.741000000000000,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,"56.22","56.16",57.939999999999998,57.840000000000003,58.899999999999999,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,,,,
EGY,Egypt,Cairo North,WRI1000070,1500.000000000000000,30.108000000000001,31.265999999999998,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1054342",,,2196.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,6959.090000000000146,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,1443.294067382812500
EGY,Egypt,Cairo South,WRI1000069,715.000000000000000,29.866900000000001,31.291399999999999,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014108",,,2947.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,3317.170000000000073,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,6874.718261718750000
EGY,Egypt,Cairo West,WRI1000068,1360.000000000000000,30.138700000000000,31.167200000000001,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,WRI,"1014109",,,7957.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,6309.579999999999927,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,10278.445312500000000
EGY,Egypt,Damanhour,WRI1000096,458.000000000000000,31.081700000000001,30.429300000000001,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014110",,,1681.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,2124.840000000000146,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,21667.626953125000000
EGY,Egypt,Damietta,WRI1000075,1200.000000000000000,31.381499999999999,31.723600000000001,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014111",,,8328.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,5567.270000000000437,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,15276.938476562500000
EGY,Egypt,Damietta West,WRI1000081,500.000000000000000,31.442299999999999,31.606400000000001,Gas,,,,2012.000000000000000,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014111",,,3042.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,2319.690000000000055,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,
EGY,Egypt,El-Atf,WRI1000093,750.000000000000000,31.185099999999998,30.529100000000000,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1068244",,,5938.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,3479.539999999999964,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,23936.322265625003638
EGY,Egypt,El-Seiuf,WRI1000097,200.000000000000000,31.215800000000002,29.995300000000000,Gas,,,,,,Egyptian Electricity Holding Company,http://www.moee.gov.eg/english_new/report.aspx,GEODB,"1014134",,,302.000000000000000,,,,,,Egyptian Electricity Holding Company,,,,,927.870000000000005,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1,,,,2307.062255859375000
