fid,Plant,MW,Country,MWh,GEN_TYPE,SAMPLE_1,latitude,longitude
114,AL JUBA,12.000000000000000,SOUTH SUDAN,"65550",Oil,149.908355712890625,11.733,28.358
122,AL SINDIAN MILL,14.300000000000001,EGYPT,"70806.3404922969",NG,,30.050,31.250
127,AL-ARISH,66.000000000000000,EGYPT,"289466.434964769",Oil,2094.002929687500000,31.124,33.801
130,AL-AYYAT,0.000000000000000,EGYPT,"0",NG,19079.558593750000000,29.581,31.251
133,ALELTU EAST,0.000000000000000,ETHIOPIA,"0",Water,767.801879882812500,9.780,38.830
134,ALELTU WEST,0.000000000000000,ETHIOPIA,"0",Water,767.801879882812500,9.780,38.830
135,ALEM KETEMA,0.486000000000000,ETHIOPIA,"12.5359505784335",Oil,700.999938964843750,10.083,39.033
136,ALEMAYA,0.000000000000000,ETHIOPIA,"0",Oil,305.683258056640625,9.598,41.880
138,ALEXANDRIA FLOOD,2.500000000000000,EGYPT,"10964.6376880594",Oil,,31.200,29.900
139,ALEXANDRIA I&S,4.000000000000000,EGYPT,"17543.4203008951",Oil,,31.200,29.900
140,ALEXANDRIA WATER WORKS,5.600000000000002,EGYPT,"24560.7884212531",Oil,,31.200,29.900
141,AL-FULA,0.000000000000000,SUDAN,"0",Oil,149.908355712890625,11.732,28.358
151,AL-TAKAMOL CEMENT,45.000000000000000,SUDAN,"129696.475632373",Oil,79.053482055664063,15.501,32.560
153,ALUTO LANGANO,8.500000000000000,ETHIOPIA,"0",Geo,836.448608398437500,7.867,38.700
242,APR ETHYDCO,60.000000000000000,EGYPT,"297089.54052712",NG,9766.102539062500000,31.023,31.384
247,ARAB STEEL WORKS,50.000000000000000,EGYPT,"219292.753761188",Oil,,30.050,31.250
252,ARKYIAI,0.000000000000000,SUDAN,"0",Coal,,19.556,37.235
264,ASAYTA,0.941000000000000,ETHIOPIA,"24.2722829100945",Oil,947.004577636718750,11.564,41.439
268,ASHEGODA-1,30.000000000000000,ETHIOPIA,"72777.7777777778",Wind,783.716796875000114,13.456,39.654
269,ASHEGODA-2,90.180000000000007,ETHIOPIA,"218770",Wind,783.716796875000114,13.456,39.654
271,ASOSSA,0.839000000000000,ETHIOPIA,"21.641280936843",Oil,839.358215332031250,10.067,34.533
274,ASSALAYA,5.400000000000000,SUDAN,"15563.5770758847",Oil,4863.750976562500000,13.254,32.733
275,ASSALAYA FACTORY,26.000000000000000,SUDAN,"15121.0526315789",Biomass,4863.750976562500000,13.258,32.747
276,ASSALAYA FACTORY,1.800000000000000,SUDAN,"5187.8590252949",Oil,4863.750976562500000,13.258,32.747
280,ASWAN,592.000000000000000,EGYPT,"2812768.34572751",Water,3213.451416015625000,24.088,32.899
281,ASWAN HIGH DAM,2100.000000000000000,EGYPT,"9977725.5507226",Water,3213.451416015625000,24.088,32.899
282,ASWAN SOLAR,0.000000000000000,EGYPT,"0",Sun,3213.451416015625000,24.089,32.900
283,ASYUT,90.000000000000000,EGYPT,"394726.956770139",Oil,16312.824218750000000,27.183,31.183
284,ASYUT REFINERY,9.000000000000000,EGYPT,#N/A,#N/A,16312.824218750000000,27.181,31.184
285,ASYUT WORKS,4.835000000000000,EGYPT,#N/A,#N/A,16312.824218750000000,27.181,31.184
286,ATAKA,1550.000000000000000,EGYPT,"7674813.1302839331",NG,,29.967,32.550
290,ATBARA CEMENT PLANT,14.300000000000001,SUDAN,"41214.657812065059",Oil,82.364562988281250,17.700,34.000
300,AWASH 7 KILO,33.600000000000001,ETHIOPIA,"866.68300295342851",Oil,4495.084960937500000,8.400,39.333
301,AWASH SEBAT,40.000000000000000,ETHIOPIA,"1031.7654797064624",Oil,,8.980,40.170
302,AWASH-I (KOKA),45.599999999999994,ETHIOPIA,"204351.87844536063",Water,6377.552246093750000,8.467,39.167
303,AWASH-II,32.000000000000000,ETHIOPIA,"143404.82697920044",Water,6377.552246093750000,8.467,39.167
304,AWASH-III,32.000000000000000,ETHIOPIA,"143404.82697920044",Water,6377.552246093750000,8.467,39.167
305,AWASH-IV,0.000000000000000,ETHIOPIA,"0",Water,6377.552246093750000,8.467,39.167
308,AWEIL,1.210000000000000,SOUTH SUDAN,"6609.625",Oil,1788.369018554687500,16.167,36.350
310,AWLAD EL SHEIKH,0.017000000000000,EGYPT,"26.15",Sun,13716.791015625001819,26.388,31.865
312,AXUM,0.000000000000000,ETHIOPIA,"0",Oil,804.852478027343750,14.124,38.724
318,AYOUN MOUSSA,640.000000000000000,EGYPT,"3168955.098955947",NG,,29.967,32.550
319,AYOUN MOUSSA NOWAIS,0.000000000000000,EGYPT,"0",Coal,,29.967,32.550
320,AYSHA,0.000000000000000,ETHIOPIA,"0",Wind,305.683258056640625,9.593,41.866
340,BAHIR DAR UNIVERSITY,0.010000000000000,ETHIOPIA,"14.964028776978415",Sun,690.202758789062500,11.594,37.391
341,BAHTEEM WWTP,4.000000000000000,EGYPT,"17543.420300895068",Oil,10278.445312500000000,30.125,31.237
349,BALAKS WWTP,14.900000000000000,EGYPT,"65349.240620834127",Oil,231.147537231445313,30.033,31.217
367,BANHA,250.000000000000000,EGYPT,"1096463.7688059416",waste heat,19318.916015625000000,30.459,31.179
368,BANHA,500.000000000000000,EGYPT,"2475746.1710593328",NG,19318.916015625000000,30.459,31.179
379,BARO-AMBO,0.000000000000000,ETHIOPIA,"0",Water,1188.938354492187500,10.700,37.067
402,BEDDEN,0.000000000000000,SOUTH SUDAN,"0",Water,1.771630883216858,4.614,31.263
413,BELES,460.000000000000000,ETHIOPIA,"2061444.3878260069",Water,617.178527832031250,11.680,37.210
422,BENBAN BEA,0.000000000000000,EGYPT,"0",Sun,10011.832031250000000,24.442,32.882
423,BENBAN ENEL,0.000000000000000,EGYPT,"0",Sun,10011.832031250000000,24.442,32.882
424,BENBAN LEKELA,0.000000000000000,EGYPT,"0",Sun,10011.832031250000000,24.442,32.882
425,BENBAN SCATEC,0.000000000000000,EGYPT,"0",Sun,10011.832031250000000,24.442,32.882
439,BENI SUEF,0.000000000000000,EGYPT,"0",NG,4681.857910156250000,29.066,31.099
440,BENI SUEF,0.000000000000000,EGYPT,"0",waste heat,4681.857910156250000,29.066,31.099
449,BENTIU,0.000000000000000,SOUTH SUDAN,"0",Oil,,9.231,29.801
496,BIZET,0.550000000000000,ETHIOPIA,"14.186775345963861",Oil,388.599090576171932,14.282,39.290
527,BONGA,0.770000000000000,ETHIOPIA,"19.861485484349402",Oil,1817.044799804687727,7.272,36.242
535,BOR,2.000000000000000,SOUTH SUDAN,"10925",Oil,80.911109924316406,6.213,31.566
539,BORG EL ARAB,0.000000000000000,EGYPT,"0",NG,2307.062255859375000,31.216,29.955
540,BORG EL ARAB PLANT,6.600000000000000,EGYPT,"32679.849457983197",NG,8494.929687500000000,30.870,29.616
546,BOTOR BECHO SAWMILL,1.000000000000000,ETHIOPIA,"199.15254237288138",Biomass,1633.388305664062500,7.668,36.837
579,BROM,2.000000000000000,SUDAN,"5764.2878058832239",Oil,,0.000,0.000
604,BUNO BEDELLE,0.153000000000000,ETHIOPIA,"685.6543289943022",Water,1841.471313476562500,8.456,36.352
607,BURDANA,0.000000000000000,SUDAN,"0",Water,82.364562988281250,17.701,34.008
611,BURRI,0.000000000000000,SUDAN,"0",NG,605.521667480468750,15.588,32.534
612,BURRI,0.000000000000000,SUDAN,"0",Oil,605.521667480468750,15.588,32.534
633,CAIRO,0.000000000000000,EGYPT,"0",Oil,1443.294067382812500,30.108,31.266
634,CAIRO 6 OCTOBER,1200.000000000000000,EGYPT,"5941790.8105424",NG,15477.361328125000000,30.054,31.046
635,CAIRO 6 OCTOBER,0.000000000000000,EGYPT,"0",waste heat,15477.361328125000000,30.054,31.046
636,CAIRO ADMIN CITY,0.000000000000000,EGYPT,"0",NG,,30.008,31.730
637,CAIRO ADMIN CITY,0.000000000000000,EGYPT,"0",waste heat,,30.008,31.730
638,CAIRO INTL AIRPORT,2.400000000000000,EGYPT,"10526.052180537043",Oil,1454.859497070312500,30.109,31.379
639,CAIRO NORTH-1,0.000000000000000,EGYPT,"0",Oil,,30.050,31.250
640,CAIRO NORTH-2,500.000000000000000,EGYPT,"2192927.5376118831",waste heat,,30.050,31.250
641,CAIRO NORTH-2,1000.000000000000000,EGYPT,"4951492.3421186656",NG,,30.050,31.250
642,CAIRO SOUTH,235.000000000000000,EGYPT,"1030675.9426775852",waste heat,,30.050,31.250
643,CAIRO SOUTH,0.000000000000000,EGYPT,"0",Oil,,30.050,31.250
644,CAIRO SOUTH,440.000000000000000,EGYPT,"2178656.6305322135",NG,,30.050,31.250
645,CAIRO WEST,1360.000000000000000,EGYPT,"6734029.585281386",NG,231.147537231445313,30.009,31.212
646,CAIRO WWTP,12.800000000000001,EGYPT,"56138.944962864218",Oil,,30.050,31.250
708,CHEMOGA-YEDA I,0.000000000000000,ETHIOPIA,"0",Water,863.913696289062500,9.863,37.672
709,CHEMOGA-YEDA II,0.000000000000000,ETHIOPIA,"0",Water,1002.271545410156250,10.300,37.767
754,CORBETTI,0.000000000000000,ETHIOPIA,"0",Geo,,7.546,40.635
784,DABAA,0.000000000000000,EGYPT,"0",Uranium,1890.539306640625000,31.019,28.450
789,DAHAB,10.000000000000000,EGYPT,"43858.550752237665",Oil,,28.501,34.513
793,DAIRUT,0.000000000000000,EGYPT,"0",NG,23936.322265625003638,31.223,30.509
