fid,Plant,MW,Country,MWh,GEN_TYPE,Yield[K$/h,longitude,latitude
111,AL BUHAYRAH,0.000000000000000,EGYPT,"0",NG,9.211045265197754,30.344,30.848
112,AL DADEEN,2.000000000000000,SUDAN,"5764.28780588322",Oil,0.547870337963104,26.161,11.474
113,AL JABALAYAN PROCESSING,16.000000000000000,SUDAN,"46114.3024470658",Oil,3.260205984115601,32.801,12.590
114,AL JUBA,12.000000000000000,SOUTH SUDAN,"65550",Oil,0.613962590694427,28.358,11.733
122,AL SINDIAN MILL,14.300000000000001,EGYPT,"70806.3404922969",NG,,31.250,30.050
127,AL-ARISH,66.000000000000000,EGYPT,"289466.434964769",Oil,0.882933557033539,33.801,31.124
130,AL-AYYAT,0.000000000000000,EGYPT,"0",NG,8.260122299194336,31.251,29.581
133,ALELTU EAST,0.000000000000000,ETHIOPIA,"0",Water,1.217271208763123,38.830,9.780
134,ALELTU WEST,0.000000000000000,ETHIOPIA,"0",Water,1.217271208763123,38.830,9.780
135,ALEM KETEMA,0.486000000000000,ETHIOPIA,"12.5359505784335",Oil,1.891343832015991,39.033,10.083
136,ALEMAYA,0.000000000000000,ETHIOPIA,"0",Oil,8.112095832824709,41.880,9.598
138,ALEXANDRIA FLOOD,2.500000000000000,EGYPT,"10964.6376880594",Oil,,29.900,31.200
139,ALEXANDRIA I&S,4.000000000000000,EGYPT,"17543.4203008951",Oil,,29.900,31.200
140,ALEXANDRIA WATER WORKS,5.600000000000002,EGYPT,"24560.7884212531",Oil,,29.900,31.200
141,AL-FULA,0.000000000000000,SUDAN,"0",Oil,0.613962590694427,28.358,11.732
151,AL-TAKAMOL CEMENT,45.000000000000000,SUDAN,"129696.475632373",Oil,3.083911180496216,32.560,15.501
153,ALUTO LANGANO,8.500000000000000,ETHIOPIA,"0",Geo,7.700696468353272,38.700,7.867
242,APR ETHYDCO,60.000000000000000,EGYPT,"297089.54052712",NG,11.892473220825195,31.384,31.023
247,ARAB STEEL WORKS,50.000000000000000,EGYPT,"219292.753761188",Oil,,31.250,30.050
252,ARKYIAI,0.000000000000000,SUDAN,"0",Coal,,37.235,19.556
264,ASAYTA,0.941000000000000,ETHIOPIA,"24.2722829100945",Oil,5.475523948669434,41.439,11.564
268,ASHEGODA-1,30.000000000000000,ETHIOPIA,"72777.7777777778",Wind,0.920204520225525,39.654,13.456
269,ASHEGODA-2,90.180000000000007,ETHIOPIA,"218770",Wind,0.920204520225525,39.654,13.456
271,ASOSSA,0.839000000000000,ETHIOPIA,"21.641280936843",Oil,3.200670242309570,34.533,10.067
274,ASSALAYA,5.400000000000000,SUDAN,"15563.5770758847",Oil,4.093516826629639,32.733,13.254
275,ASSALAYA FACTORY,26.000000000000000,SUDAN,"15121.0526315789",Biomass,4.093516826629639,32.747,13.258
276,ASSALAYA FACTORY,1.800000000000000,SUDAN,"5187.8590252949",Oil,4.093516826629639,32.747,13.258
280,ASWAN,592.000000000000000,EGYPT,"2812768.34572751",Water,10.984801292419434,32.899,24.088
281,ASWAN HIGH DAM,2100.000000000000000,EGYPT,"9977725.5507226",Water,10.984801292419434,32.899,24.088
282,ASWAN SOLAR,0.000000000000000,EGYPT,"0",Sun,10.984801292419434,32.900,24.089
283,ASYUT,90.000000000000000,EGYPT,"394726.956770139",Oil,6.971906185150146,31.183,27.183
284,ASYUT REFINERY,9.000000000000000,EGYPT,#N/A,#N/A,6.971906185150146,31.184,27.181
285,ASYUT WORKS,4.835000000000000,EGYPT,#N/A,#N/A,6.971906185150146,31.184,27.181
286,ATAKA,1550.000000000000000,EGYPT,"7674813.1302839331",NG,,32.550,29.967
290,ATBARA CEMENT PLANT,14.300000000000001,SUDAN,"41214.657812065059",Oil,0.188040405511856,34.000,17.700
300,AWASH 7 KILO,33.600000000000001,ETHIOPIA,"866.68300295342851",Oil,8.283362388610840,39.333,8.400
301,AWASH SEBAT,40.000000000000000,ETHIOPIA,"1031.7654797064624",Oil,,40.170,8.980
302,AWASH-I (KOKA),45.599999999999994,ETHIOPIA,"204351.87844536063",Water,6.458121776580812,39.167,8.467
303,AWASH-II,32.000000000000000,ETHIOPIA,"143404.82697920044",Water,6.458121776580812,39.167,8.467
