,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Wind,Geothermal
0,2015.0,0.0,0.007,0.0,0.0,0.001,0.0,0.151,0.0
1,2016.0,0.0,0.072,0.0,0.0,0.002,0.0,0.0,0.0
2,2017.0,0.0,0.0,0.0,1.87,0.001,0.0,0.0,0.0
3,2019.0,0.0,0.272,0.0,0.0,0.0,0.0,0.0,0.0
4,2020.0,0.0,0.0,2.574,0.0,0.0,0.0,0.0,0.12
5,2021.0,0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.17
6,2022.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.1
7,2023.0,0.0,0.0,0.0,7.088,0.0,0.0,0.0,0.2
8,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
9,2025.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.2
10,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034
11,2027.0,0.0,0.0,0.0,0.645,0.0,0.0,0.0,0.0
12,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
13,2029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
14,2030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155
15,2031.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,2032.0,0.0,0.0,0.0,0.0,0.512,0.0,0.0,0.25
17,2033.0,0.0,0.0,0.0,0.0,0.698,0.0,0.0,0.233
18,2034.0,0.0,0.0,0.0,0.0,0.988,0.0,0.0,0.192
19,2035.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.177
20,2036.0,0.0,0.0,0.0,0.0,1.334,0.0,0.0,0.185
21,2037.0,0.0,0.0,0.0,0.0,1.221,0.0,0.0,0.25
22,2038.0,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.25
23,2039.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.25
24,2040.0,0.0,0.0,0.0,0.0,1.533,0.0,0.0,0.25
25,2041.0,0.0,0.0,0.0,0.0,2.964,0.0,0.0,0.001
26,2042.0,0.0,0.0,0.0,0.0,2.184,0.0,0.0,0.179
27,2043.0,0.0,0.0,0.0,0.0,2.098,0.0,0.0,0.25
28,2044.0,0.0,0.0,0.0,0.0,2.344,0.0,0.0,0.25
29,2045.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.25
30,2046.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.25
31,2047.0,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.25
32,2048.0,0.244,0.0,0.0,0.0,3.5,0.0,0.0,0.218
33,2049.0,0.364,0.0,0.0,0.0,3.5,0.0,0.0,0.0
34,2050.0,1.463,0.0,0.0,1.6,3.5,0.0,0.0,0.0
35,2051.0,0.0,0.0,0.0,0.0,3.009,0.0,0.0,0.0
36,2052.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0
37,2053.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.203
38,2054.0,0.07,0.0,0.0,0.0,3.5,0.0,0.0,0.25
39,2055.0,0.12,0.0,0.0,0.216,3.5,0.0,0.0,0.25
40,2056.0,0.003,0.0,0.0,0.0,3.5,0.0,0.0,0.25
41,2057.0,0.227,0.047,0.0,0.0,3.5,0.0,0.0,0.25
42,2058.0,0.195,0.037,0.0,0.0,3.5,0.456,0.0,0.25
43,2059.0,0.094,0.0,0.0,0.55,3.5,0.0,0.0,0.25
44,2060.0,0.163,0.0,0.0,0.25,3.5,0.089,0.201,0.25
45,2061.0,0.0,0.0,0.0,0.0,3.5,0.848,0.532,0.25
46,2062.0,0.0,0.0,0.0,0.0,3.5,0.624,0.396,0.25
47,2063.0,0.0,0.0,0.0,0.372,3.5,0.588,0.0,0.25
48,2064.0,0.0,0.0,0.0,0.467,3.5,0.409,0.0,0.25
49,2065.0,0.041,0.0,0.0,0.0,5.001,0.597,0.0,0.25
50,2066.0,0.0,0.0,0.0,0.0,5.885,0.0,0.0,0.149
51,2067.0,0.081,0.0,0.0,0.28,5.919,0.095,0.0,0.179
52,2068.0,0.045,0.0,0.0,0.326,6.5,0.196,0.0,0.25
53,2069.0,0.031,0.0,0.0,0.0,6.5,0.347,0.0,0.25
54,2070.0,0.028,0.025,0.0,0.0,6.5,0.0,0.392,0.25
