,y,Coal power plant - Air cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),Light Fuel Oil stand alone (1kW),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new)
0,2015.0,0.0,0.0,0.007218958540929961,0.0,0.0
1,2016.0,0.0,0.0,0.07153629052081711,0.0,0.0
2,2019.0,0.0,0.0,0.2724332322828476,0.0,0.0
3,2020.0,0.0,0.0,0.0,2.550769730838492,0.02298919088730383
4,2021.0,0.0,0.0,0.0,0.0,0.08663829548667222
5,2022.0,0.0,0.0,0.0,0.0,0.014801107156991027
6,2025.0,0.0,0.0003002747587535676,0.0,0.0,0.0
7,2048.0,0.24352692073133572,0.0,0.0,0.0,0.0
8,2049.0,0.3637965343985571,0.0,0.0,0.0,0.0
9,2050.0,1.4632719559814418,0.0,0.0,0.0,0.0
10,2054.0,0.07009161514737211,0.0,0.0,0.0,0.0
11,2055.0,0.12022541214084856,0.0,0.0,0.0,0.0
12,2056.0,0.0032713954872717363,0.0,0.0,0.0,0.0
13,2057.0,0.22716168389875377,0.0010168053841308647,0.04555288120913486,0.0,0.0
14,2058.0,0.19501067029712235,0.002546942540677467,0.03427507230660795,0.0,0.0
15,2059.0,0.09418888692107488,0.0,0.0,0.0,0.0
16,2060.0,0.16285047832722868,0.0,0.0,0.0,0.0
17,2065.0,0.041471150140548974,0.0,0.0,0.0,0.0
18,2067.0,0.08145193155420641,0.0,0.0,0.0,0.0
19,2068.0,0.04516102029576513,0.0,0.0,0.0,0.0
20,2069.0,0.031069464542498766,0.0,0.0,0.0,0.0
21,2070.0,0.028472304645153247,0.0,0.025382190819650135,0.0,0.0
