,y,Coal power plant - Air cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (new),Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new)
0,2015.0,0.0,0.0,0.34980358648725646,0.141634,0.0,0.0
1,2016.0,0.0,0.0,0.42133988375492515,0.141634,0.0,0.0
2,2017.0,0.0,0.0,0.724476770858676,0.141634,0.0,0.0
3,2018.0,0.0,0.0,1.0279743974685982,0.141634,0.0,0.0
4,2019.0,0.0,0.0,1.0279743974685982,0.141634,0.0,0.0
5,2020.0,0.0,0.0,1.0279743974685982,0.141634,0.0,0.0
6,2021.0,0.0,0.0,1.0279743974685982,0.1345523,0.0,0.0
7,2022.0,0.0,0.0,1.0279743974685982,0.1274706,0.0,0.0
8,2023.0,0.0,0.0,1.0279743974685982,0.1203889,0.0,0.053938408913994734
9,2024.0,0.0,0.0,1.0279743974685982,0.1133072,0.0,0.1008073443241635
10,2025.0,0.0,0.0,0.6781708109813418,0.1062255,0.0,0.23626283545097682
11,2026.0,0.0,0.0,0.606634513713673,0.0991438,0.0,0.5434014604477037
12,2027.0,0.0,0.0,0.30349762660992224,0.0920621,0.0944599085224783,0.7760213725010074
13,2028.0,0.0,9.286520341277902e-05,0.0,0.0849804,0.4426135150613012,0.7760213725010074
14,2029.0,0.0,9.286520341277902e-05,0.0,0.0778987,0.8132962420037784,0.7760213725010074
15,2030.0,0.0,9.286520341277902e-05,0.0,0.070817,1.207802305504967,0.7760213725010074
16,2031.0,0.0,9.286520341277902e-05,0.0,0.0637353,1.6554154438802484,0.7760213725010074
17,2032.0,0.0,9.286520341277902e-05,0.0,0.0566536,1.915154459086059,0.7760213725010074
18,2033.0,0.0,9.286520341277902e-05,0.0,0.0495719,1.915154459086059,0.7760213725010074
19,2034.0,0.0,9.286520341277902e-05,0.0,0.0424902,1.915154459086059,0.7760213725010074
20,2035.0,0.0,9.286520341277902e-05,0.0,0.0354085,1.915154459086059,0.7760213725010074
21,2036.0,0.0,9.286520341277902e-05,0.0,0.0283268,1.915154459086059,0.7760213725010074
22,2037.0,0.0,9.286520341277902e-05,0.0,0.0212451,1.915154459086059,0.7760213725010074
23,2038.0,0.0,9.286520341277902e-05,0.0,0.0141634,1.915154459086059,0.7760213725010074
24,2039.0,0.0,9.286520341277902e-05,0.0,0.00708170000000001,1.915154459086059,0.7760213725010074
25,2040.0,0.0,9.286520341277902e-05,0.0,0.0,1.9596038708510266,0.7760213725010074
26,2041.0,0.0,9.286520341277902e-05,0.0,0.0,1.9596038708510266,0.7760213725010074
27,2042.0,0.0,9.286520341277902e-05,0.0,0.0,1.9596038708510266,0.7760213725010074
28,2043.0,0.0,9.286520341277902e-05,0.0,0.0,2.295667571484138,0.7760213725010074
29,2044.0,0.0,9.286520341277902e-05,0.0,0.0,2.295667571484138,0.7760213725010074
30,2045.0,0.0,9.286520341277902e-05,0.0,0.0,2.295667571484138,0.7760213725010074
31,2046.0,0.0,9.286520341277902e-05,0.0,0.0,2.295667571484138,0.7760213725010074
32,2047.0,0.0,9.286520341277902e-05,0.0,0.0,2.295667571484138,0.7760213725010074
33,2048.0,0.0,9.286520341277902e-05,0.0,0.0,2.8568331184981846,0.7220829635870127
34,2049.0,0.0,9.286520341277902e-05,0.0,0.0,2.8568331184981846,0.675214028176844
35,2050.0,0.26908515851287956,9.286520341277902e-05,0.0,0.0,2.8568331184981846,0.5397585370500306
36,2051.0,0.343484053943731,9.286520341277902e-05,0.0,0.0,2.8568331184981846,0.23261991205330376
37,2052.0,0.35671603598844237,9.286520341277902e-05,0.0,0.0,2.8568331184981846,0.0
38,2053.0,0.35671603598844237,0.0,0.0,0.0,2.8568331184981846,0.0
39,2054.0,0.4228557439154759,0.0,0.0,0.0,2.8568331184981846,0.0
40,2055.0,0.6557151352376582,0.0,0.0,0.0,2.8568331184981846,0.0
41,2056.0,0.8945671311029157,0.0,0.0,0.0,2.8568331184981846,0.0
42,2057.0,1.365670794646786,0.0,0.0,0.0,2.7623732099757063,0.0
43,2058.0,2.1210847511505895,0.0,0.0,0.0,2.4142196034368832,0.0
44,2059.0,2.5519231977199004,0.0,0.0,0.0,2.043536876494406,0.0
45,2060.0,2.5519231977199004,0.0,0.0,0.0,1.6490308129932174,0.0
46,2061.0,2.5519231977199004,0.0,0.0,0.0,1.2014176746179361,0.0
47,2062.0,2.5519231977199004,0.0,0.0,0.0,0.9416786594121255,0.0
48,2063.0,2.5519231977199004,0.0,0.0,0.0,0.9416786594121255,0.0
49,2064.0,2.5519231977199004,0.0,0.0,0.0,0.9416786594121255,0.0
50,2065.0,2.5519231977199004,0.0,0.0,0.0,0.9416786594121255,0.0
51,2066.0,2.5519231977199004,0.0,0.0,0.0,0.9416786594121255,0.0
52,2067.0,2.5519231977199004,0.0,0.0,0.0,0.9416786594121255,0.0
53,2068.0,2.5519231977199004,0.03407277543423064,0.7632301697270152,0.0,0.9416786594121255,0.0
54,2069.0,2.5519231977199004,0.03951323230616441,0.8850964036584463,0.0,0.9416786594121255,0.0
55,2070.0,2.57700867190797,0.041496820128923494,0.92952877088836,0.0,0.8972292476471577,0.0
