,y,Ethiopia - Djibouti NG planned trade link,Natural gas extraction
0,2021.0,-3.2175,3.25
1,2022.0,-3.2175,3.25
2,2023.0,-3.2175,3.636
3,2024.0,-3.2175,3.9696
4,2025.0,-3.2175,4.9321
5,2026.0,-3.2175,7.1088
6,2027.0,-3.2175,9.1875
7,2028.0,-3.2175,10.7955
8,2029.0,-3.2175,15.5387
9,2030.0,-3.2175,19.7071
10,2031.0,-3.2175,28.3617
11,2032.0,-3.2175,35.0817
12,2033.0,0.0,36.1376
13,2034.0,0.0,38.5387
14,2035.0,0.0,38.9879
15,2036.0,0.0,38.6939
16,2037.0,0.0,36.2426
17,2038.0,0.0,36.252
18,2039.0,0.0,34.3695
19,2040.0,0.0,39.0249
20,2041.0,0.0,34.2155
21,2042.0,0.0,35.4917
22,2043.0,0.0,34.7689
23,2044.0,0.0,34.3989
24,2045.0,0.0,31.9832
25,2046.0,0.0,32.0112
26,2047.0,0.0,28.4043
27,2048.0,0.0,29.0203
28,2049.0,0.0,30.6015
29,2050.0,0.0,28.2118
30,2051.0,0.0,22.5361
31,2052.0,0.0,19.358
32,2053.0,0.0,18.9321
33,2054.0,0.0,18.429
34,2055.0,0.0,17.9897
35,2056.0,0.0,17.5343
36,2057.0,0.0,16.3346
37,2058.0,0.0,12.8438
38,2059.0,0.0,9.2502
39,2060.0,0.0,7.4524
40,2061.0,0.0,5.4208
41,2062.0,0.0,4.242
42,2063.0,0.0,4.2352
43,2064.0,0.0,4.2284
44,2065.0,0.0,4.2217
45,2066.0,0.0,4.1296
46,2067.0,0.0,3.8979
47,2068.0,0.0,0.3083
