,y,Coal,Oil,Gas,Hydro,Solar PV,Wind,Geothermal,Biomass,Crude Oil production,Crude oil Refinery,Natural gas extraction
0,2015.0,0.0,2.0,0.0,755.81,0.0,0.0,0.0,103.84,0.0,0.0,0.0
1,2016.0,0.0,3.39,0.0,755.81,0.0,0.0,0.0,103.84,0.0,0.0,0.0
2,2017.0,0.0,0.86,0.0,1290.41,0.0,0.0,0.0,9.86,0.0,0.0,0.0
3,2018.0,0.0,0.86,0.0,1399.63,0.0,0.0,0.0,41.87,0.0,0.0,0.0
4,2019.0,0.0,4.31,0.0,1418.92,0.0,0.0,0.0,103.84,0.0,0.0,0.0
5,2020.0,0.0,0.86,18.65,1418.92,0.0,0.0,0.06,103.84,0.0,0.0,0.06
6,2021.0,0.0,0.82,19.9,1418.92,0.0,0.0,0.15,98.64,0.0,0.0,0.07
7,2022.0,0.0,1.62,20.04,1418.92,0.0,0.0,0.2,93.45,0.0,0.0,0.07
8,2023.0,0.0,0.73,4.69,2929.22,0.0,0.0,0.3,88.26,0.0,0.0,0.02
9,2024.0,0.0,0.69,4.65,2929.22,0.0,0.0,0.43,83.07,0.0,0.0,0.02
10,2025.0,0.0,0.66,2.26,3198.72,0.0,0.0,0.53,51.92,0.15,13.06,0.01
11,2026.0,0.0,0.61,1.89,3513.89,0.0,0.0,0.53,18.84,0.0,13.52,0.01
12,2027.0,0.0,0.57,2.34,3522.81,0.0,0.0,0.62,41.53,0.0,13.98,0.01
13,2028.0,0.0,0.53,2.48,3717.84,0.0,0.0,0.63,14.65,0.0,14.47,0.01
14,2029.0,0.0,0.48,2.91,3717.84,0.0,0.0,0.75,31.15,0.0,14.97,0.01
15,2030.0,0.0,0.44,3.65,3717.84,0.0,0.0,0.88,25.96,0.0,15.48,0.01
16,2031.0,0.0,0.39,3.13,4028.66,0.0,0.0,0.88,8.37,0.0,15.91,0.01
17,2032.0,0.0,0.35,3.59,4072.44,0.04,0.0,0.88,15.58,0.0,16.37,0.01
18,2033.0,0.0,0.31,3.58,4072.44,0.1,0.0,0.9,10.38,0.0,16.86,0.01
19,2034.0,0.0,0.27,3.61,4072.44,0.17,0.0,0.94,5.19,0.0,17.34,0.01
20,2035.0,0.0,0.22,3.8,4072.44,0.22,0.0,1.04,0.0,0.0,18.05,0.01
21,2036.0,0.0,0.17,3.91,4072.44,0.28,0.0,1.12,0.0,0.0,18.6,0.01
22,2037.0,0.0,0.13,4.07,4072.44,0.35,0.0,1.21,0.0,0.0,19.16,0.01
23,2038.0,0.0,0.09,4.2,4062.02,0.41,0.0,1.34,0.0,0.0,19.74,0.01
24,2039.0,0.0,0.04,4.49,4069.12,0.47,0.0,1.46,0.0,0.0,20.33,0.02
25,2040.0,0.0,0.0,4.73,4072.44,0.55,0.0,1.59,0.0,0.0,20.94,0.02
26,2041.0,0.0,0.0,4.11,4016.44,0.67,0.0,1.59,0.0,0.0,21.42,0.01
27,2042.0,0.0,0.0,3.71,3964.95,0.77,0.0,1.66,0.0,0.0,21.91,0.01
28,2043.0,0.0,0.0,2.42,4279.99,0.83,0.0,1.66,0.0,0.0,22.42,0.01
29,2044.0,0.0,0.0,2.73,4304.03,0.92,0.0,1.73,0.0,0.0,22.93,0.01
30,2045.0,0.0,0.0,2.91,4282.15,1.02,0.0,1.8,0.0,0.0,23.45,0.01
31,2046.0,0.03,0.0,2.86,4241.23,1.14,0.0,1.84,0.0,0.0,23.99,0.01
32,2047.0,0.03,0.0,2.91,4156.83,1.3,0.0,1.84,0.0,0.0,24.53,0.01
33,2048.0,0.3,0.0,2.28,4075.09,1.45,0.0,1.87,0.0,0.0,25.09,0.01
34,2049.0,1.04,0.0,0.26,4037.69,1.61,0.0,1.87,0.0,0.0,25.67,0.0
35,2050.0,1.19,0.0,0.05,4004.48,1.76,0.0,1.89,0.0,0.0,26.25,0.0
36,2051.0,1.14,0.0,0.0,3860.98,1.9,0.0,1.89,0.0,0.0,26.71,0.0
37,2052.0,1.14,0.0,0.0,3808.32,2.02,0.0,1.9,0.0,0.0,27.19,0.0
38,2053.0,1.14,0.0,0.0,3742.31,2.11,0.0,2.01,0.0,0.0,27.66,0.0
