,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - Air cooling (new),Ethiopia - Djibouti EL existing trade link,Ethiopia - Kenya EL planned trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Geothermal power plant - MDT cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Small hydropower plant,Medium hydropower plant (Run-of river),Renaissance,Tis Abay 2,Tis Abay 1,Upper Mandaya,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (single cycle) - Air cooling (new),Beko Abo FPV,Chemoga Yeda FPV,Karadobi FPV,Lake Tana FPV,Renaissance FPV,Upper Mandaya FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Wind (onshore)
10,2025.0,0.1402,0.0,5.3002,59.9184,-4.8838,27.8778,0.2144,0.0,0.0022,0.1358,9.3426,1.1504,0.1847,0.0,0.0,0.5125,0.0,0.6476,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.0258,0.0,1.7945
11,2026.0,0.1262,0.0,5.3927,59.9184,-4.8838,27.8778,0.2037,0.0,0.0022,0.3346,13.0389,2.3368,0.3296,0.0,0.0,0.4784,0.0,1.4895,0.0,0.0,0.0,0.0,0.0,0.0,0.0384,0.0258,0.0,2.798
12,2027.0,0.1121,0.0,5.3927,59.9184,-4.8838,27.8778,0.193,0.0,0.0022,0.3412,19.881,2.3368,0.3296,0.0,0.0,0.4442,0.2589,2.1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0355,0.0258,0.0,2.7096
13,2028.0,0.3619,0.0,5.3927,59.9184,-4.0133,27.8778,0.1823,0.0024,0.0081,0.5399,25.8001,2.3368,0.3296,0.0,0.0,0.41,1.2132,2.1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0325,0.0258,0.0,2.6212
14,2029.0,0.3962,0.0,5.3927,59.9184,-2.8277,27.8778,0.1716,0.0024,0.0103,0.6396,30.4048,2.3368,0.3296,0.0,0.0,0.3759,4.0173,2.1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0296,0.0258,0.0,2.5327
15,2030.0,0.3302,0.0,5.3927,59.9184,-0.7715999999999998,27.8778,0.1608,0.0002,0.0103,0.6396,35.3156,2.3368,0.3296,0.0,0.0,0.3417,6.4917,2.1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0266,0.0258,0.0,2.4443
16,2031.0,0.2641,0.0,5.3927,59.9184,-0.7715999999999998,27.8778,0.1501,0.0011,0.0103,0.6396,40.9049,2.3368,0.3296,0.0,0.0,0.3075,11.6341,2.1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0237,0.0258,0.0,2.3559
17,2032.0,0.2406,0.0,5.3927,59.9184,-0.8988999999999998,27.8778,0.1394,0.0014,0.0125,0.7769,44.2171,2.3368,0.3296,0.0,0.0,0.2734,15.6483,2.1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0207,3.495,0.0,2.2675
18,2033.0,0.1604,0.0,5.3927,59.9184,-2.2675,27.8778,0.1287,0.0014,0.0125,0.7769,45.7486,2.3368,0.3296,0.0,0.0,0.2392,18.2443,2.1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0177,11.6142,0.0,2.179
19,2034.0,0.0802,0.0,5.3927,59.9184,-3.037,33.3727,0.1179,0.0024,0.0125,0.7769,46.078,2.3368,0.3296,0.0,0.0,0.205,19.7173,2.1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0148,17.4187,0.0,2.0906
20,2035.0,0.0,0.0,5.3927,59.9184,-2.5755999999999997,40.0741,0.1072,0.0024,0.0125,0.9092,46.4255,2.3368,0.3296,0.0,0.0,0.1708,20.0338,2.1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0118,24.7769,0.0,2.0022
21,2036.0,0.0,0.0,5.3927,59.9184,-1.7423000000000002,46.7755,0.0965,0.0024,0.0163,1.0082,46.6681,2.3368,0.3296,0.0,0.0,0.1367,19.908,2.1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0089,31.4937,0.0,1.9137
22,2037.0,0.0,0.0,5.3927,59.9184,-1.3916,53.4769,0.0858,0.0021,0.0125,1.0158,46.32,2.3368,0.3296,0.0,0.0,0.1025,19.0544,1.7475,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,41.1695,0.0,1.8253
23,2038.0,0.0,0.0,5.3927,59.9184,-1.2570999999999999,60.1783,0.0751,0.0014,0.02,1.2395,46.1255,2.3368,0.3296,0.0,0.0,0.0683,18.5111,2.1506,0.0,0.0,0.0,0.0,0.0,0.0,0.003,50.8518,0.0,1.7369
24,2039.0,0.0,0.0,5.3927,59.9184,-0.48729999999999984,66.8797,0.0643,0.0007,0.02,1.2395,45.8449,2.3368,0.3296,0.0,0.0,0.0342,17.7871,1.9073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.534,1.5873,1.6485
25,2040.0,0.0,0.0,5.3927,59.9184,-0.6076999999999999,73.5811,0.0536,0.0002,0.02,1.2395,45.8544,2.3368,0.3296,0.0,0.0,0.0,17.955,3.7309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.2163,3.7357,0.0
26,2041.0,0.0,0.0,5.3927,59.9184,-2.4074999999999998,80.2825,0.0429,0.0,0.0163,1.0082,44.8455,2.3368,0.3296,0.0,0.0,0.0,17.0103,2.4358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.9895,3.7357,0.0
27,2042.0,0.0,0.0,5.3927,59.9184,-1.4893,86.9839,0.0322,0.0002,0.02,1.2395,44.9985,2.3368,0.3296,0.0,0.0,0.0,17.1289,2.9139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.461,3.7357,0.0
28,2043.0,0.0,0.0,5.3927,59.9184,-1.5403,93.6853,0.0214,0.0002,0.0164,1.0132,44.6661,2.3368,0.3296,0.0,0.0,0.0,17.8121,2.1756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.1242,3.7357,0.0
29,2044.0,0.0,0.0,5.3927,59.9184,-1.0042,100.3867,0.0107,0.0002,0.0164,1.0132,43.8813,2.0807,0.2394,0.0,0.0,0.0,17.3458,2.3745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.9116,3.7357,0.0
30,2045.0,0.0,0.0,5.3927,59.9184,-1.2916999999999998,102.957,0.0,0.0002,0.0126,0.7925,42.6389,2.0807,0.1847,0.0,0.0,0.0,16.1901,2.1935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.2761,3.7357,0.0
31,2046.0,0.0,0.0,5.3927,59.9184,-0.7305000000000001,104.238,0.0,0.0002,0.0126,0.9973,42.4629,2.0807,0.2394,0.0,0.0,0.0,15.9269,2.4177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.6613,3.7357,0.0
32,2047.0,0.0,0.0,5.3927,59.9184,-0.7305000000000001,106.3356,0.0,0.0002,0.0104,0.6447,40.5212,1.8508,0.1523,0.0,0.0,0.0,14.1286,2.1744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0258,7.7624,0.0
