,y,CO2
0,2015,10.5725
1,2016,11.5945
2,2017,12.5694
3,2018,13.9783
4,2019,17.2684
5,2020,22.3783
6,2021,23.586
7,2022,25.0943
8,2023,20.958
9,2024,22.0771
10,2025,22.8144
11,2026,24.4815
12,2027,26.1059
13,2028,28.3317
14,2029,31.0008
15,2030,34.3075
16,2031,35.3064
17,2032,36.5099
18,2033,37.8877
19,2034,39.1458
20,2035,40.8944
21,2036,42.2999
22,2037,43.6314
23,2038,45.1295
24,2039,46.7176
25,2040,48.5479
26,2041,49.0434
27,2042,49.6601
28,2043,50.3005
29,2044,51.005
30,2045,51.7058
31,2046,52.4701
32,2047,53.1652
33,2048,54.2471
34,2049,55.9756
35,2050,57.348
36,2051,58.025
37,2052,58.7133
38,2053,59.4127
39,2054,60.214
40,2055,61.0911
41,2056,61.827
42,2057,63.0235
43,2058,64.2418
44,2059,65.0385
45,2060,66.0625
46,2061,66.7974
47,2062,67.4825
48,2063,68.1078
49,2064,68.9595
50,2065,69.8086
51,2066,70.2382
52,2067,71.1946
53,2068,71.9538
54,2069,72.757
55,2070,73.5371
