,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Wind,Biomass,Geothermal
0,2015.0,0.0,0.149,0.0,1.791,0.01,0.0,0.322,0.196,0.008
1,2016.0,0.0,0.221,0.0,1.791,0.012,0.0,0.322,0.196,0.008
2,2017.0,0.0,0.221,0.0,3.661,0.013,0.0,0.322,0.196,0.008
3,2018.0,0.0,0.221,0.0,3.661,0.013,0.0,0.322,0.196,0.008
4,2019.0,0.0,0.493,0.0,3.661,0.013,0.0,0.322,0.196,0.008
5,2020.0,0.0,0.493,2.574,3.661,0.013,0.0,0.322,0.196,0.128
6,2021.0,0.0,0.486,2.712,3.661,0.012,0.0,0.314,0.186,0.298
7,2022.0,0.0,0.478,2.712,3.661,0.012,0.0,0.305,0.177,0.398
8,2023.0,0.0,0.471,2.712,10.749,0.011,0.0,0.297,0.167,0.598
9,2024.0,0.0,0.464,2.712,10.749,0.011,0.0,0.288,0.157,0.848
10,2025.0,0.0,0.45,2.712,11.129,0.01,0.0,0.279,0.098,1.048
11,2026.0,0.0,0.379,2.712,11.129,0.01,0.0,0.271,0.088,1.048
12,2027.0,0.0,0.373,2.712,11.774,0.009,0.0,0.262,0.078,1.048
13,2028.0,0.0,0.366,2.712,11.774,0.009,0.0,0.254,0.069,1.177
14,2029.0,0.0,0.087,2.712,11.774,0.009,0.0,0.245,0.059,1.427
15,2030.0,0.0,0.08,2.712,11.774,0.008,0.0,0.237,0.049,1.676
16,2031.0,0.0,0.073,2.712,11.774,0.286,0.0,0.228,0.039,1.926
17,2032.0,0.0,0.067,2.712,11.774,0.542,0.0,0.219,0.029,2.176
18,2033.0,0.0,0.061,2.712,11.774,0.885,0.0,0.211,0.02,2.425
19,2034.0,0.0,0.053,2.712,11.774,1.435,0.0,0.202,0.01,2.647
20,2035.0,0.0,0.046,2.712,11.774,2.684,0.0,0.194,0.0,2.794
21,2036.0,0.0,0.039,2.712,11.774,3.463,0.0,0.185,0.0,3.017
22,2037.0,0.0,0.032,2.712,11.774,4.242,0.0,0.177,0.0,3.266
23,2038.0,0.0,0.025,2.712,11.774,5.386,0.0,0.168,0.0,3.456
24,2039.0,0.0,0.018,2.712,11.774,6.412,0.0,0.16,0.0,3.706
25,2040.0,0.0,0.017,2.712,11.774,7.827,0.0,0.0,0.0,3.955
26,2041.0,0.0,0.019,2.712,11.774,9.962,0.0,0.0,0.0,3.955
27,2042.0,0.0,0.019,2.712,11.774,12.188,0.0,0.0,0.0,3.954
28,2043.0,0.0,0.023,2.712,11.774,15.047,0.0,0.0,0.0,3.969
29,2044.0,0.0,0.026,2.712,11.774,16.989,0.0,0.0,0.0,4.218
30,2045.0,0.0,0.03,2.636,11.774,19.5,0.0,0.0,0.0,4.284
31,2046.0,0.0,0.04,2.499,11.774,22.5,0.0,0.0,0.0,4.331
32,2047.0,0.0,0.044,2.499,11.774,25.5,0.0,0.0,0.0,4.481
33,2048.0,0.0,0.048,2.499,11.774,29.0,0.0,0.0,0.0,4.531
34,2049.0,0.249,0.065,2.499,11.774,32.5,0.0,0.0,0.0,4.392
35,2050.0,1.89,0.085,0.0,13.374,35.705,0.0,0.0,0.0,4.192
36,2051.0,1.89,0.077,0.0,13.374,38.427,0.0,0.0,0.0,4.192
37,2052.0,1.89,0.077,0.0,13.374,41.17,0.0,0.0,0.0,4.192
38,2053.0,1.89,0.077,0.0,13.246,44.116,0.0,0.0,0.0,4.113
39,2054.0,1.89,0.077,0.0,13.246,47.064,0.0,0.0,0.0,4.048
40,2055.0,1.89,0.077,0.0,13.462,49.314,0.0,0.0,0.0,4.048
41,2056.0,1.89,0.148,0.0,13.462,52.032,0.0,0.0,0.0,4.048
42,2057.0,1.89,0.218,0.0,13.462,54.752,0.08,0.0,0.0,4.048
43,2058.0,1.89,0.217,0.0,13.462,57.107,0.881,0.0,0.0,4.048
44,2059.0,1.89,0.217,0.0,13.742,59.581,0.881,0.0,0.0,4.076
45,2060.0,1.89,0.217,0.0,13.742,61.666,1.76,0.0,0.0,4.178
46,2061.0,1.89,0.217,0.0,13.699,63.031,2.696,0.0,0.0,4.205
47,2062.0,1.89,0.217,0.0,14.166,64.305,2.847,0.0,0.0,4.205
48,2063.0,1.89,0.217,0.0,14.166,64.946,4.056,0.0,0.0,4.265
49,2064.0,1.89,0.216,0.0,14.166,66.504,4.693,0.068,0.0,4.265
50,2065.0,1.89,0.211,0.0,14.166,67.493,5.489,0.503,0.0,4.265
51,2066.0,1.89,0.137,0.0,14.166,67.993,6.65,0.662,0.0,4.515
52,2067.0,1.89,0.068,0.0,14.134,68.493,8.096,0.713,0.0,4.765
53,2068.0,1.89,0.065,0.0,14.134,68.493,10.058,0.713,0.0,5.0
54,2069.0,1.89,0.061,0.0,15.684,68.493,10.058,0.713,0.0,4.961
55,2070.0,1.89,0.058,0.0,15.684,69.856,10.879,1.198,0.0,5.0
