,y,Ethiopia - Sudan EL existing trade link
0,2015.0,2.4048
1,2016.0,3.5097
2,2017.0,-5.9918
3,2018.0,-3.1483999999999996
4,2019.0,5.9918
5,2020.0,3.4782
6,2021.0,2.3446
7,2022.0,1.0329000000000002
8,2023.0,-5.9918
9,2024.0,0.0
10,2025.0,-3.7449
11,2026.0,-1.4423
12,2027.0,-3.7449
13,2028.0,-3.7449
14,2029.0,-3.7449
15,2030.0,-1.0964999999999998
16,2031.0,-1.4979999999999998
17,2032.0,-3.7449
18,2033.0,-1.4979999999999998
19,2034.0,-1.4979999999999998
20,2035.0,-3.4999
21,2036.0,-3.1909
22,2037.0,-3.1909
23,2038.0,-2.149
24,2039.0,-3.0699999999999994
25,2040.0,-2.8942000000000005
26,2041.0,-2.4265
27,2042.0,-2.1599999999999997
28,2043.0,-2.2572
29,2044.0,-2.2931
30,2045.0,-2.1468
31,2046.0,-1.6756
32,2047.0,-1.5282
33,2048.0,-1.4381
34,2049.0,-2.2562999999999995
35,2050.0,-4.559200000000001
36,2051.0,-4.4574
37,2052.0,-4.3024000000000004
38,2053.0,-3.8912999999999998
39,2054.0,-3.7264
40,2055.0,-3.8141999999999996
41,2056.0,-3.7264
42,2057.0,-3.7264
43,2058.0,-3.7264
44,2059.0,-3.7264
45,2060.0,-3.7264
46,2061.0,-3.7264
47,2062.0,-3.7264
48,2063.0,-3.7264
49,2064.0,-3.7264
50,2065.0,-3.7264
51,2066.0,-3.7264
52,2067.0,-3.7264
53,2068.0,-3.1724000000000006
54,2069.0,-3.1724000000000006
55,2070.0,-3.7264
