,y,Amarti-Neshe FPV,Birbir FPV,Chemoga Yeda FPV,Finchaa FPV,Genji FPV,Karadobi FPV,Lower Dedessa FPV,Lake Tana - Beles FPV,Renaissance FPV,Tekeze 1 FPV,Tekeze 2 FPV
0,2057.0,0.0,0.0,0.0,0.0,0.0,0.08035687512274477,0.0,0.0,0.0,0.0,0.0
1,2058.0,0.0,0.0,0.0,0.0,0.0,0.8814346039565607,0.0,0.0,0.0,0.0,0.0
2,2059.0,0.0,0.0,0.0,0.0,0.0,0.8814346039565607,0.0,0.0,0.0,0.0,0.0
3,2060.0,0.0,0.0,0.2800000000000001,0.0,0.0,1.4799242889304118,0.0,0.0,0.0,0.0,0.0
4,2061.0,0.0,0.0,0.2800000000000001,0.0,0.0,1.6,0.0,0.0,0.8157698608565542,0.0,0.0
5,2062.0,0.0,0.0,0.2800000000000001,0.0,0.0,1.6,0.0,0.0,0.9669397089109145,0.0,0.0
6,2063.0,0.0,0.0,0.2800000000000001,0.0,0.0,1.6,0.0,0.0,1.9669397089109144,0.0,0.20909964043458837
7,2064.0,0.0,0.0,0.2800000000000001,0.0,0.0,1.6,0.0,0.0,2.60419938254713,0.0,0.20909964043458837
8,2065.0,0.0,0.0,0.2800000000000001,0.0,0.0,1.6,0.0,0.0,3.400000000000057,0.0,0.20909964043458837
9,2066.0,0.0,0.0,0.2800000000000001,0.0,0.0,1.6,0.0,0.0,4.400000000000057,0.0,0.37036519762514364
10,2067.0,0.0,0.0,0.2800000000000001,0.128,0.0,1.6,0.0,0.007612217720156228,5.400000000000057,0.3,0.38
11,2068.0,0.043087042639578035,0.467,0.2800000000000001,0.128,0.0,1.6,0.0,0.46,6.400000000000057,0.3,0.38
12,2069.0,0.043087042639578035,0.467,0.2800000000000001,0.128,0.0,1.6,0.0,0.46,6.400000000000057,0.3,0.38
13,2070.0,0.098,0.467,0.2800000000000001,0.128,0.216,1.6,0.55,0.46,6.400000000000057,0.3,0.38
