,y,Amarti-Neshe FPV,Birbir FPV,Chemoga Yeda FPV,Finchaa FPV,Genji FPV,Karadobi FPV,Lower Dedessa FPV,Lake Tana - Beles FPV,Renaissance FPV,Tekeze 1 FPV,Tekeze 2 FPV
0,2057.0,0.0,0.0,0.0,0.0,0.0,0.08035687512274477,0.0,0.0,0.0,0.0,0.0
1,2058.0,0.0,0.0,0.0,0.0,0.0,0.8010777288338159,0.0,0.0,0.0,0.0,0.0
2,2060.0,0.0,0.0,0.2800000000000001,0.0,0.0,0.598489684973851,0.0,0.0,0.0,0.0,0.0
3,2061.0,0.0,0.0,0.0,0.0,0.0,0.12007571106958836,0.0,0.0,0.8157698608565542,0.0,0.0
4,2062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1511698480543603,0.0,0.0
5,2063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.20909964043458837
6,2064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6372596736362154,0.0,0.0
7,2065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7958006174529274,0.0,0.0
8,2066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16126555719055527
9,2067.0,0.0,0.0,0.0,0.128,0.0,0.0,0.0,0.007612217720156228,1.0,0.3,0.009634802374856366
10,2068.0,0.043087042639578035,0.467,0.0,0.0,0.0,0.0,0.0,0.4523877822798438,1.0,0.0,0.0
11,2070.0,0.05491295736042197,0.0,0.0,0.0,0.216,0.0,0.55,0.0,0.0,0.0,0.0
