,y,Amarti-Neshe FPV,Birbir FPV,Chemoga Yeda FPV,Finchaa FPV,Genji FPV,Karadobi FPV,Lower Dedessa FPV,Lake Tana - Beles FPV,Renaissance FPV,Tekeze 1 FPV,Tekeze 2 FPV
0,2057.0,0.0,0.0,0.0,0.0,0.0,0.507,0.0,0.0,0.0,0.0,0.0
1,2058.0,0.0,0.0,0.0,0.0,0.0,5.5618,0.0,0.0,0.0,0.0,0.0
2,2059.0,0.0,0.0,0.0,0.0,0.0,5.5618,0.0,0.0,0.0,0.0,0.0
3,2060.0,0.0,0.0,1.6469,0.0,0.0,9.3382,0.0,0.0,0.0,0.0,0.0
4,2061.0,0.0,0.0,1.6469,0.0,0.0,10.0959,0.0,0.0,4.7175,0.0,0.0
5,2062.0,0.0,0.0,1.6469,0.0,0.0,10.0959,0.0,0.0,5.5917,0.0,0.0
6,2063.0,0.0,0.0,1.6469,0.0,0.0,10.0959,0.0,0.0,11.3746,0.0,0.4941
7,2064.0,0.0,0.0,1.6469,0.0,0.0,10.0959,0.0,0.0,15.0598,0.0,0.6124
8,2065.0,0.0,0.0,1.6469,0.0,0.0,10.0959,0.0,0.0,19.6618,0.0,1.2892
9,2066.0,0.0,0.0,1.0943,0.0,0.0,8.4956,0.0,0.0,20.0349,0.0,1.433
10,2067.0,0.0,0.0,0.7984,0.3484,0.0,6.4916,0.0,0.0217,23.2239,0.8686,1.1129
11,2068.0,0.1155,1.5873,1.0943,0.4581,0.0,6.4916,0.0,1.3094,23.137,0.8686,1.1129
12,2069.0,0.1635,1.1759,0.7984,0.3484,0.0,6.3298,0.0,1.3094,26.5154,1.0867,1.3975
13,2070.0,0.2628,1.1759,1.0699,0.3484,0.5216,9.1047,1.435,1.738,22.9883,0.8686,1.1129
