,,,Tekeze 1,,,,Upper Mandaya FPV,,,,,,,,,,,,,,,,
,,,Tekeze 2,,,,Juba Barrage FPV,,,,,,,,,,,,,,,,
,,,Upper Dabus,,,,Wau FPV,,,,,,,,,,,,,,,,
,,,Upper Mandaya,,,,Dagash FPV,,,,,,,,,,,,,,,,
,,,Juba Barrage,,,,Dal FPV,,,,,,,,,,,,,,,,
,,,Wau,,,,Jebel Aulia FPV,,,,,,,,,,,,,,,,
,,,Dagash,,,,Kajbar FPV,,,,,,,,,,,,,,,,
,,,Dal,,,,Kashm El Girba  FPV,,,,,,,,,,,,,,,,
,,,Jebel Aulia,,,,Merowe FPV,,,,,,,,,,,,,,,,
,,,Kajbar,,,,Mograt FPV,,,,,,,,,,,,,,,,
,,,Kashm El Girba ,,,,Roseires FPV,,,,,,,,,,,,,,,,
,,,Merowe,,,,Sabaloka FPV,,,,,,,,,,,,,,,,
,,,Mograt,,,,Sennar FPV,,,,,,,,,,,,,,,,
,,,Roseires,,,,Shereik FPV,,,,,,,,,,,,,,,,
,,,Sabaloka,,,,Upper Atbara FPV,,,,,,,,,,,,,,,,
,,,Sennar,,,,,,,,,,,,,,,,,,,,
,,,Shereik,,,,,,,,,,,,,,,,,,,,
,,,Upper Atbara,,,,,,,,,,,,,,,,,,,,
,,,Esna,,,,,,,,,,,,,,,,,,,,
,,,Naga Hamadi,,,,,,,,,,,,,,,,,,,,
,,,New Assiut Barrage,,,,,,,,,,,,,,,,,,,,
,,,Sor,,,,,,,,,,,,,,,,,,,,
,,,Tis Abay 1,,,,,,,,,,,,,,,,,,,,
,,,Tis Abay 2,,,,,,,,,,,,,,,,,,,,
,,,Bedden,,,,,,,,,,,,,,,,,,,,
,,,Fula,,,,,,,,,,,,,,,,,,,,
,,,Fula Small,,,,,,,,,,,,,,,,,,,,
,,,Lakki,,,,,,,,,,,,,,,,,,,,
,,,Shukoli,,,,,,,,,,,,,,,,,,,,
