r,t,y,v
REGION,ETSOFPVBR3,2069, 0.645
REGION,ETSOFPVBB3,2067, 2.8968396256550866e-01
REGION,ETSOFPVBB3,2068, 1.7731603743449137e-01
REGION,ETSOFPVCY3,2060, 0.28
REGION,ETSOFPVGJ3,2068, 0.216
REGION,ETSOFPVKR3,2057, 8.5645341977680467e-01
REGION,ETSOFPVKR3,2059, 7.4354658022320941e-01
REGION,ETSOFPVLD3,2069, 0.25
REGION,ETSOFPVLS3,2068, 0.55
REGION,ETSOFPVT23,2062, 3.6167174369798788e-01
REGION,ETSOFPVT23,2064, 1.8328256302012125e-02
REGION,ETSOFPVUM3,2070, 1.0000000000015248e+00
REGION,SDSOFPVDG3,2051, 0.312
REGION,SDSOFPVDL3,2048, 8.0673524730493565e-03
REGION,SDSOFPVDL3,2051, 0.63993264752697
REGION,SDSOFPVKB3,2051, 0.36
REGION,SDSOFPVMG3,2051, 3.1200000000001049e-01
REGION,SDSOFPVSB3,2058, 0.205
REGION,SDSOFPVSH3,2051, 2.9992518549873309e-01
REGION,SDSOFPVSH3,2052, 1.2007481450126689e-01
