r,t,y,AnnualVariableOperatingCost
REGION,EGWA00000X,2015, 1.4086845536716697e-01
REGION,EGWA00000X,2016, 1.4320942532931066e-01
REGION,EGWA00000X,2017, 1.4494977394898323e-01
REGION,EGWA00000X,2018, 1.4257731293016435e-01
REGION,EGWA00000X,2019, 1.4260707192608207e-01
REGION,EGWA00000X,2020, 1.4858795142347359e-01
REGION,EGWA00000X,2021, 1.4792180533245269e-01
REGION,EGWA00000X,2022, 1.5024360777378751e-01
REGION,EGWA00000X,2023, 1.5163281415009047e-01
REGION,EGWA00000X,2024, 1.5206316830857991e-01
REGION,EGWA00000X,2025, 1.6410362637824744e-01
REGION,EGWA00000X,2026, 0.150259166442547
REGION,EGWA00000X,2027, 1.4954498850742415e-01
REGION,EGWA00000X,2028, 1.4870463169096687e-01
REGION,EGWA00000X,2029, 1.4885154635843617e-01
REGION,EGWA00000X,2030, 1.4699177868498098e-01
REGION,EGWA00000X,2031, 1.4583489780271089e-01
REGION,EGWA00000X,2032, 1.4545922325003671e-01
REGION,EGWA00000X,2033, 1.4519401641267274e-01
REGION,EGWA00000X,2034, 1.4478955578098110e-01
REGION,EGWA00000X,2035, 1.4453111902931004e-01
REGION,EGWA00000X,2036, 1.4188453732673698e-01
REGION,EGWA00000X,2037, 1.3709328007436020e-01
REGION,EGWA00000X,2038, 1.3314979576183023e-01
REGION,EGWA00000X,2039, 1.2876214845323630e-01
REGION,EGWA00000X,2040, 1.2547627494366825e-01
REGION,EGWA00000X,2041, 1.2573265169788289e-01
REGION,EGWA00000X,2042, 1.2600590178398197e-01
REGION,EGWA00000X,2043, 1.2475948028273595e-01
REGION,EGWA00000X,2044, 1.2289239684585956e-01
REGION,EGWA00000X,2045, 1.2114515492287234e-01
REGION,EGWA00000X,2046, 1.1989320486711556e-01
REGION,EGWA00000X,2047, 1.1812050460020777e-01
REGION,EGWA00000X,2048, 1.2171392864240065e-01
REGION,EGWA00000X,2049, 1.1936942527715874e-01
REGION,EGWA00000X,2050, 1.1727592041738769e-01
REGION,EGWA00000X,2051, 1.1894208346304531e-01
REGION,EGWA00000X,2052, 0.120255210648529
REGION,EGWA00000X,2053, 1.2084880061710143e-01
REGION,EGWA00000X,2054, 1.2059317527442358e-01
REGION,EGWA00000X,2055, 1.1904848736730525e-01
REGION,EGWA00000X,2056, 1.1744510696165023e-01
REGION,EGWA00000X,2057, 1.1884319643230132e-01
REGION,EGWA00000X,2058, 1.1977811649489803e-01
REGION,EGWA00000X,2059, 1.2068113680524496e-01
REGION,EGWA00000X,2060, 4.4565444114329811e+00
REGION,EGWA00000X,2061, 3.5718726147000091e+00
REGION,EGWA00000X,2062, 1.2002677919580770e-01
REGION,EGWA00000X,2063, 0.120045228280283
REGION,EGWA00000X,2064, 1.2004878777172319e-01
REGION,EGWA00000X,2065, 1.2003630977038618e-01
REGION,EGWA00000X,2066, 3.2531317000886135e+00
REGION,EGWA00000X,2067, 3.6638305507064111e+00
REGION,EGWA00000X,2068, 8.4543197797444876e+00
