r,t,y,z
REGION,ETHYDBRS03,2027, 1
REGION,ETHYDBRS03,2028, 1
REGION,ETHYDBRS03,2029, 1
REGION,ETHYDBRS03,2030, 1
REGION,ETHYDBRS03,2031, 1
REGION,ETHYDBRS03,2032, 1
REGION,ETHYDBRS03,2033, 1
REGION,ETHYDBRS03,2034, 1
REGION,ETHYDBRS03,2035, 1
REGION,ETHYDBRS03,2036, 1
REGION,ETHYDBRS03,2037, 1
REGION,ETHYDBRS03,2038, 1
REGION,ETHYDBRS03,2039, 1
REGION,ETHYDBRS03,2040, 1
REGION,ETHYDBRS03,2041, 1
REGION,ETHYDBRS03,2042, 1
REGION,ETHYDBRS03,2043, 1
REGION,ETHYDBRS03,2044, 1
REGION,ETHYDBRS03,2045, 1
REGION,ETHYDBRS03,2046, 1
REGION,ETHYDBRS03,2047, 1
REGION,ETHYDBRS03,2048, 1
REGION,ETHYDBRS03,2049, 1
REGION,ETHYDBRS03,2050, 1
REGION,ETHYDBRS03,2051, 1
REGION,ETHYDBRS03,2052, 1
REGION,ETHYDBRS03,2053, 1
REGION,ETHYDBRS03,2054, 1
REGION,ETHYDBRS03,2055, 1
REGION,ETHYDBRS03,2056, 1
REGION,ETHYDBRS03,2057, 1
REGION,ETHYDBRS03,2058, 1
REGION,ETHYDBRS03,2059, 1
REGION,ETHYDBRS03,2060, 1
REGION,ETHYDBRS03,2061, 1
REGION,ETHYDBRS03,2062, 1
REGION,ETHYDBRS03,2063, 1
REGION,ETHYDBRS03,2064, 1
REGION,ETHYDBRS03,2065, 1
REGION,ETHYDBRS03,2066, 1
REGION,ETHYDBRS03,2067, 1
REGION,ETHYDBRS03,2068, 1
REGION,ETHYDBRS03,2069, 1
REGION,ETHYDBRS03,2070, 1
REGION,ETHYDBBS03,2058, 1
REGION,ETHYDBBS03,2059, 1
REGION,ETHYDBBS03,2060, 1
REGION,ETHYDBBS03,2061, 1
REGION,ETHYDBBS03,2062, 1
REGION,ETHYDBBS03,2063, 1
REGION,ETHYDBBS03,2064, 1
REGION,ETHYDBBS03,2065, 1
REGION,ETHYDBBS03,2066, 1
REGION,ETHYDBBS03,2067, 1
REGION,ETHYDBBS03,2068, 1
REGION,ETHYDBBS03,2069, 1
REGION,ETHYDBBS03,2070, 1
REGION,ETHYDCYS03,2060, 1
REGION,ETHYDCYS03,2061, 1
REGION,ETHYDCYS03,2062, 1
REGION,ETHYDCYS03,2063, 1
REGION,ETHYDCYS03,2064, 1
REGION,ETHYDCYS03,2065, 1
REGION,ETHYDCYS03,2066, 1
REGION,ETHYDCYS03,2067, 1
REGION,ETHYDCYS03,2068, 1
REGION,ETHYDCYS03,2069, 1
REGION,ETHYDCYS03,2070, 1
REGION,ETHYDGJS03,2046, 1
REGION,ETHYDGJS03,2047, 1
REGION,ETHYDGJS03,2048, 1
REGION,ETHYDGJS03,2049, 1
REGION,ETHYDGJS03,2050, 1
REGION,ETHYDGJS03,2051, 1
REGION,ETHYDGJS03,2052, 1
REGION,ETHYDGJS03,2053, 1
REGION,ETHYDGJS03,2054, 1
REGION,ETHYDGJS03,2055, 1
REGION,ETHYDGJS03,2056, 1
REGION,ETHYDGJS03,2057, 1
REGION,ETHYDGJS03,2058, 1
REGION,ETHYDGJS03,2059, 1
REGION,ETHYDGJS03,2060, 1
REGION,ETHYDGJS03,2061, 1
REGION,ETHYDGJS03,2062, 1
REGION,ETHYDGJS03,2063, 1
REGION,ETHYDGJS03,2064, 1
REGION,ETHYDGJS03,2065, 1
