,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Biomass,Geothermal
8,2023.0,0.0,1.924,0.0,1.885,0.011,0.0,0.202,0.0
9,2024.0,0.0,1.811,0.0,2.245,0.011,0.0,0.19,0.0
10,2025.0,0.0,1.698,0.0,2.665,0.011,0.0,0.119,0.0
11,2026.0,0.0,1.58,0.0,2.665,0.01,0.0,0.107,0.0
12,2027.0,0.0,1.466,0.0,2.665,0.01,0.015,0.095,0.0
13,2028.0,0.0,1.354,0.0,2.977,0.009,0.06,0.083,0.0
14,2029.0,0.0,1.241,0.0,2.977,0.009,0.66,0.071,0.0
15,2030.0,0.0,1.128,0.0,3.83,0.009,0.66,0.06,0.0
16,2031.0,0.0,1.015,0.0,3.83,1.059,0.66,0.048,0.0
17,2032.0,0.0,0.902,0.0,3.83,2.559,1.129,0.036,0.0
18,2033.0,0.0,0.79,0.0,3.83,4.058,2.134,0.024,0.0
19,2034.0,0.0,0.677,0.0,3.83,5.558,3.025,0.012,0.0
20,2035.0,0.0,0.564,0.0,3.83,5.783,3.025,0.0,0.0
21,2036.0,0.0,0.451,0.0,3.83,7.281,3.185,0.0,0.0
22,2037.0,0.0,0.339,0.0,3.83,8.78,3.185,0.0,0.089
23,2038.0,0.0,0.225,0.0,3.83,10.279,3.195,0.0,0.189
24,2039.0,0.0,0.113,0.0,3.83,11.779,3.195,0.0,0.289
25,2040.0,0.0,0.0,0.028,4.142,13.279,3.495,0.0,0.389
26,2041.0,0.0,0.0,0.028,4.142,15.981,3.495,0.0,0.389
27,2042.0,0.0,0.0,0.135,4.116,18.981,3.495,0.0,0.391
28,2043.0,0.0,0.0,0.288,4.116,21.678,3.495,0.0,0.391
29,2044.0,0.0,0.0,0.447,4.106,24.678,3.495,0.0,0.391
30,2045.0,0.0,0.0,0.624,4.106,27.678,3.495,0.0,0.391
31,2046.0,0.0,0.0,0.973,3.836,30.678,3.495,0.0,0.391
32,2047.0,0.0,0.0,1.202,3.836,33.678,3.495,0.0,0.4
33,2048.0,0.0,0.0,1.475,3.836,36.678,3.495,0.0,0.4
34,2049.0,0.0,0.0,1.785,3.836,39.678,3.495,0.0,0.4
35,2050.0,0.0,0.0,2.133,3.836,42.678,3.495,0.0,0.4
36,2051.0,0.0,0.0,2.238,3.836,45.678,3.495,0.0,0.4
37,2052.0,0.0,0.0,2.36,3.836,48.678,3.48,0.0,0.4
38,2053.0,0.0,0.0,2.501,3.836,51.678,3.447,0.0,0.4
39,2054.0,0.0,0.0,2.649,3.836,54.678,3.507,0.0,0.4
40,2055.0,0.0,0.0,2.821,3.836,57.678,3.507,0.0,0.4
41,2056.0,0.0,0.0,3.125,3.836,59.628,3.526,0.0,0.4
42,2057.0,0.0,0.0,3.381,3.836,61.628,3.526,0.0,0.4
43,2058.0,0.0,0.0,3.654,3.836,63.628,3.552,0.0,0.4
44,2059.0,0.0,0.0,3.946,3.836,65.628,3.589,0.0,0.4
45,2060.0,0.0,0.0,4.107,3.836,68.899,3.822,0.0,0.4
46,2061.0,0.0,0.0,4.107,3.836,72.231,3.822,0.0,0.4
47,2062.0,0.0,0.0,4.111,3.836,75.618,3.822,0.0,0.4
48,2063.0,0.0,0.0,4.111,3.836,79.143,3.822,0.0,0.4
49,2064.0,0.0,0.0,4.111,3.836,82.946,3.822,0.0,0.376
50,2065.0,0.0,0.0,4.111,3.836,86.815,3.822,0.0,0.357
51,2066.0,0.0,0.0,4.192,3.836,89.547,3.822,0.0,0.4
52,2067.0,0.0,0.0,4.348,3.836,92.05,3.822,0.0,0.4
53,2068.0,0.013,0.0,4.463,3.836,94.925,3.822,0.0,0.4
54,2069.0,0.013,0.0,4.63,3.836,97.569,3.822,0.0,0.4
55,2070.0,0.013,0.0,4.8,3.836,100.286,3.822,0.0,0.4
