,y,Ethiopia - Djibouti NG planned trade link,Natural gas extraction
0,2021.0,-3.2175,3.25
1,2022.0,-3.2175,3.25
2,2023.0,-3.2175,3.25
3,2024.0,-3.2175,3.25
4,2025.0,-3.2175,3.25
5,2026.0,-3.2175,3.25
6,2027.0,-3.2175,3.25
7,2028.0,-3.2175,3.25
8,2029.0,-3.2175,3.25
9,2030.0,-3.2175,21.3293
10,2031.0,-3.2175,21.2987
11,2032.0,-3.2175,21.2682
12,2033.0,-3.2175,22.3959
13,2034.0,-3.2175,25.6278
14,2035.0,-3.2175,19.695
15,2036.0,-3.2175,18.5523
16,2037.0,-3.2175,19.7139
17,2038.0,-3.2175,23.3535
18,2039.0,-3.2175,23.7165
19,2040.0,-3.2175,23.8989
20,2041.0,-3.2175,23.1158
21,2042.0,-3.2175,27.1647
22,2043.0,-3.2175,30.1547
23,2044.0,-3.2175,34.4284
24,2045.0,-3.2175,36.2698
25,2046.0,-3.2175,37.2793
26,2047.0,-3.2175,37.5986
27,2048.0,-3.2175,36.5548
28,2049.0,-3.2175,38.0175
29,2050.0,-3.2175,37.8448
30,2051.0,0.0,34.9054
31,2052.0,0.0,33.843
32,2053.0,0.0,31.5489
33,2054.0,0.0,30.8396
34,2055.0,0.0,29.9042
35,2056.0,0.0,27.8546
36,2057.0,0.0,27.1759
37,2058.0,0.0,26.6342
38,2059.0,0.0,22.8863
39,2060.0,0.0,11.601
40,2061.0,0.0,10.8321
41,2062.0,0.0,9.8882
42,2063.0,0.0,8.6918
43,2064.0,0.0,7.8407
44,2065.0,0.0,7.8176
45,2066.0,0.0,7.6322
46,2067.0,0.0,6.6861
47,2068.0,0.0,4.6338
48,2069.0,0.0,2.7278
49,2070.0,0.0,1.045
