,y,Oil,Gas,Hydro,Solar PV,Wind,Biomass,Geothermal
1,2016.0,0.142,0.0,1.791,0.012,0.322,0.196,0.008
2,2017.0,0.142,0.0,3.661,0.013,0.322,0.196,0.008
3,2018.0,0.142,0.0,3.661,0.013,0.322,0.196,0.008
4,2019.0,0.142,0.0,3.661,0.013,0.322,0.196,0.008
5,2020.0,0.142,0.0,3.661,0.013,0.322,0.196,0.128
6,2021.0,0.135,0.0,3.661,0.012,0.314,0.186,0.298
7,2022.0,0.127,0.0,3.661,0.012,0.305,0.177,0.398
8,2023.0,0.12,0.0,10.749,0.011,0.297,0.167,0.598
9,2024.0,0.113,0.0,10.749,0.011,0.288,0.157,0.848
10,2025.0,0.106,0.0,11.774,0.01,0.279,0.098,1.048
11,2026.0,0.099,0.0,11.774,0.01,0.271,0.088,1.048
12,2027.0,0.092,0.0,11.774,0.009,0.297,0.078,1.048
13,2028.0,0.085,0.0,11.774,0.009,1.007,0.069,1.047
14,2029.0,0.078,0.0,11.774,0.509,1.311,0.059,1.047
15,2030.0,0.071,0.96,11.774,1.008,1.303,0.049,1.046
16,2031.0,0.064,0.96,11.774,2.508,1.689,0.039,1.046
17,2032.0,0.057,0.96,11.774,3.905,2.163,0.029,1.046
18,2033.0,0.05,1.018,11.774,3.905,3.324,0.02,1.045
19,2034.0,0.042,1.153,11.774,3.904,4.361,0.01,1.045
20,2035.0,0.035,1.153,11.774,3.903,7.125,0.0,1.044
21,2036.0,0.028,1.262,11.774,3.9,9.032,0.0,1.044
22,2037.0,0.021,1.384,11.774,3.899,10.779,0.0,1.043
23,2038.0,0.014,1.583,11.774,3.993,12.316,0.0,1.043
24,2039.0,0.007,1.667,11.774,5.492,13.349,0.0,1.043
25,2040.0,0.0,1.823,11.774,6.992,14.51,0.0,1.042
26,2041.0,0.0,1.841,11.774,9.019,15.147,0.0,1.042
27,2042.0,0.0,2.078,11.774,9.019,16.769,0.0,1.041
28,2043.0,0.0,2.268,11.774,9.592,18.189,0.0,1.041
29,2044.0,0.0,2.522,11.774,10.092,19.748,0.0,1.04
30,2045.0,0.0,2.686,11.774,10.516,22.297,0.0,0.92
31,2046.0,0.0,2.686,11.774,12.77,23.565,0.0,0.75
32,2047.0,0.0,2.686,11.774,15.492,24.243,0.0,0.65
33,2048.0,0.0,2.686,11.774,17.532,26.301,0.0,0.45
34,2049.0,0.0,2.686,11.774,19.981,28.257,0.0,0.2
35,2050.0,0.0,2.686,11.774,22.981,29.958,0.0,0.0
36,2051.0,0.0,2.686,11.774,25.495,29.992,0.0,0.0
37,2052.0,0.0,2.686,11.774,28.363,29.957,0.0,0.0
38,2053.0,0.0,2.686,11.646,31.363,29.976,0.0,0.0
39,2054.0,0.0,2.686,11.646,33.863,30.296,0.0,0.0
40,2055.0,0.0,2.686,11.646,36.695,30.296,0.0,0.0
41,2056.0,0.0,2.686,11.646,38.656,30.98,0.0,0.0
42,2057.0,0.0,2.686,11.646,40.758,31.636,0.0,0.0
43,2058.0,0.0,2.686,11.646,44.258,31.342,0.0,0.0
44,2059.0,0.0,2.686,11.646,47.758,31.653,0.0,0.0
45,2060.0,0.0,1.727,11.646,51.258,33.959,0.0,0.0
46,2061.0,0.0,1.727,11.603,54.288,33.641,0.0,0.0
47,2062.0,0.0,1.712,11.603,57.363,33.296,0.0,0.0
48,2063.0,0.0,1.654,11.603,60.195,33.176,0.0,0.0
49,2064.0,0.0,1.518,11.603,61.696,34.211,0.0,0.0
50,2065.0,0.0,1.518,11.603,63.272,34.501,0.0,0.0
51,2066.0,0.0,1.409,11.603,62.49,37.594,0.0,0.0
52,2067.0,0.0,1.283,11.571,64.514,38.79,0.0,0.0
53,2068.0,0.0,0.893,11.571,67.175,40.234,0.0,0.0
54,2069.0,0.0,0.555,11.571,68.69,42.481,0.0,0.0
55,2070.0,0.0,0.235,11.571,70.763,44.376,0.0,0.0
