,y,Oil,Gas,Hydro,Solar PV,Wind,Biomass,Geothermal,power_trade
1,2016.0,0.68,0.0,31.93,0.08,3.33,2.82,0.21,-0.22
2,2017.0,0.68,0.0,56.59,0.06,1.29,0.0,0.21,-11.03
3,2018.0,0.68,0.0,59.94,0.06,2.55,1.14,0.21,-8.37
4,2019.0,0.68,0.0,59.94,0.09,3.33,2.82,0.21,-2.43
5,2020.0,0.68,0.0,59.94,0.09,3.33,2.82,3.43,2.64
6,2021.0,0.65,0.0,59.94,0.08,3.24,2.68,7.98,3.3
7,2022.0,0.62,0.0,59.94,0.08,3.15,2.54,10.66,6.3
8,2023.0,0.58,0.0,83.62,0.08,3.06,2.4,16.03,-15.82
9,2024.0,0.55,0.0,97.0,0.07,2.97,2.26,22.73,-28.67
10,2025.0,0.52,0.0,135.44,0.07,2.89,1.41,28.09,-62.99
11,2026.0,0.49,0.0,145.56,0.05,2.8,0.51,28.08,-64.83
12,2027.0,0.45,0.0,148.81,0.07,3.07,1.13,28.07,-61.54
13,2028.0,0.42,0.0,148.81,0.06,10.4,0.99,28.06,-60.62
14,2029.0,0.39,0.0,148.81,3.29,13.55,0.85,28.05,-58.27
15,2030.0,0.34,10.67,148.81,6.51,13.46,0.7,28.04,-62.31
16,2031.0,0.31,10.67,148.81,16.19,17.45,0.56,28.03,-65.17
17,2032.0,0.27,10.67,148.81,25.21,22.35,0.42,28.02,-67.49
18,2033.0,0.24,11.35,148.81,25.21,34.34,0.28,28.01,-67.77
19,2034.0,0.2,13.29,148.81,25.2,45.05,0.14,28.0,-67.18
20,2035.0,0.17,9.78,148.81,17.69,73.61,0.0,27.99,-68.04
21,2036.0,0.14,9.12,147.11,15.86,93.31,0.0,27.98,-67.94
22,2037.0,0.1,9.78,144.78,15.93,111.36,0.0,27.97,-67.67
23,2038.0,0.07,11.98,144.67,16.8,126.18,0.0,27.96,-67.42
24,2039.0,0.03,12.22,145.08,24.4,137.03,0.0,27.94,-67.18
25,2040.0,0.0,12.35,145.08,32.45,149.08,0.0,27.93,-66.62
26,2041.0,0.0,11.9,145.11,43.06,156.49,0.0,27.92,-66.78
27,2042.0,0.0,14.31,145.08,43.51,171.93,0.0,27.91,-66.58
28,2043.0,0.0,15.67,145.08,47.16,185.44,0.0,27.9,-66.2
29,2044.0,0.0,17.71,145.08,50.43,200.26,0.0,27.89,-66.2
30,2045.0,0.0,18.59,145.08,51.21,223.69,0.0,24.66,-66.61
31,2046.0,0.0,19.19,145.08,64.34,235.9,0.0,20.1,-67.24
32,2047.0,0.0,19.31,144.46,82.29,242.97,0.0,17.42,-67.44
33,2048.0,0.0,18.72,143.03,93.68,262.15,0.0,12.06,-66.82
34,2049.0,0.0,19.66,142.47,107.88,279.79,0.0,5.36,-67.37
35,2050.0,0.0,19.61,142.47,125.14,294.15,0.0,0.0,-67.54
36,2051.0,0.0,19.84,142.47,140.76,294.14,0.0,0.0,-67.8
37,2052.0,0.0,19.44,142.47,158.15,293.16,0.0,0.0,-67.94
38,2053.0,0.0,18.23,140.7,176.76,292.94,0.0,0.0,-67.0
39,2054.0,0.0,17.96,140.7,192.72,294.35,0.0,0.0,-67.0
40,2055.0,0.0,17.59,140.7,211.93,292.84,0.0,0.0,-67.0
41,2056.0,0.0,16.45,139.14,229.59,295.52,0.0,0.0,-66.76
42,2057.0,0.0,16.06,138.67,248.48,296.49,0.0,0.0,-67.16
43,2058.0,0.0,15.76,138.24,272.99,292.09,0.0,0.0,-67.16
44,2059.0,0.0,13.66,137.17,297.16,291.28,0.0,0.0,-67.16
45,2060.0,0.0,6.51,134.49,318.67,300.61,0.0,0.0,-67.17
46,2061.0,0.0,6.05,133.85,338.78,295.72,0.0,0.0,-66.55
47,2062.0,0.0,5.5,133.85,359.33,290.75,0.0,0.0,-66.46
48,2063.0,0.0,4.77,133.85,379.73,286.89,0.0,0.0,-66.79
49,2064.0,0.0,4.25,133.85,395.68,288.01,0.0,0.0,-67.48
50,2065.0,0.0,4.25,133.47,413.86,285.8,0.0,0.0,-66.86
51,2066.0,0.0,4.15,130.81,418.81,302.7,0.0,0.0,-67.59
52,2067.0,0.0,3.59,130.33,427.04,314.25,0.0,0.0,-67.12
53,2068.0,0.0,2.5,130.33,438.63,323.26,0.0,0.0,-67.59
54,2069.0,0.0,1.56,130.33,446.89,336.82,0.0,0.0,-68.54
55,2070.0,0.0,0.66,130.33,453.17,352.25,0.0,0.0,-68.54
