,y,Coal imports (inland transport-maritime freight)
0,2040.0,34.3411
1,2041.0,34.3411
2,2042.0,58.5865
3,2043.0,58.5865
4,2044.0,58.5865
5,2045.0,58.5865
6,2046.0,58.5865
7,2047.0,58.5865
8,2048.0,266.2327
9,2049.0,274.0272
10,2050.0,274.0272
11,2051.0,274.0272
12,2052.0,274.0272
13,2053.0,274.0272
14,2054.0,274.0272
15,2055.0,274.0272
16,2056.0,283.3752
17,2057.0,283.0077
18,2058.0,274.0651
19,2059.0,274.6576
20,2060.0,275.7926
21,2061.0,273.1269
22,2062.0,272.4601
23,2063.0,271.7762
24,2064.0,264.1576
25,2065.0,256.1678
26,2066.0,255.817
27,2067.0,239.8764
28,2068.0,241.0942
29,2069.0,242.3432
30,2070.0,221.7566
