,y,Coal power plant - OTF/OTS cooling (new),Geothermal power plant - MDT cooling (new),Dagash,Dal,Kajbar,Mograt,Sabaloka,Shereik,Upper Atbara,Light Fuel Oil stand alone (1kW),Dagash FPV,Dal FPV,Jebel Aulia FPV,Kajbar FPV,Kashm El Girba  FPV,Mograt FPV,Merowe FPV,Sabaloka FPV,Shereik FPV,Upper Atbara FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage
28,2050.0,0.0,0.10000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9800419813022474,0.5
29,2051.0,0.0,0.09999999999999931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399316050746856,0.5
30,2052.0,0.0,0.10000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6865056287311466,0.5
31,2053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5
32,2054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.01,0.0,0.0,0.0,0.0,0.21522465503653274,0.0,3.0,0.5
33,2055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5
34,2056.0,0.0028893058294583765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2621464640955045,3.0,0.5
35,2057.0,0.4784710141116368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10477534496346727,3.0,3.0,0.5
36,2058.0,0.8447195843985227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.5
37,2059.0,0.05403291013235069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0469544974200373,3.0,0.5
