,y,Dagash FPV,Dal FPV,Jebel Aulia FPV,Kajbar FPV,Kashm El Girba  FPV,Mograt FPV,Merowe FPV,Sabaloka FPV,Shereik FPV,Upper Atbara FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage
38,2053.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.0,0.11920804729491477,30.0178527373596,9.546416413519651
39,2054.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.0,0.39519606875570235,31.748128256153926,9.546416413519651
40,2055.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.0,3.3951960687557023,34.748128256153926,10.0
41,2056.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,6.395196068755702,36.64698273293335,10.0
42,2057.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,7.546207769279452,38.40257853602702,10.0
43,2058.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,9.485351165811286,39.94059923746505,10.0
44,2059.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,10.118647658965983,41.44059923746505,10.0
45,2060.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,10.683066031829236,42.94059923746505,10.0
46,2061.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,12.118657678202457,44.553949662978795,10.0
47,2062.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,12.848762322631355,46.03889168707451,10.0
48,2063.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,13.789028277735005,47.387466705008386,10.0
49,2064.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,16.298065762037286,48.84733802094198,10.0
50,2065.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,18.483539444816273,50.73608550483944,10.0
51,2066.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,18.54347418597091,52.97833768363587,10.0
52,2067.0,0.106287845882623,0.220751679910064,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,21.486090593867992,54.91417491934139,10.0
53,2068.0,0.106287845882623,0.22075167991006397,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,23.8823803255455,54.91417491934139,10.0
54,2069.0,0.106287845882623,0.22075167991006397,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,24.06137675888671,56.99229489565585,10.0
55,2070.0,0.106287845882623,0.22075167991006397,0.00647265728131361,0.12263982217225801,0.0034066617270071594,0.10628784588262301,0.422426054148888,0.0698365654036468,0.143079792534301,0.109013175264229,25.14588526648091,58.36804066338047,10.0
