,y,Coal,Oil,Hydro,Solar PV,Solar FPV,Biomass,Geothermal,power_trade
0,2015.0,0.0,10.88,45.4,0.07,0.0,0.0,0.0,-8.94
1,2016.0,0.0,10.9,50.33,0.07,0.0,0.0,0.0,-8.94
2,2017.0,0.0,10.88,50.21,0.08,0.0,0.0,0.0,-8.94
3,2018.0,0.0,10.88,50.71,0.08,0.0,0.0,0.0,-9.59
4,2019.0,0.0,10.88,46.99,0.08,0.0,0.0,0.0,-6.08
5,2020.0,0.0,10.88,47.5,0.08,0.0,0.0,0.0,-6.71
6,2021.0,0.0,29.6,79.69,0.07,0.0,3.25,0.0,-54.57
7,2022.0,0.0,22.99,90.95,0.07,0.0,3.08,0.0,-54.98
8,2023.0,0.0,27.54,90.95,0.07,0.0,2.91,0.0,-55.04
9,2024.0,0.0,19.04,99.06,0.07,0.0,2.74,2.68,-52.63
10,2025.0,0.0,15.58,108.36,0.06,0.0,1.71,5.36,-55.04
11,2026.0,0.0,7.67,108.36,0.06,0.0,1.54,8.04,-44.86
12,2027.0,0.0,7.08,108.36,0.06,0.0,1.37,10.72,-41.28
13,2028.0,0.0,6.53,117.71,0.06,0.0,1.2,10.72,-43.74
14,2029.0,0.0,5.98,117.71,0.05,0.0,1.03,10.72,-36.92
15,2030.0,0.0,5.45,142.28,0.05,0.0,0.86,10.72,-52.96
16,2031.0,0.0,4.91,142.28,0.05,0.0,0.68,10.72,-42.51
17,2032.0,0.0,4.36,142.28,3.49,0.0,0.51,10.72,-35.02
18,2033.0,0.0,3.8,142.28,13.66,0.0,0.34,10.72,-33.84
19,2034.0,0.0,3.27,142.28,25.71,0.0,0.17,10.72,-33.7
20,2035.0,0.0,2.73,160.23,26.09,0.0,0.0,10.72,-50.13
21,2036.0,0.0,2.18,160.23,37.13,0.0,0.0,10.72,-50.25
22,2037.0,0.0,1.63,160.23,49.02,0.0,0.0,10.72,-50.34
23,2038.0,0.0,1.09,160.23,62.19,0.0,0.0,10.72,-50.85
24,2039.0,0.0,0.55,160.23,75.61,0.0,0.0,10.72,-50.63
25,2040.0,0.0,0.0,160.23,89.04,0.0,0.0,10.72,-49.34
26,2041.0,0.0,0.0,160.23,101.8,0.0,0.0,10.72,-49.94
27,2042.0,0.0,0.0,160.23,115.32,0.0,0.0,10.72,-50.64
28,2043.0,0.0,0.0,160.23,129.64,0.0,0.0,10.72,-51.3
29,2044.0,0.0,0.0,160.23,144.83,0.0,0.0,10.72,-52.03
30,2045.0,0.0,0.0,160.23,160.92,0.0,0.0,10.72,-52.76
31,2046.0,0.0,0.0,160.23,173.48,0.0,0.0,10.72,-48.88
32,2047.0,31.97,0.0,160.23,184.32,0.0,0.0,10.72,-72.58
33,2048.0,111.19,0.0,160.23,206.64,11.23,0.0,10.72,-162.66
34,2049.0,115.0,0.0,160.23,214.3,11.23,0.0,10.72,-154.02
35,2050.0,115.0,0.0,160.23,230.25,11.23,0.0,10.72,-149.14
36,2051.0,115.0,0.0,160.23,240.8,11.23,0.0,10.72,-146.38
37,2052.0,115.0,0.0,160.23,251.43,11.23,0.0,10.72,-143.18
38,2053.0,115.0,0.0,160.23,262.31,11.29,0.0,10.72,-139.78
39,2054.0,115.0,0.0,160.23,274.0,11.29,0.0,10.72,-136.49
40,2055.0,113.99,0.0,160.23,293.9,11.29,0.0,10.72,-140.37
41,2056.0,114.7,0.0,160.23,304.93,11.29,0.0,10.72,-136.07
42,2057.0,115.0,0.0,160.23,317.17,11.29,0.0,10.72,-131.85
43,2058.0,111.51,0.0,160.23,338.04,11.29,0.0,10.72,-131.52
44,2059.0,105.42,0.0,160.23,365.05,11.29,0.0,10.72,-133.9
45,2060.0,103.88,0.0,160.23,382.44,11.29,0.0,10.72,-130.78
46,2061.0,103.58,0.0,160.23,393.86,11.29,0.0,10.72,-128.16
47,2062.0,104.53,0.0,160.23,402.63,11.29,0.0,10.72,-123.79
48,2063.0,105.82,0.0,160.23,410.76,11.29,0.0,10.72,-118.72
49,2064.0,105.83,0.0,159.23,424.06,11.29,0.0,10.72,-115.96
50,2065.0,102.89,0.0,156.19,448.58,11.29,0.0,10.72,-118.65
51,2066.0,98.64,0.0,155.03,472.49,10.03,0.0,10.72,-119.97
52,2067.0,92.28,0.0,153.56,499.87,10.03,0.0,10.72,-123.24
53,2068.0,91.28,0.0,153.56,516.03,10.38,0.0,10.72,-121.31
54,2069.0,91.14,0.0,153.56,530.23,10.03,0.0,10.72,-118.47
55,2070.0,91.64,0.0,153.56,543.61,10.38,0.0,10.72,-114.96
