,y,Dal,Dagash,Jebel Aulia,Kajbar,Mograt,Merowe,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Roseires,Sabaloka,Sennar,Shereik
0,2015.0,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.0,2.5,0.27,0.0,0.026,0.0
1,2016.0,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.0,2.5,0.27,0.0,0.026,0.0
2,2017.0,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.0,2.5,0.27,0.0,0.026,0.0
3,2018.0,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.0,2.5,0.27,0.0,0.026,0.0
4,2019.0,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.0,2.5,0.27,0.0,0.026,0.0
5,2020.0,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.0,2.5,0.27,0.0,0.026,0.0
6,2021.0,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.0,2.5,0.27,0.0,0.026,0.0
7,2022.0,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.0
8,2023.0,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.0
9,2024.0,0.0,0.0,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.0
10,2025.0,0.0,0.0,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.42
11,2026.0,0.0,0.0,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.42
12,2027.0,0.0,0.0,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.42
13,2028.0,0.0,0.312,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.42
14,2029.0,0.0,0.312,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.42
