,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Geothermal
0,2015.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0
1,2016.0,0.0,0.01,0.0,0.0,0.001,0.0,0.0
2,2017.0,0.0,0.0,0.0,0.32,0.001,0.0,0.0
3,2021.0,0.0,0.0,1.242,0.0,0.0,0.0,0.0
4,2024.0,0.0,0.0,0.0,0.36,0.0,0.0,0.1
5,2025.0,0.0,0.0,0.0,0.42,0.0,0.0,0.1
6,2026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
7,2027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
8,2028.0,0.0,0.0,0.0,0.312,0.0,0.0,0.0
9,2030.0,0.0,0.0,0.0,0.853,0.0,0.0,0.0
10,2031.0,0.0,0.0,0.0,0.312,0.5,0.0,0.0
11,2032.0,0.0,0.0,0.0,0.0,1.374,0.0,0.0
12,2033.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0
13,2034.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0
14,2035.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0
15,2036.0,0.0,0.0,0.0,0.0,1.601,0.0,0.0
16,2037.0,0.0,0.0,0.0,0.0,1.744,0.0,0.0
17,2038.0,0.0,0.0,0.0,0.0,1.962,0.0,0.0
18,2039.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
19,2040.0,0.502,0.0,0.0,0.0,2.0,0.0,0.0
20,2041.0,0.0,0.0,0.0,0.0,1.887,0.0,0.0
21,2042.0,0.354,0.0,0.0,0.0,2.015,0.0,0.0
22,2043.0,0.0,0.0,0.0,0.0,2.151,0.344,0.0
23,2044.0,0.0,0.0,0.0,0.0,2.04,0.0,0.0
24,2045.0,0.0,0.0,0.0,0.0,1.611,0.0,0.0
25,2046.0,0.0,0.0,0.0,0.0,1.258,0.0,0.0
26,2047.0,0.0,0.0,0.0,0.0,1.564,0.0,0.0
27,2048.0,3.149,0.0,0.0,0.0,3.5,0.847,0.0
28,2049.0,0.0,0.0,0.0,0.0,1.422,0.0,0.1
29,2050.0,0.0,0.0,0.0,0.0,2.124,0.0,0.1
30,2051.0,0.0,0.0,0.0,0.0,2.215,0.0,0.1
31,2052.0,0.0,0.0,0.0,0.0,3.153,0.0,0.1
32,2053.0,0.0,0.0,0.0,0.0,3.619,0.009,0.0
33,2054.0,0.0,0.0,0.0,0.0,3.776,0.0,0.0
34,2055.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0
35,2056.0,0.137,0.0,0.0,0.0,6.5,0.109,0.0
36,2057.0,0.0,0.0,0.0,0.0,4.651,0.0,0.0
37,2058.0,0.0,0.0,0.0,0.0,5.439,0.0,0.0
38,2059.0,0.0,0.0,0.0,0.0,4.133,0.0,0.0
39,2060.0,0.0,0.0,0.0,0.0,4.064,0.0,0.0
40,2061.0,0.0,0.0,0.0,0.0,4.936,0.0,0.0
41,2062.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0
42,2063.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0
43,2064.0,0.0,0.0,0.0,0.0,6.009,0.0,0.0
44,2065.0,0.0,0.0,0.0,0.0,5.685,0.0,0.0
45,2066.0,0.0,0.0,0.0,0.0,3.56,0.0,0.0
46,2067.0,0.0,0.0,0.0,0.0,6.443,0.0,0.0
47,2068.0,0.0,0.0,0.0,0.0,5.896,0.344,0.0
48,2069.0,0.0,0.0,0.0,0.0,3.679,0.0,0.0
49,2070.0,0.0,0.0,0.0,0.0,4.585,0.0,0.0
