,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Dal,Dagash,Jebel Aulia,Kajbar,Mograt,Merowe,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Roseires,Sabaloka,Sennar,Shereik,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Dal FPV,Dagash FPV,Jebel Aulia FPV,Kajbar FPV,Mograt FPV,Merowe FPV,Sabaloka FPV,Shereik FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage
0,2015.0,0.23808,0.0,0.0,0.405,1.500386,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.0,2.5,0.27,0.0,0.026,0.0,0.0,0.32015,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011099999999999999,0.0
1,2016.0,0.23808,0.0,0.0,0.405,1.500386,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.0,2.5,0.27,0.0,0.026,0.0,0.00571004553115331,0.32015,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0121,0.0
2,2017.0,0.23808,0.0,0.0,0.405,1.500386,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.0,2.5,0.27,0.0,0.026,0.0,0.00571004553115331,0.32015,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.0
3,2018.0,0.23808,0.0,0.0,0.405,1.500386,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.0,2.5,0.27,0.0,0.026,0.0,0.00571004553115331,0.32015,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.0
4,2019.0,0.23808,0.0,0.0,0.405,1.500386,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.0,2.5,0.27,0.0,0.026,0.0,0.00571004553115331,0.32015,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.0
5,2020.0,0.23808,0.0,0.0,0.405,1.500386,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.0,2.5,0.27,0.0,0.026,0.0,0.00571004553115331,0.32015,0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012694999999999998,0.0
6,2021.0,0.226176,0.0,0.0,0.38475,1.4253667,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.0,2.5,0.27,0.0,0.026,0.0,0.00571004553115331,0.3041425,0.02964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012289999999999999,0.0
7,2022.0,0.214272,0.0,0.0,0.3645,1.3503474,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.0,0.00571004553115331,0.288135,0.02808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011885,0.0
8,2023.0,0.202368,0.0,0.0,0.34425,1.2753281,0.0,0.0,0.019,0.0,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.0,0.00571004553115331,0.2721275,0.02652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01148,0.0
9,2024.0,0.190464,0.0,0.1,0.324,1.2003088,0.0,0.0,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.0,0.00571004553115331,0.25612,0.02496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011074999999999998,0.0
10,2025.0,0.11904,0.0,0.2,0.30375,1.1252895,0.0,0.0,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.42,0.00571004553115331,0.2401125,0.0234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010669999999999999,0.0
11,2026.0,0.107136,0.0,0.30000000000000004,0.2835,1.0502702,0.0,0.0,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.42,0.0,0.224105,0.02184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010265,0.0
12,2027.0,0.095232,0.0,0.4000000000000001,0.26325,0.9752509,0.0,0.0,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.42,0.0,0.2080975,0.02028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00986,0.0
13,2028.0,0.083328,0.0,0.4000000000000001,0.243,0.9002316,0.0,0.312,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.42,0.0,0.19209,0.01872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009455,0.0
14,2029.0,0.071424,0.0,0.4000000000000001,0.22275,0.8252123,0.0,0.312,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.0,0.026,0.42,0.0,0.1760825,0.01716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009049999999999999,0.0
15,2030.0,0.05952,0.0,0.4000000000000001,0.2025,0.750193,0.648,0.312,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.205,0.026,0.42,0.0,0.160075,0.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008645,0.0
16,2031.0,0.047616,0.0,0.4000000000000001,0.18225,0.6751737,0.648,0.312,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.205,0.026,0.42,0.0,0.1440675,0.01404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00824,0.0
17,2032.0,0.035712,0.0,0.4000000000000001,0.162,0.6001544,0.648,0.312,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.205,0.026,0.42,0.0,0.12806,0.01248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007835,0.37857796022957796
18,2033.0,0.023808,0.0,0.4000000000000001,0.14175,0.5251351,0.648,0.312,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.205,0.026,0.42,0.0,0.1120525,0.01092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9586904210282268,0.878577960229578
19,2034.0,0.011904,0.0,0.4000000000000001,0.1215,0.4501158,0.648,0.312,0.019,0.36,0.0,1.24,0.0328,0.7517289857386816,2.5,0.27,0.205,0.026,0.42,0.0,0.096045,0.00936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.225422470372524,1.378577960229578
20,2035.0,0.0,0.0,0.4000000000000001,0.10125,0.3750965,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42,0.0,0.0800375,0.0078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2220174703725237,1.4231980700229026
21,2036.0,0.0,0.0,0.4000000000000001,0.081,0.3000772,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42,0.0,0.06403,0.00624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3191705617317195,1.9231980700229026
22,2037.0,0.0,0.0,0.4000000000000001,0.06075,0.2250579,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42,0.0,0.0480225,0.00468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559582326776669,2.4231980700229028
23,2038.0,0.0,0.0,0.4000000000000001,0.0405,0.1500386,0.648,0.312,0.019,0.36,0.312,1.24,0.0328,1.431,2.705,0.27,0.205,0.026,0.42,0.0,0.032015,0.00312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.015981761615894,2.9231980700229028
