,y,Biomass & Waste CHP plant - OTF/OTS cooling (old),Coal power plant - OTF/OTS cooling (new),Egypt - Sudan Historic and Planned EL trade link,Ethiopia - Sudan EL existing trade link,Geothermal power plant - MDT cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (old),Dal,Dagash,Jebel Aulia,Kajbar,Mograt,Merowe,Small hydropower plant,Medium hydropower plant (Run-of river),Large hydropower plant (Dam),Roseires,Sabaloka,Sennar,Shereik,Light Fuel Oil stand alone (1kW),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (old),Dal FPV,Dagash FPV,Jebel Aulia FPV,Kajbar FPV,Mograt FPV,Merowe FPV,Sabaloka FPV,Shereik FPV,Solar PV (utility),Solar PV (roof top),Solar PV with storage
0,2015.0,0.0,0.0,-11.9837,3.037,0.0,1.9541,7.2394,0.0,0.0,0.5123,0.0,0.0,31.9424,0.2586,0.0,6.6385,6.0501,0.0,0.0,0.0,0.0,1.5447,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0658,0.0
1,2016.0,0.0,0.0,-11.9837,3.037,0.0,1.9541,7.2394,0.0,0.0,0.5123,0.0,0.0,34.9958,0.2586,0.0,8.5117,6.0501,0.0,0.0,0.0,0.0166,1.5447,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0717,0.0
2,2017.0,0.0,0.0,-11.9837,3.037,0.0,1.9541,7.2394,0.0,0.0,0.5123,0.0,0.0,34.9958,0.0,0.0,8.6454,6.0501,0.0,0.0,0.0,0.0002,1.5447,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.0
3,2018.0,0.0,0.0,-11.9837,2.3933,0.0,1.9541,7.2394,0.0,0.0,0.5123,0.0,0.0,34.9958,0.0,0.0,9.1546,6.0501,0.0,0.0,0.0,0.0,1.5447,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.0
4,2019.0,0.0,0.0,-11.9837,5.8969,0.0,1.9541,7.2394,0.0,0.0,0.5123,0.0,0.0,30.9438,0.0,0.0,9.4925,6.0501,0.0,0.0,0.0,0.0,1.5447,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.0
5,2020.0,0.0,0.0,-11.9837,5.2712,0.0,1.9541,7.2394,0.0,0.0,0.5123,0.0,0.0,34.4409,0.0,0.0,6.4374,6.0501,0.0,0.0646,0.0,0.0,1.5447,0.1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0752,0.0
6,2021.0,3.2504,0.0,-59.9184,5.3539,0.0,9.2821,18.6894,0.0,0.0,0.5123,0.0,0.0,34.9958,0.2586,0.0,37.449,6.0501,0.0,0.4209,0.0,0.0152,1.4675,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0728,0.0
7,2022.0,3.0793,0.0,-59.9184,4.9425,0.0,8.7936,12.6472,0.0,0.0,0.5123,0.0,0.0,34.9958,0.2586,11.2606,37.449,6.0501,0.0,0.4209,0.0,0.0152,1.3903,0.1355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704,0.0
8,2023.0,2.9082,0.0,-59.9184,4.8838,0.0,8.305,17.7827,0.0,0.0,0.5123,0.0,0.0,34.9958,0.2586,11.2606,37.449,6.0501,0.0,0.4209,0.0,0.0152,1.313,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0
9,2024.0,2.7371,0.0,-57.508,4.8838,2.6806,7.8165,9.8357,0.0,0.0,0.5123,8.1111,0.0,34.9958,0.2586,11.2606,37.449,6.0501,0.0,0.4209,0.0,0.0152,1.2358,0.1204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0656,0.0
10,2025.0,1.7107,0.0,-59.9184,4.8838,5.3611,7.328,6.9616,0.0,0.0,0.5123,8.1111,0.0,34.9958,0.2586,11.2606,37.449,6.0501,0.0,0.4209,9.2977,0.0152,1.1585,0.1129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0632,0.0
11,2026.0,1.5396,0.0,-49.7406,4.8838,8.0417,1.414,5.0676,0.0,0.0,0.5123,8.1111,0.0,34.9958,0.2586,11.2606,37.449,6.0501,0.0,0.4209,9.2977,0.0,1.0813,0.1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0608,0.0
12,2027.0,1.3686,0.0,-46.1605,4.8838,10.7222,1.2702,4.7056,0.0,0.0,0.5123,8.1111,0.0,34.9958,0.2586,11.2606,37.449,6.0501,0.0,0.4209,9.2977,0.0,1.0041,0.0979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0584,0.0
13,2028.0,1.1975,0.0,-47.7499,4.0133,10.7222,1.1725,4.3436,0.0,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,11.2606,37.449,6.0501,0.0,0.4209,9.2977,0.0,0.9268,0.0903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0
14,2029.0,1.0264,0.0,-39.752,2.8277,10.7222,1.0748,3.9817,0.0,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,11.2606,37.449,6.0501,0.0,0.4209,9.2977,0.0,0.8496,0.0828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0536,0.0
15,2030.0,0.8554,0.0,-53.7257,0.7715999999999998,10.7222,0.9771,3.6197,18.4556,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,11.2606,37.449,6.0501,6.1113,0.4209,9.2977,0.0,0.7724,0.0753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0512,0.0
16,2031.0,0.6843,0.0,-43.2776,0.7715999999999998,10.7222,0.8794,3.2577,18.4556,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,11.2606,37.449,6.0501,6.1113,0.4209,9.2977,0.0,0.6951,0.0677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488,0.0
17,2032.0,0.5132,0.0,-35.9189,0.8988999999999998,10.7222,0.7817,2.8957,18.4556,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,11.2606,37.449,6.0501,6.1113,0.4209,9.2977,0.0,0.6179,0.0602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0464,3.4372
18,2033.0,0.3421,0.0,-36.1127,2.2675,10.7222,0.6839,2.5338,18.4556,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,11.2606,37.449,6.0501,6.1113,0.4209,9.2977,0.0,0.5407,0.0527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6808,7.9768
19,2034.0,0.1711,0.0,-36.742,3.037,10.7222,0.5862,2.1718,18.4556,9.3473,0.5123,8.1111,0.0,34.9958,0.2586,11.2606,37.449,6.0501,6.1113,0.4209,9.2977,0.0,0.4634,0.0452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.187,12.5164
20,2035.0,0.0,0.0,-52.7105,2.5755999999999997,10.7222,0.4885,1.8098,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.3862,0.0376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1669,12.9215
21,2036.0,0.0,0.0,-51.9882,1.7423000000000002,10.7222,0.3908,1.4479,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.3089,0.0301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6682,17.4612
22,2037.0,0.0,0.0,-51.734,1.3916,10.7222,0.2931,1.0859,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.2317,0.0226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0184,22.0008
23,2038.0,0.0,0.0,-52.1078,1.2570999999999999,10.7222,0.1954,0.7239,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.1545,0.0151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6485,26.5404
24,2039.0,0.0,0.0,-51.1165,0.48729999999999984,10.7222,0.0977,0.362,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0772,0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5346,31.08
25,2040.0,0.0,0.0,-49.9527,0.6076999999999999,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.423,35.6196
26,2041.0,0.0,0.0,-52.3494,2.4074999999999998,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.6398,40.1593
27,2042.0,0.0,0.0,-52.1328,1.4893,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6175,44.6989
28,2043.0,0.0,0.0,-52.8405,1.5403,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.4032,49.2385
29,2044.0,0.0,0.0,-53.034,1.0042,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0473,53.7781
30,2045.0,0.0,0.0,-54.0457,1.2916999999999998,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.6032,58.3177
31,2046.0,0.0,0.0,-49.6139,0.7305000000000001,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.6151,62.8573
32,2047.0,0.0,31.9651,-73.3052,0.7305000000000001,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.921,67.397
33,2048.0,0.0,111.1906,-164.6473,1.9896000000000003,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0,1.1631,1.0108,3.9643,0.6439,1.3469,0.0,134.6979,71.9366
34,2049.0,0.0,114.9958,-156.0286,2.0111,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0,1.1631,1.0108,3.9643,0.6439,1.3469,0.0,137.8175,76.4762
35,2050.0,0.0,114.9958,-150.9776,1.8386,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0,1.1631,1.0108,3.9643,0.6439,1.3469,0.0,149.2262,81.0158
36,2051.0,0.0,114.9958,-148.5915,2.2075,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0,1.1631,1.0108,3.9643,0.6439,1.3469,0.0,155.2376,85.5554
37,2052.0,0.0,114.9958,-146.4534,3.2700000000000005,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0,1.1631,1.0108,3.9643,0.6439,1.3469,0.0,164.7683,86.6578
38,2053.0,0.0,114.9958,-143.317,3.5391000000000004,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,0.0,175.6456,86.6578
39,2054.0,0.0,114.9958,-140.2158,3.7264,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,1.625,185.7247,86.6578
40,2055.0,0.0,113.9872,-144.1034,3.7264,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,1.625,201.4924,90.7923
41,2056.0,0.0,114.7037,-139.798,3.7264,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,1.625,212.5169,90.7923
42,2057.0,0.0,114.9958,-135.5825,3.7264,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,3.4849,222.8996,90.7923
43,2058.0,0.0,111.5068,-135.247,3.7264,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,14.9575,232.29,90.7923
44,2059.0,0.0,105.4205,-137.6331,3.7264,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,32.7344,241.5346,90.7923
45,2060.0,0.0,103.8784,-134.5115,3.7264,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,40.8003,250.8476,90.7923
46,2061.0,0.0,103.5765,-131.8895,3.7264,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,42.8568,260.2085,90.7923
47,2062.0,0.0,104.5257,-127.5221,3.7264,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,42.8568,268.9755,90.7923
48,2063.0,0.0,105.8164,-122.4731,3.7493,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.1111,4.7043,34.9958,0.2586,21.4358,40.5198,6.0501,6.1113,0.4209,9.2977,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,42.8568,277.1104,90.7923
49,2064.0,0.0,105.8341,-119.7915,3.8301,10.7222,0.0,0.0,18.4556,9.3473,0.5123,8.0132,4.497,34.9958,0.2347,21.4358,40.1647,6.0501,5.8472,0.4209,9.2481,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,48.6955,284.5724,90.7923
50,2065.0,0.0,102.8924,-122.3825,3.7264,10.7222,0.0,0.0,17.8964,8.9294,0.4838,8.0132,4.497,34.8919,0.2347,21.4358,38.7086,5.5812,5.8472,0.4165,9.2481,0.0,0.0,0.0,2.1018,1.0052,0.0579,1.1631,1.0108,3.9643,0.6439,1.3469,66.4724,292.0021,90.1084
51,2066.0,0.0,98.6415,-123.7017,3.7264,10.7222,0.0,0.0,17.8964,9.1762,0.4838,8.0132,4.497,33.2218,0.2347,21.4358,38.7086,5.5812,6.1113,0.4165,9.2481,0.0,0.0,0.0,1.7476,0.8348,0.0472,0.9539,0.8361,3.9643,0.5284,1.1178,80.6472,301.7671,90.068
52,2067.0,0.0,92.284,-126.9656,3.7264,10.7222,0.0,0.0,17.8964,8.9294,0.4838,8.0132,4.497,33.2218,0.2347,20.4776,38.7086,5.5812,5.8472,0.4165,9.2481,0.0,0.0,0.0,1.7476,0.8348,0.0472,0.9539,0.8361,3.9643,0.5284,1.1178,96.8545,313.2381,89.7776
