id,Country,Unit Name,loc_codes,Latitude ,Longitude,Status,Type,Reservoir area (km2),First Year,Capacity (MW),CF_H1D1,CF_H1D2,CF_S1D1,CF_S1D2,CF_H2D1,CF_H2D2,CF_S2D1,CF_S2D2,CF_H3D1,CF_H3D2,CF_S3D1,CF_S3D2,CF_H4D1,CF_H4D2,CF_S4D1,CF_S4D2
25,SOUTH SUDAN,Wau,WA,7.68,28.05,Candidate,Reservoir,,2030,10.4,0.076213456,0.076213456,0.355364995,0.088994541,0.035721686,0.035721686,0.296346847,0.070238719,0.258482761,0.258482761,0.33079598,0.099134948,0.015511363,0.015511363,0.394324048,0.09488829
26,SUDAN,Sennar,SN,13.30,33.89,Existing,Reservoir,15.2,1962,26,0.37670148,0.37670148,0.367136849,0.114052449,0.37670148,0.37670148,0.289343044,0.078925713,0.37670148,0.37670148,0.33376082,0.114590871,0.37670148,0.37670148,0.39572908,0.117331846
27,SUDAN,Kashm El Girba ,KS,14.92,35.91,Existing,Reservoir,,1964,10,0.059453313,0.059453313,0.358287169,0.125921831,0.750746739,0.750746739,0.308416196,0.104905219,0.571137916,0.571137916,0.334101056,0.131921597,0.063613666,0.063613666,0.381805381,0.128092863
28,SUDAN,Roseires,RS,11.80,34.39,Existing,Reservoir,233,1966,270,0.37670148,0.37670148,0.364343649,0.107080857,0.37670148,0.37670148,0.290834034,0.070465028,0.37670148,0.37670148,0.331435403,0.105644434,0.37670148,0.37670148,0.402022606,0.113192753
29,SUDAN,Jebel Aulia,JA,15.24,32.46,Existing,Reservoir,1222,2003,19,0.719482111,0.719482111,0.394661962,0.119032474,0.541193793,0.541193793,0.325284376,0.090738511,0.559768125,0.559768125,0.352422354,0.119746911,0.258345883,0.258345883,0.419103944,0.11949603
30,SUDAN,Merowe,MR,18.49,31.82,Existing,Reservoir,476,2009,1240,0.655100994,0.655100994,0.413247368,0.127498157,0.718299292,0.718299292,0.354717689,0.105177049,0.726122323,0.726122323,0.363811059,0.12547244,0.604711834,0.604711834,0.41797175,0.121631731
31,SUDAN,Upper Atbara,UA,14.28,35.90,Existing,Reservoir,,2017,320,0.003836261,0.003836261,0.355302618,0.12280474,0.131565155,0.131565155,0.308366572,0.100237762,0.067438259,0.067438259,0.334291981,0.129181535,0.00410471,0.00410471,0.377241228,0.123978404
32,SUDAN,Kajbar,KB,19.17,30.48,Candidate,Reservoir,,2024,360,1,1,0.419969241,0.121893036,1,1,0.364499185,0.104557962,1,1,0.379159046,0.122844235,1,1,0.432801062,0.11744304
33,SUDAN,Shereik,SH,19.23,33.48,Candidate,Reservoir,,2025,420,0.814360669,0.814360669,0.403671191,0.132951123,0.875889313,0.875889313,0.350340399,0.113667978,0.902647784,0.902647784,0.355961047,0.132739617,0.751721549,0.751721549,0.406304001,0.124821917
34,SUDAN,Dagash,DG,19.34,33.41,Candidate,Reservoir,,2028,312,0.868332636,0.868332636,0.406585023,0.133054681,0.936052115,0.936052115,0.354513442,0.114087073,0.991981421,0.991981421,0.360849304,0.132151495,0.835078247,0.835078247,0.406953132,0.123824632
35,SUDAN,Dal,DL,21.37,30.93,Candidate,Reservoir,,2030,648,0.868332636,0.868332636,0.425218208,0.12446067,0.936052115,0.936052115,0.377714983,0.110272129,0.991981421,0.991981421,0.38316936,0.125991419,0.835078247,0.835078247,0.407165177,0.113076009
36,SUDAN,Mograt,MG,19.29,32.69,Candidate,Reservoir,,2030,312,0.356166645,0.356166645,0.411173067,0.131514969,0.390526424,0.390526424,0.357714899,0.112749776,0.394779665,0.394779665,0.363487725,0.129727411,0.328770963,0.328770963,0.417260917,0.124711865
37,SUDAN,Sabaloka,SB,16.36,32.71,Candidate,Reservoir,,2030,205,0.957084715,0.957084715,0.402528299,0.12766212,0.954081204,0.954081204,0.339049765,0.101291637,0.970289661,0.970289661,0.350108687,0.125026723,0.817019549,0.817019549,0.419564643,0.124365051
38,EGYPT,Esna,ES,25.32,32.56,Existing,RoR,,2010,86,0.741492664,0.741492664,,,0.741492664,0.741492664,,,0.741492664,0.741492664,,,0.741492664,0.741492664,,
39,EGYPT,Naga Hamadi,NH,26.05,32.25,Existing,RoR,,2010,64,0.931563301,0.931563301,,,0.931563301,0.931563301,,,0.931563301,0.931563301,,,0.931563301,0.931563301,,
40,EGYPT,New Assiut Barrage,NB,30.00,31.25,Existing,RoR,,2018,31.74,1,1,,,1,1,,,1,1,,,1,1,,
41,ETHIOPIA,Tis Abay 1,T1,11.49,37.59,Existing,RoR,,2000,11,1,1,,,1,1,,,1,1,,,1,1,,
42,ETHIOPIA,Tis Abay 2,T2,11.49,37.6,Existing,RoR,,2010,78,0.981672549,0.981672549,,,0.981672549,0.981672549,,,0.981672549,0.981672549,,,0.981672549,0.981672549,,
43,ETHIOPIA,Sor,SR,8.39,35.44,Existing,RoR,,2014,5,0.101981243,0.101981243,,,0.816059565,0.816059565,,,0.544746726,0.544746726,,,0.030857955,0.030857955,,
44,SOUTH SUDAN,Bedden,BD,4.562483333,31.50418333,Candidate,RoR,,2024,570,0.922723372,0.922723372,,,0.432047836,0.432047836,,,0.626742811,0.626742811,,,0.437407417,0.437407417,,
45,SOUTH SUDAN,Fula,FL,3.954004,31.708496,Candidate,RoR,,2024,890,0.564512723,0.564512723,,,0.150913648,0.150913648,,,0.218720016,0.218720016,,,0.163102979,0.163102979,,
46,SOUTH SUDAN,Lakki,LK,4.128655,31.58125,Candidate,RoR,,2024,410,0.924906422,0.924906422,,,0.423115907,0.423115907,,,0.61911326,0.61911326,,,0.441214762,0.441214762,,
47,SOUTH SUDAN,Shukoli,SL,4.036405666,31.63442767,Candidate,RoR,,2024,235,0.554925371,0.554925371,,,0.148201719,0.148201719,,,0.21685228,0.21685228,,,0.154541072,0.154541072,,
48,SOUTH SUDAN,Fula Small,FS,3.670833336,31.97291667,Candidate,RoR,,2025,42,0.564512723,0.564512723,,,0.150913648,0.150913648,,,0.218720016,0.218720016,,,0.163102979,0.163102979,,
