TECH,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
SOL,2640,2499.2,2358.4,2217.6,2076.8,1936,1896.4,1856.8,1817.2,1777.6,1738,1698.4,1658.8,1619.2,1579.6,1540,1522.4,1504.8,1487.2,1469.6,1452,1434.4,1416.8,1399.2,1381.6,1364,1346.4,1328.8,1311.2,1293.6,1276,1258.4,1240.8,1223.2,1205.6,1188,1170.4,1152.8,1135.2,1117.6,1100,1082.4,1064.8,1047.2,1029.6,1012,994.4,976.8,959.2,941.6,924,906.4,888.8,871.2,853.6,836
WIND,2168.936698,2155.092421,2141.248144,2127.403868,2113.559591,2099.715314,2092.793176,2085.871037,2078.948899,2072.02676,2065.104622,2058.182484,2051.260345,2044.338207,2037.416068,2030.49393,2025.879171,2021.264412,2016.649653,2012.034894,2007.420135,2002.805376,1998.190618,1993.575859,1988.9611,1984.346341,1979.731582,1975.116823,1970.502064,1965.887305,1961.272546,1956.657787,1952.043028,1947.428269,1942.81351,1938.198751,1933.583992,1928.969234,1924.354475,1919.739716,1915.124957,1910.510198,1905.895439,1901.28068,1896.665921,1892.051162,1887.436403,1882.821644,1878.206885,1873.592126,1868.977367,1864.362609,1859.74785,1855.133091,1850.518332,1845.903573
