,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal,power_trade
45,2060.0,738.65,0.22,1344.88,352.15999999999997,3.12,1010.85,18.85,260.15999999999997,3.17,149.74,0.0
46,2061.0,751.4100000000001,0.22,1396.65,350.1,10.53,1039.19,23.75,271.94,1.58,151.49,0.0
47,2062.0,764.7199999999999,0.22,1453.4099999999999,348.30000000000007,19.18,1067.78,27.22,282.3,0.0,151.49,0.0
48,2063.0,777.74,0.22,1512.42,350.45000000000005,26.81,1097.57,30.810000000000002,288.57,0.0,151.49,0.0
49,2064.0,789.0,0.23,1570.45,353.74,34.21,1135.86,32.88,294.84000000000003,0.0,150.87,0.0
50,2065.0,800.08,0.22,1612.17,353.89000000000004,60.18,1178.6499999999999,35.059999999999995,301.11,0.0,150.5,-1.4210854715202004e-14
51,2066.0,812.3,0.22,1654.82,357.53000000000003,86.14,1210.7,31.4,317.07,0.0,155.47,0.0
52,2067.0,820.92,0.11,1694.92,376.04,112.1,1247.05,27.17,330.77,0.0,155.47,0.0
53,2068.0,835.29,0.02,1755.99,388.21000000000004,127.22,1274.33,28.68,344.77000000000004,0.0,154.48,0.0
54,2069.0,849.65,0.02,1833.2,381.01000000000005,129.81,1316.5300000000002,29.15,361.27,0.0,155.47,0.0
55,2070.0,855.25,0.08,1889.57,375.57,165.07,1359.24,30.0,378.12,0.0,155.47,-1.4210854715202004e-14
