,y,Biomass extraction/production/refining
0,2015,2022.5694
1,2016,2068.1735999999996
2,2017,2108.7768
3,2018,2150.3956000000003
4,2019,2192.0897999999997
5,2020,2236.1087
6,2021,2266.8543
7,2022,2292.0146
8,2023,2317.2490000000003
9,2024,2342.5316
10,2025,2359.3827
11,2026,2380.9488
12,2027,2402.5280000000002
13,2028,2424.4827
14,2029,2446.031
15,2030,2467.3196000000003
16,2031,2466.5056999999997
17,2032,2465.2564
18,2033,2463.466
19,2034,2461.2693
20,2035,2477.2269
21,2036,2473.6374
22,2037,2469.9105
23,2038,2466.078
24,2039,2462.1774
25,2040,2458.2378
26,2041,2440.4538000000002
27,2042,2422.7217
28,2043,2405.0643
29,2044,2387.5034
30,2045,2370.0532000000003
31,2046,2352.6164000000003
32,2047,2335.3010000000004
33,2048,2318.1059000000005
34,2049,2301.0278000000003
35,2050,2284.0621000000006
36,2051,2269.1573000000003
37,2052,2254.4431999999997
38,2053,2239.9111999999996
39,2054,2225.5507
40,2055,2211.3542
41,2056,2191.2318
42,2057,2177.3618
43,2058,2163.6506
44,2059,2150.093
45,2060,2136.6879999999996
46,2061,2120.2889999999998
47,2062,2104.0641000000005
48,2063,2088.0179000000003
49,2064,2072.1558999999997
50,2065,2058.9213999999997
51,2066,2045.8849
52,2067,2033.0554
53,2068,2020.4436
54,2069,2008.0612999999998
55,2070,1995.9192
