,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal
0,2015.0,0.0,5.485999999999999,30.798,6.156,0.0,0.031,0.0,1.113,1.266,0.008
1,2016.0,0.0,7.090999999999999,31.948,6.156,0.0,0.064,0.0,1.313,1.516,0.008
2,2017.0,0.0,7.154999999999999,33.028,8.346,0.0,0.066,0.0,1.313,1.516,0.008
3,2018.0,0.0,7.2669999999999995,49.378,8.378,0.0,0.11599999999999999,0.0,1.653,1.516,0.008
4,2019.0,0.0,7.651,49.378,8.378,0.0,0.11599999999999999,0.0,1.653,1.516,0.008
5,2020.0,0.0,7.651,52.21,8.378,0.0,0.216,0.0,1.653,1.516,0.128
6,2021.0,0.0,7.452,52.149,8.378,0.8,0.664,0.0,1.867,1.552,0.298
7,2022.0,0.0,7.25,50.783,8.378,1.2,1.014,0.0,2.331,1.59,0.398
8,2023.0,0.0,7.05,49.394000000000005,15.466000000000001,1.2,1.362,0.135,2.5450000000000004,1.526,0.598
9,2024.0,0.0,6.851,47.993,16.236,1.2,1.712,0.135,2.759,1.463,0.948
10,2025.0,3.0,6.5120000000000005,46.594,17.036,1.2,2.061,0.135,2.972,1.083,1.248
11,2026.0,6.0,6.232,45.195,17.036,1.2,2.41,0.135,3.187,1.019,1.3820000000000001
12,2027.0,6.0,5.968,43.793000000000006,17.681,1.2,2.7590000000000003,0.135,3.4,0.956,1.4820000000000002
13,2028.0,6.0,5.656000000000001,42.393,17.993,1.2,3.1079999999999997,0.135,3.615,0.893,1.7309999999999999
14,2029.0,6.0,5.073,40.993,17.993,1.2,3.2079999999999997,0.135,3.8280000000000003,0.83,1.9809999999999999
15,2030.0,6.0,4.871,39.593,18.846,1.2,3.257,0.135,4.043,0.767,2.1350000000000002
16,2031.0,6.0,4.671,38.193000000000005,20.158,1.2,4.242,0.135,4.505999999999999,0.703,2.1350000000000002
17,2032.0,6.0,4.4719999999999995,36.793000000000006,20.158,1.2,6.7509999999999994,0.135,4.969,0.6399999999999999,2.3850000000000002
18,2033.0,6.0,4.272,36.024,20.158,1.2,9.679,0.135,5.434,0.5770000000000001,2.616
19,2034.0,6.0,4.072,36.698,20.158,1.2,13.035,0.135,5.897,0.514,2.808
20,2035.0,7.0,3.8709999999999996,36.344,20.158,1.2,15.177,0.135,6.362,0.45,2.984
21,2036.0,8.0,3.67,35.902,20.728,1.2,18.708,0.135,6.824999999999999,0.45,3.169
22,2037.0,9.0,3.472,35.455000000000005,20.728,1.2,22.271,0.135,7.29,0.45,3.4179999999999997
23,2038.0,10.0,3.271,34.995000000000005,20.728,1.2,26.291,0.135,7.753,0.45,3.6679999999999997
24,2039.0,11.0,3.073,35.09,20.728,1.2,30.391000000000002,0.135,8.218,0.45,3.9179999999999997
25,2040.0,12.502,1.522,35.101,20.728,1.2,34.514,0.902,8.29,0.45,4.167
26,2041.0,14.002,0.0,36.916000000000004,20.728,1.2,40.184,0.902,8.84,0.45,4.168
27,2042.0,14.856,0.0,37.932,20.728,1.2,45.233000000000004,0.902,9.59,0.45,4.346
28,2043.0,15.356,0.0,39.334,20.728,1.2,50.284,1.246,10.0,0.45,4.609
29,2044.0,15.856,0.0,40.72,20.728,1.2,55.518,1.246,10.75,0.45,4.915000000000001
30,2045.0,16.356,0.0,42.266,20.728,1.2,60.879,1.246,11.5,0.45,5.105
31,2046.0,16.356,0.0,45.247,20.728,0.4,65.737,1.246,12.0,0.45,5.2490000000000006
32,2047.0,16.356,0.0,50.50599999999999,20.728,0.0,71.322,1.246,12.25,0.45,5.466
33,2048.0,21.25,0.0,42.132,20.728,0.0,78.92200000000001,2.093,12.75,0.45,5.556
34,2049.0,22.113,0.0,46.646,20.728,0.0,84.598,2.093,13.25,0.45,5.359
35,2050.0,24.076999999999998,0.0,45.721,22.328000000000003,0.0,91.233,2.093,13.75,0.45,5.174
36,2051.0,24.576999999999998,0.0,47.52,22.328000000000003,0.0,96.767,2.093,14.25,0.45,5.139000000000001
37,2052.0,25.076999999999998,0.0,49.416000000000004,22.328000000000003,0.0,102.349,2.093,14.75,0.45,5.139000000000001
38,2053.0,25.576999999999998,0.0,51.393,22.328000000000003,0.0,107.941,2.102,15.25,0.45,5.0920000000000005
39,2054.0,26.147,0.0,53.382,22.328000000000003,0.0,113.49900000000001,2.102,15.75,0.45,5.0920000000000005
40,2055.0,24.767,0.0,56.376,22.544,0.0,123.085,2.102,16.25,0.45,5.188000000000001
41,2056.0,23.407,0.0,60.104,22.544,0.0,130.934,2.211,16.59,0.2,5.438000000000001
42,2057.0,25.134,0.047,61.224,22.544,0.0,136.772,2.211,17.527,0.2,5.438000000000001
43,2058.0,26.829,0.084,62.333,22.544,0.0,142.95,2.667,18.507,0.2,5.455000000000001
44,2059.0,28.424,0.084,63.83,23.094,0.089,147.788,2.667,19.507,0.2,5.513000000000001
45,2060.0,30.086,0.084,65.45100000000001,23.344,0.24,152.535,2.7560000000000002,20.708000000000002,0.2,5.586
46,2061.0,30.586,0.084,67.72500000000001,23.301000000000002,0.811,156.95399999999998,3.604,21.740000000000002,0.1,5.651000000000001
47,2062.0,31.086,0.084,70.27900000000001,23.301000000000002,1.478,161.322,4.227,22.636000000000003,0.0,5.651000000000001
