,y,Coal power plant - Air cooling (new),Coal power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Light Fuel Oil stand alone (1kW),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - Air cooling (new),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old)
18,2033.0,0.0,4700.4755,1.1958,0.0,21.353,0.0,264.2237,19.4947,2160.9393999999998,7.01,1397.8668,969.5514999999999,0.2836,4.2903,0.0,826.8779,66.7829,1.0553,15.934000000000001,4.2818000000000005,65.941
19,2034.0,0.0,4700.4755,1.0249,0.0,18.302500000000002,0.0,452.0636,16.7097,2260.6245,6.008500000000001,1561.1575,831.0441,0.6217,3.6774,0.0,708.7525,164.97899999999998,0.9045000000000001,96.3708,3.6700000000000004,56.5209
20,2035.0,0.0,5483.8881,0.8541000000000001,0.0,15.2521,0.0,672.6864,13.9248,2261.8808,5.007099999999999,1561.1575,692.5368,1.1499,3.0645,29.8892,590.6271,247.91920000000002,0.7538,187.7831,3.0585,47.1008
21,2036.0,0.0,6267.3006,0.6832999999999999,0.0,12.201699999999999,0.0,672.6864,11.1398,2256.3232000000003,4.0057,1773.5681,554.0294,0.0,2.4516,147.897,472.5017,247.91920000000002,0.603,247.92340000000002,2.4377,59.1447
22,2037.0,0.0,7050.7132,0.5125,0.0,9.1514,0.0,884.5187999999999,8.3549,2255.8165,3.0043,1773.5681,415.52209999999997,0.0,1.8387,405.3275,354.3762,247.91920000000002,0.45230000000000004,247.9223,1.8283000000000003,44.358599999999996
23,2038.0,0.0,7834.1259,0.34169999999999995,0.0,6.1008,0.0,884.5187999999999,5.5699,2465.1691000000005,2.0028,1773.5681,277.0147,0.0,1.2258,604.0644000000001,236.2508,247.91920000000002,0.3015,247.92130000000003,1.2187,29.572300000000002
24,2039.0,0.0,8617.5384,0.1708,0.0,3.0504,0.0,1106.4025,2.785,2466.7418000000007,0.4098,1883.3627999999999,43.4812,0.0289,0.6129,658.4787,118.1254,247.91920000000002,0.1508,247.92020000000002,0.6094999999999999,14.786200000000001
25,2040.0,0.0,9794.2381,0.0,54.0181,0.0,0.0,1328.2859999999998,0.0,2243.4499,0.0,2105.2463,0.0,0.2278,0.0,411.9588,0.0,164.97899999999998,0.0,0.0012000000000000001,0.0,0.0
26,2041.0,0.0,10969.356999999998,0.0,0.0,0.0,0.0,1454.7285,0.0,2234.4757,0.0,2105.2463,0.0,0.5193,0.0,241.1865,0.0,0.0,0.0,0.0,0.0,0.0
27,2042.0,0.0,11638.7305,0.0,0.0,0.0,0.0,1542.4168,0.0,2067.0961,0.0,2326.5648,0.0,0.8631,0.0,257.1598,0.0,0.0,0.0,0.0012000000000000001,0.0,0.0
28,2043.0,0.0,12030.4367,0.0,0.0,0.0,0.0,1534.5084000000002,0.0,1997.4495,0.0,2659.3903,0.0,1.0281,0.0,198.7711,0.0,0.0,0.0,0.0012000000000000001,0.0,0.0
29,2044.0,0.0,12422.143,0.0,0.0,0.0,0.0,1692.522,0.0,2039.0266,0.0,2659.3903,0.0,1.0136,0.0,241.712,0.0,0.0,0.0,0.0012000000000000001,0.0,0.0
30,2045.0,0.0,12813.8493,0.0,0.0,0.0,0.0,1930.0098,0.0,1916.5871,0.0,2803.0065999999997,0.0,0.9982,0.0,241.712,0.0,0.0,0.0,0.0036,0.0,0.0
31,2046.0,0.0,12813.8493,0.0,0.0,0.0,0.0,2050.4518,0.0,2102.0117,0.0,3024.8901,0.0,0.9752,0.0,233.62980000000002,0.0,0.0,0.0,0.0036,0.0,0.0
32,2047.0,0.0,12813.8493,0.0,0.0,0.0,0.0,2383.2771999999995,0.0,2110.4226999999996,0.0,3191.3028000000004,0.0,0.951,0.0,128.8545,0.0,0.0,0.0,0.0024000000000000002,0.0,0.0
33,2048.0,1.371,16367.010900000001,0.0,0.0,0.0,0.0,2716.1025999999997,0.0,1503.743,0.0,2459.0869,0.0,0.9252,0.0,1134.5594999999998,0.0,0.0,0.0,0.0024000000000000002,0.0,0.0
34,2049.0,5.2637,16847.9821,0.0,0.0,0.0,0.0,2858.314,0.0,1507.913,0.0,2791.9123,0.0,0.8867,0.0,739.7162999999999,0.0,0.0,0.0,0.0024000000000000002,0.0,0.0
35,2050.0,11.6034,17239.6884,0.0,0.0,0.0,0.0,3381.7534,0.0,1574.0832,0.0,2482.3475000000003,0.0,1.3385,0.0,712.03,0.0,0.0,0.0,0.0,0.0,0.0
36,2051.0,11.6034,17631.3946,0.0,0.0,0.0,0.0,3390.4284,0.0,1593.6927,0.0,2834.2158,0.0,1.2579,0.0,578.6334999999999,0.0,0.0,0.0,0.0,0.0,0.0
37,2052.0,11.6034,18023.101000000002,0.0,0.0,0.0,0.0,3390.4284,0.0,1373.024,0.0,3399.1169,0.0,1.152,0.0,556.4297,0.0,0.0,0.0,0.0,0.0,0.0
38,2053.0,11.6034,18414.8072,0.0,0.0,0.0,0.0,3495.1755,0.0,1610.7891,0.0,3415.3937,0.0,1.0683,0.0,534.8014000000001,0.0,0.0,0.0,0.0,0.0,0.0
39,2054.0,11.9962,18806.5135,0.0,0.0,0.0,0.0,3255.604,0.0,2073.7445999999995,0.0,3555.7558,0.0,1.0778,0.0,519.435,0.0,0.0,0.0,0.0,0.0,0.0
40,2055.0,12.6699,17631.3946,0.0,0.0,0.0,0.0,3453.2082,0.0,2486.1730000000002,0.0,3555.7558,0.0,1.0345,0.0,535.2831,0.0,0.0,0.0,0.0,0.0,0.0
41,2056.0,12.6883,16563.333000000002,0.0,0.0,0.0,0.0,4121.0487,0.0,2228.7788,0.0,3888.5811999999996,0.0,0.9898,0.0,561.5388,0.0,0.0,0.0,0.0,0.0,0.0
42,2057.0,14.408,17734.2424,0.0,0.0,0.0,0.1222,3271.9309,0.0,3219.4429,0.0,3888.5811999999996,0.0,0.9731,0.0,585.9071,0.0,0.0,0.0,0.008199999999999999,0.0,0.0
43,2058.0,16.2352,18806.9481,0.0,0.0,0.0,0.2142,2758.3779,0.0,3653.0507000000002,0.0,4134.4793,0.0,0.9731,0.0,585.9071,0.0,0.0,0.0,0.0143,0.0,0.0
44,2059.0,16.3782,19988.8519,0.0,0.0,0.0,0.2142,2540.6304999999998,0.0,4075.8955,0.0,4134.4793,0.0,0.9731,0.0,617.1281,0.0,0.0,0.0,0.0143,0.0,0.0
45,2060.0,17.4571,21176.969599999997,0.0,0.0,0.0,0.2142,2601.7906000000003,0.0,3972.9268,0.0,4407.0334,0.0,0.9415,0.0,652.9291,0.0,0.0,0.0,0.0143,0.0,0.0
46,2061.0,17.923,21538.147100000002,0.0,0.0,0.0,0.2142,3782.7987,0.0,4503.904100000001,0.0,3124.9494999999997,0.0,0.993,0.0,652.9291,0.0,0.0,0.0,0.0143,0.0,0.0
47,2062.0,18.1488,21922.217,0.0,0.0,0.0,0.2142,3788.2862999999998,0.0,4362.2746,0.0,3727.3637,0.0,1.0442,0.0,672.7137,0.0,0.0,0.0,0.0143,0.0,0.0
48,2063.0,18.0912,22306.0907,0.0,0.0,0.0,0.2142,3059.6104,0.0,4820.9195,0.0,4482.2149,0.0,1.0966,0.0,693.0109,0.0,0.0,0.0,0.0143,0.0,0.0
49,2064.0,18.9759,22610.5458,0.0,0.0,0.0,0.2142,4186.0054,0.0,4959.7986,0.0,3695.9923,0.0,1.1675,0.0,706.0681,0.0,0.0,0.0,0.0286,0.0,0.0
50,2065.0,19.8407,22910.7505,0.0,0.0,0.0,0.2142,3066.9835,0.0,5514.4491,0.0,4616.929700000001,0.0,1.24,0.0,668.1083,0.0,0.0,0.0,0.0143,0.0,0.0
51,2066.0,18.8586,23298.4392,0.0,0.0,0.0,0.2142,2642.7628,0.0,5573.125499999999,0.0,5331.1652,0.0,1.3141,0.0,690.66,0.0,0.0,0.0,0.0143,0.0,0.0
52,2067.0,20.3484,23507.5878,0.0,0.0,0.0,0.092,3767.546,0.0,5662.077899999999,0.0,4458.1931,0.0,1.1492,0.0,661.9701,0.0,0.0,0.0,0.0286,0.0,0.0
53,2068.0,20.9082,23913.2411,0.0,0.0,0.0,0.0,3578.8017,0.0,6008.7020999999995,0.0,4800.4617,0.0,0.9858,0.0,689.9351,0.0,0.0,0.0,0.0286,0.0,0.0
54,2069.0,21.4502,24319.2514,0.0,0.0,0.0,0.0,4350.5515000000005,0.0,6008.7252,0.0,4663.106,0.0,1.065,0.0,717.1573999999999,0.0,0.0,0.0,0.0286,0.0,0.0
55,2070.0,21.7373,24475.192,0.0,0.0,0.0,0.0681,4147.3189999999995,0.0,5249.2256,0.0,6074.9803,0.0,1.1459,0.0,790.9948999999999,0.0,0.0,0.0,0.0143,0.0,0.0
