,y,Coal power plant - Air cooling (new),Coal power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - MDT cooling (old),Light Fuel Oil power plant - OTF/OTS cooling (new),Light Fuel Oil power plant - OTF/OTS cooling (old),Light Fuel Oil stand alone (1kW),Natural gas power plant (combined cycle) - Air cooling (new),Natural gas power plant (combined cycle) - Air cooling (old),Natural gas power plant (combined cycle) - MDT cooling (new),Natural gas power plant (combined cycle) - MDT cooling (old),Natural gas power plant (combined cycle) - OTF/OTS cooling (new),Natural gas power plant (combined cycle) - OTF/OTS cooling (old),Natural gas power plant (single cycle) - Air cooling (new),Natural gas power plant (single cycle) - MDT cooling (old),Natural gas power plant (single cycle) - OTF/OTS cooling (new),Natural gas power plant (single cycle) - OTF/OTS cooling (old),Oil fired gas turbine (SCGT) - Air cooling (new),Oil fired gas turbine (SCGT) - Air cooling (old),Oil fired gas turbine (SCGT) - MDT cooling (new),Oil fired gas turbine (SCGT) - MDT cooling (old),Oil fired gas turbine (SCGT) - OTF/OTS cooling (old)
18,2033.0,0.0,6.0,0.1685859,0.872,0.1147272,0.0,1.1226814530036884,0.77175,12.680499961945468,0.266266,6.3,3.703273,0.16937849413144151,0.8148175,4.88,4.24305665,1.0,0.19078499999999998,1.0003002747587542,0.5716851,0.35429415
19,2034.0,0.0,6.0,0.1445022,0.872,0.0983376,0.0,2.1226814530036884,0.6615,12.680499961945468,0.228228,7.292825909968074,3.174234,0.21695224668775362,0.698415,4.88,3.6369057,1.0,0.16353,1.0003002747587542,0.4900158,0.3036807
20,2035.0,0.0,7.0,0.1204185,0.872,0.08194800000000001,0.0,2.1226814530036884,0.55125,12.680499961945468,0.19019,8.26440688347254,2.645195,0.26784817364805835,0.5820125,4.88,3.03075475,1.0,0.136275,1.0003002747587542,0.4083465,0.25306725
21,2036.0,0.0,8.0,0.0963348,0.872,0.0655584,0.0,3.079976069747828,0.441,12.680499961945468,0.152152,8.26440688347254,2.116156,0.26784817364805835,0.46561,4.88,2.4246038,1.0,0.10902,1.0003002747587542,0.3266772,0.2024538
22,2037.0,0.0,9.0,0.0722511,0.872,0.0491688,0.0,3.5286529840419587,0.33075,13.18651220097886,0.114114,8.26440688347254,1.587117,0.26784817364805835,0.3492075,4.88,1.81845285,1.0,0.081765,1.0003002747587542,0.2450079,0.15184035
23,2038.0,0.0,10.0,0.0481674,0.872,0.0327792,0.0,4.4397269404202255,0.2205,13.18651220097886,0.076076,8.26440688347254,1.058078,0.26784817364805835,0.232805,4.88,1.2123019,1.0,0.05451,1.0003002747587542,0.1633386,0.1012269
24,2039.0,0.0,11.0,0.024083700000000013,0.872,0.0163896,0.0,5.4397269404202255,0.11025,14.18651220097886,0.038038,8.720796845624427,0.529039000000001,0.26784817364805835,0.1164025,4.88,0.60615095,1.0,0.027255,1.0003002747587542,0.08166930000000022,0.0506134500000001
25,2040.0,0.0,12.37744124691646,0.0,0.522,0.0,0.0,6.4397269404202255,0.0,15.18651220097886,0.0,9.720796845624427,0.0,0.26784817364805835,0.0,3.7046794222449755,0.0,1.0,0.0,0.0003002747587540841,0.0,0.0
26,2041.0,0.0,13.87744124691646,0.0,0.0,0.0,0.0,7.9397269404202255,0.0,15.906556837172822,0.0,9.720796845624427,0.0,0.26784817364805835,0.0,3.054679422244975,0.0,0.0,0.0,0.0003002747587540841,0.0,0.0
27,2042.0,0.0,14.377441246916487,0.0,0.0,0.0,0.0,7.9397269404202255,0.0,15.906556837172822,0.0,10.370590151060945,0.0,0.3000596528857348,0.0,3.676606725774467,0.0,0.0,0.0,0.0003002747587540841,0.0,0.0
28,2043.0,0.0,14.877441246916487,0.0,0.0,0.0,0.0,7.9397269404202255,0.0,16.927346803133904,0.0,11.236572022096501,0.0,0.33228520485977153,0.0,3.2266067257744666,0.0,0.0,0.0,0.0003002747587540841,0.0,0.0
29,2044.0,0.0,15.377441246916499,0.0,0.0,0.0,0.0,9.252225784325253,0.0,16.948189042389853,0.0,11.236572022096501,0.0,0.33228520485977153,0.0,3.2266067257744666,0.0,0.0,0.0,0.0003002747587540841,0.0,0.0
30,2045.0,0.0,15.877441246916506,0.0,0.0,0.0,0.0,8.652225784325253,0.0,17.831594778003176,0.0,12.486572022096501,0.0,0.33228520485977153,0.0,3.2266067257744666,0.0,0.0,0.0,0.0003002747587540841,0.0,0.0
31,2046.0,0.029576419387903067,15.877441246916506,0.0,0.0,0.0,0.0,9.079900400213997,0.0,19.356164231667258,0.0,13.16544043845127,0.0,0.23751200589095695,0.0,3.2266067257744666,0.0,0.0,0.0,0.0003002747587540841,0.0,0.0
32,2047.0,0.029576419387903067,15.877441246916506,0.0,0.0,0.0,0.0,10.579900400213997,0.0,20.88217615135153,0.0,13.91544043845127,0.0,0.2362351571315536,0.0,4.726606725774467,0.0,0.0,0.0,0.0003002747587540841,0.0,0.0
33,2048.0,0.6081498096101906,20.15428324693928,0.0,0.0,0.0,0.0,12.079900400213997,0.0,12.80971349240069,0.0,10.615440438451271,0.0,0.23488342991639388,0.0,6.226606725774467,0.0,0.0,0.0,0.0003002747587540841,0.0,0.0
34,2049.0,2.0385457522089405,20.654283246939286,0.0,0.0,0.0,0.0,13.579900400213997,0.0,14.315015722472735,0.0,12.115440438451271,0.0,0.24253405638602882,0.0,6.226606725774467,0.0,0.0,0.0,0.0003002747587540841,0.0,0.0
35,2050.0,2.274932449164631,21.154283246939293,0.0,0.0,0.0,0.0,13.579900400213996,0.0,12.452459479493106,0.0,12.739556733492584,0.0,0.326689667845235,0.0,6.226606725774467,0.0,0.0,0.0,0.0,0.0,0.0
36,2051.0,2.274932449164631,21.6542832469393,0.0,0.0,0.0,0.0,13.796022174210181,0.0,12.405877300209662,0.0,14.239556733492584,0.0,0.332394912284694,0.0,6.226606725774467,0.0,0.0,0.0,0.0,0.0,0.0
37,2052.0,2.274932449164631,22.154283246939308,0.0,0.0,0.0,0.0,14.13797529038649,0.0,13.905877300209662,0.0,14.239556733492584,0.0,0.3355786037788604,0.0,6.226606725774467,0.0,0.0,0.0,0.0,0.0,0.0
38,2053.0,2.274932449164631,22.654283246939315,0.0,0.0,0.0,0.0,15.63797529038649,0.0,13.905877300209662,0.0,14.589108967316035,0.0,0.34053664886099455,0.0,6.226606725774467,0.0,0.0,0.0,0.0,0.0,0.0
39,2054.0,2.4925562575545785,23.154283246939208,0.0,0.0,0.0,0.0,16.15291271182681,0.0,15.405877300209662,0.0,14.589108967316035,0.0,0.3472765267553206,0.0,6.226606725774467,0.0,0.0,0.0,0.0,0.0,0.0
40,2055.0,2.687699938827738,21.654283246939215,0.0,0.0,0.0,0.0,16.835426317784826,0.0,16.905877300209664,0.0,16.089108967316037,0.0,0.3472765267553206,0.0,6.226606725774467,0.0,0.0,0.0,0.0,0.0,0.0
41,2056.0,2.687699938827738,20.157172552768667,0.0,0.0,0.0,0.0,18.269255824160766,0.0,18.405877300209664,0.0,17.589108967316037,0.0,0.3472765267553206,0.0,6.226606725774467,0.0,0.0,0.0,0.0,0.0,0.0
42,2057.0,2.687699938827738,22.135643566880304,0.0,0.0,0.0,0.0,18.269255824160766,0.0,18.919153155994096,0.0,17.589108967316037,0.0,0.3472765267553206,0.0,6.226606725774467,0.0,0.0,0.0,0.0,0.0,0.0
43,2058.0,2.687699938827738,24.480363151278826,0.0,0.0,0.0,0.0,18.537857509746342,0.0,18.919153155994096,0.0,17.589108967316037,0.0,0.3472765267553203,0.0,6.226606725774467,0.0,0.0,0.0,0.0,0.0,0.0
44,2059.0,2.687699938827738,26.03439606141118,0.0,0.0,0.0,0.0,18.537857509746342,0.0,18.9191531559941,0.0,18.95910510487211,0.0,0.347276526755319,0.0,6.226606725774467,0.0,0.0,0.0,0.0,0.0,0.0
45,2060.0,2.687699938827738,27.53439606141118,0.0,0.0,0.0,0.0,18.53785750974634,0.0,20.1586051510086,0.0,18.95910510487211,0.0,0.3360199003505972,0.0,6.61861567131535,0.0,0.0,0.0,0.0,0.0,0.0
46,2061.0,2.687699938827738,28.03439606141131,0.0,0.0,0.0,0.0,20.80381092937753,0.0,20.164751206837142,0.0,18.95910510487211,0.0,0.3360199003505972,0.0,6.61861567131535,0.0,0.0,0.0,0.0,0.0,0.0
47,2062.0,2.6876999388277376,28.53439606141118,0.0,0.0,0.0,0.0,20.80381092937753,0.0,20.171601292121508,0.0,21.288212262287495,0.0,0.3360199003505972,0.0,6.835226668890036,0.0,0.0,0.0,0.0,0.0,0.0
48,2063.0,2.6876999388277376,29.03439606141118,0.0,0.0,0.0,0.0,22.78112947637384,0.0,20.62486732870814,0.0,21.288212262287495,0.0,0.3360199003505972,0.0,7.059872457037416,0.0,0.0,0.0,0.0,0.0,0.0
49,2064.0,2.687699938827738,29.53439606141118,0.0,0.0,0.0,0.0,22.2056799483282,0.0,22.21871015181016,0.0,22.79538635231942,0.0,0.3360199003505972,0.0,7.25664149957713,0.0,0.0,0.0,0.0,0.0,0.0
50,2065.0,2.687699938827738,30.03439606141118,0.0,0.0,0.0,0.0,22.2056799483282,0.0,23.755063224799578,0.0,23.139543383918802,0.0,0.3360199003505972,0.0,7.306060394877646,0.0,0.0,0.0,0.0,0.0,0.0
51,2066.0,2.6876999388277376,30.53439606141118,0.0,0.0,0.0,0.0,23.74838533158406,0.0,23.755063224799578,0.0,23.144711993051477,0.0,0.3360199003505972,0.0,7.306060394877645,0.0,0.0,0.0,0.0,0.0,0.0
52,2067.0,2.6876999388277376,31.03439606141118,0.0,0.0,0.0,0.0,23.95919551424756,0.0,23.281262465003863,0.0,25.644711993051477,0.0,0.3038084211129208,0.0,6.719273393635071,0.0,0.0,0.0,0.0,0.0,0.0
53,2068.0,2.687699938827738,31.53439606141118,0.0,0.0,0.0,0.0,24.18606869977326,0.0,25.813488016977903,0.0,25.644711993051477,0.0,0.271582869138884,0.0,6.8814846149788735,0.0,0.0,0.0,0.0,0.0,0.0
54,2069.0,2.687699938827738,32.03439606141118,0.0,0.0,0.0,0.0,23.911575924358434,0.0,27.313488016977903,0.0,27.688322030899588,0.0,0.271582869138884,0.0,7.036648573904882,0.0,0.0,0.0,0.0,0.0,0.0
55,2070.0,2.6876999388277376,32.15695481449472,0.0,0.0,0.0,0.0,25.411575924358434,0.0,28.660594258200717,0.0,26.688322030899588,0.0,0.271582869138884,0.0,7.694088861180571,0.0,0.0,0.0,0.0,0.0,0.0
