,y,Amarti-Neshe FPV,Aswan 1 FPV,Aswan 2 FPV,Baro FPV,Birbir FPV,CSP (with storage),CSP (without storage),Chemoga Yeda FPV,Dagash FPV,Dal FPV,Finchaa FPV,Geba FPV,Genji FPV,High Aswan Dam FPV,Jebel Aulia FPV,Kajbar FPV,Karadobi FPV,Kashm El Girba  FPV,Lake Tana - Beles FPV,Lower Dabus FPV,Lower Dedessa FPV,Merowe FPV,Mograt FPV,Renaissance FPV,Sabaloka FPV,Shereik FPV,Solar PV (roof top),Solar PV (utility),Solar PV with storage,Tekeze 1 FPV,Tekeze 2 FPV,Upper Atbara FPV,Upper Dabus FPV
18,2033.0,0.0,0.043466000614957444,0.0919798666291934,0.0,0.0,0.6,0.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9261310627681296,3.5523645083916566,2.200000000000005,0.0,0.0,0.0,0.0
19,2034.0,0.0,0.043466000614957444,0.0919798666291934,0.0,0.0,0.6,0.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.233375581644804,4.0518977583916564,2.750000000000006,0.0,0.0,0.0,0.0
20,2035.0,0.0,0.043466000614957444,0.0919798666291934,0.0,0.0,0.6,0.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.778970581644805,4.551431008391656,2.846416413519659,0.0,0.0,0.0,0.0
21,2036.0,0.0,0.043466000614957444,0.0919798666291934,0.0,0.0,0.6,0.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.260418162004491,5.050964258391657,3.3964164135196597,0.0,0.0,0.0,0.0
22,2037.0,0.0,0.043466000614957444,0.0919798666291934,0.0,0.0,0.6,0.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.773340380569962,5.550497508391656,3.9464164135196618,0.0,0.0,0.0,0.0
23,2038.0,0.0,0.043466000614957444,0.0919798666291934,0.0,0.0,0.6,0.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.745235303612134,6.050030758391657,4.496416413519663,0.0,0.0,0.0,0.0
24,2039.0,0.0,0.043466000614957444,0.0919798666291934,0.0,0.0,0.6,0.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.794830303612134,6.549564008391656,5.046416413519664,0.0,0.0,0.0,0.0
25,2040.0,0.0,0.09538652835620048,0.0919798666291934,0.0,0.0,0.6,0.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.715398962671504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.844830303612124,7.039564008391656,5.629875333445485,0.0,0.0,0.0,0.0
26,2041.0,0.0,0.09538652835620048,0.0919798666291934,0.0,0.0,0.6,0.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.715398962671504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.245534417429752,7.759564008391656,6.179875333445488,0.0,0.0,0.0,0.0
27,2042.0,0.0,0.09538652835620048,0.0919798666291934,0.0,0.0,0.6,0.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.715398962671504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.994686969641087,8.509564008391656,6.729875333445491,0.0,0.0,0.0,0.0
28,2043.0,0.0,0.09538652835620048,0.0919798666291934,0.0,0.0,0.6,0.6000000000000003,0.0,0.0,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.0,0.12263982217225801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.79454177284514,9.209564008391656,7.279875333445489,0.0,0.0,0.0,0.0
29,2044.0,0.0,0.09538652835620048,0.0919798666291934,0.0,0.0,0.6,0.6000000000000003,0.0,0.0,0.220751679910064,0.0,0.0,0.0,0.715398962671504,0.0,0.12263982217225801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7285892879521,9.959564008391656,7.829875333445489,0.0,0.0,0.0,0.0
