,y,Coal,Oil,Gas,Hydro,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal
0,2015.0,0.0,5.701,30.798,13.66,0.0,0.031,0.0,1.113,1.266,0.008
1,2016.0,0.0,7.300000000000001,31.948,13.66,0.0,0.064,0.0,1.313,1.516,0.008
2,2017.0,0.0,7.603000000000001,33.028,13.713,0.0,0.066,0.0,1.313,1.516,0.008
3,2018.0,0.0,7.907000000000001,49.378,13.807,0.0,0.11599999999999999,0.0,1.653,1.516,0.008
4,2019.0,0.0,7.907000000000001,49.378,13.9,0.0,0.11599999999999999,0.0,1.653,1.516,0.008
5,2020.0,0.0,7.907000000000001,49.449,13.9,0.0,0.216,0.0,1.653,1.516,0.128
6,2021.0,0.0,7.707999999999999,48.069,15.79,0.8,0.664,0.0,1.867,1.552,0.298
7,2022.0,0.0,7.506,46.688,16.542,1.2,1.014,1.22,2.331,1.59,0.398
8,2023.0,0.0,7.306,45.355000000000004,16.792,1.6,1.362,1.22,2.7950000000000004,1.626,0.598
9,2024.0,0.0,7.107,44.001,17.152,1.6,1.712,1.22,3.259,1.663,0.984
10,2025.0,3.0,6.555000000000001,42.736999999999995,17.572,1.6,2.061,1.22,3.509,1.2830000000000001,1.311
11,2026.0,6.0,6.28,41.644999999999996,17.572,1.6,2.41,1.22,3.7239999999999998,1.219,1.4400000000000002
12,2027.0,6.0,5.7749999999999995,40.57,17.572,1.6,2.561,1.22,3.937,1.156,1.5699999999999998
13,2028.0,6.0,5.272,39.519,17.884,1.6,2.582,1.22,4.152,1.093,1.602
14,2029.0,6.0,5.073,38.498999999999995,17.884,1.6,2.8369999999999997,1.22,4.365,1.03,1.6260000000000001
15,2030.0,6.0,4.871,37.506,18.737000000000002,1.6,2.9139999999999997,1.22,4.58,0.967,1.6500000000000001
16,2031.0,6.0,4.671,36.565999999999995,18.737000000000002,1.6,3.513,1.22,5.043,0.9029999999999999,1.6800000000000002
17,2032.0,6.0,4.4719999999999995,35.43900000000001,18.737000000000002,1.6,5.128,1.22,5.506,0.8400000000000001,1.7110000000000003
18,2033.0,6.0,4.272,34.053999999999995,18.737000000000002,1.6,8.437,1.22,5.971,0.777,1.7419999999999998
19,2034.0,6.0,4.072,32.67,18.737000000000002,1.6,11.702,1.22,6.434,0.714,1.982
20,2035.0,6.0,3.8709999999999996,32.138,19.933,1.6,13.483,1.22,6.899,0.65,2.269
21,2036.0,7.0,3.67,31.572,19.933,1.6,16.719,1.22,7.361999999999999,0.65,2.549
22,2037.0,8.0,3.472,31.180999999999997,19.933,1.6,20.558999999999997,1.22,7.827,0.65,2.798
23,2038.0,9.0,3.271,31.016,19.933,1.6,24.614,1.22,8.29,0.65,3.048
24,2039.0,10.0,3.073,32.642,19.933,1.6,28.878999999999998,1.22,8.755,0.65,3.298
