,y,Backstop,Biomass,Coal,Gas,Geothermal,Hydro,Nuclear,Oil,Solar CSP,Solar FPV,Solar PV,Wind,gas_trade,power_trade
0,2015.0,0.0,0.196,0.0,0.0,0.008,6.585,0.0,0.492,0.0,0.0,0.01,0.322,0.0,0.0
1,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2,2015.0,0.0,0.238,0.0,0.0,0.0,4.088,0.0,2.256,0.0,0.0,0.011,0.0,0.0,0.0
3,2015.0,0.0,0.832,0.0,30.798,0.0,2.875,0.0,2.92,0.0,0.0,0.01,0.791,0.0,0.0
4,2016.0,0.0,0.196,0.0,0.0,0.008,6.585,0.0,0.563,0.0,0.0,0.012,0.322,0.0,0.0
5,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
6,2016.0,0.0,0.238,0.0,0.0,0.0,4.088,0.0,2.262,0.0,0.0,0.012,0.0,0.0,0.0
7,2016.0,0.0,1.082,0.0,31.948,0.0,2.875,0.0,4.442,0.0,0.0,0.04,0.991,0.0,0.0
8,2017.0,0.0,0.196,0.0,0.0,0.008,6.585,0.0,0.866,0.0,0.0,0.013,0.322,0.0,0.0
9,2017.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
10,2017.0,0.0,0.238,0.0,0.0,0.0,4.088,0.0,2.262,0.0,0.0,0.013,0.0,0.0,0.0
11,2017.0,0.0,1.082,0.0,33.028,0.0,2.875,0.0,4.442,0.0,0.0,0.04,0.991,0.0,0.0
12,2018.0,0.0,0.196,0.0,0.0,0.008,6.585,0.0,1.17,0.0,0.0,0.013,0.322,0.0,0.0
13,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
14,2018.0,0.0,0.238,0.0,0.0,0.0,4.088,0.0,2.262,0.0,0.0,0.013,0.0,0.0,0.0
15,2018.0,0.0,1.082,0.0,49.378,0.0,2.875,0.0,4.442,0.0,0.0,0.09,1.331,0.0,0.0
16,2019.0,0.0,0.196,0.0,0.0,0.008,6.585,0.0,1.17,0.0,0.0,0.013,0.322,0.0,0.0
17,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
18,2019.0,0.0,0.238,0.0,0.0,0.0,4.088,0.0,2.262,0.0,0.0,0.013,0.0,0.0,0.0
19,2019.0,0.0,1.082,0.0,49.378,0.0,2.875,0.0,4.442,0.0,0.0,0.09,1.331,0.0,0.0
20,2020.0,0.0,0.196,0.0,0.0,0.128,6.585,0.0,1.17,0.0,0.0,0.013,0.322,0.0,0.0
21,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
22,2020.0,0.0,0.238,0.0,0.0,0.0,4.088,0.0,2.262,0.0,0.0,0.013,0.0,0.0,0.0
23,2020.0,0.0,1.082,0.0,49.378,0.0,2.875,0.0,4.442,0.0,0.0,0.19,1.331,0.0,0.0
24,2021.0,0.0,0.186,0.0,0.0,0.298,6.585,0.0,1.163,0.0,0.0,0.012,0.314,0.0,0.0
25,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
