,y,Aswan 1 FPV,Aswan 2 FPV,Beko Abo FPV,CSP (with storage),CSP (without storage),Chemoga Yeda FPV,Dagash FPV,Dal FPV,High Aswan Dam FPV,Jebel Aulia FPV,Kajbar FPV,Karadobi FPV,Lake Tana FPV,Merowe FPV,Mograt FPV,Renaissance FPV,Sabaloka FPV,Shereik FPV,Solar PV (roof top),Solar PV (utility),Solar PV with storage,Upper Mandaya FPV
28,2043.0,0.9041,0.8718,0.0,13.0657,10.3851,0.0,0.0,0.0,6.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.5365,60.448,66.2766,0.0
29,2044.0,0.9041,0.8718,0.0,13.0657,10.3851,0.0,0.0,0.0,6.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.30170000000004,65.4536,73.00880000000001,0.0
30,2045.0,0.9041,0.8718,0.0,13.0657,10.3851,0.0,0.0,0.0,6.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.5558,69.7918,79.841,0.0
31,2046.0,0.9041,0.8718,0.0,6.5328,5.1926,0.0,0.0,0.0,6.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.2866,73.1289,86.77890000000001,0.0
32,2047.0,0.9041,0.8718,0.0,3.2664,2.5963,0.0,0.0,0.0,6.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.2907,76.466,97.87,0.0
33,2048.0,0.9041,0.8718,0.0,0.0,0.0,0.0,1.0052,2.1018,6.7688,0.0,1.1631,0.0,0.0,3.9643,1.0108,0.0,0.6439,1.3469,337.7658,79.8031,109.9288,0.0
34,2049.0,0.9041,0.8718,0.0,0.0,0.0,0.0,1.0052,2.1018,6.7688,0.0,1.1631,0.0,0.0,3.9643,1.0108,0.0,0.6439,1.3469,360.5836,83.1402,122.1177,0.0
35,2050.0,0.9041,0.8718,0.0,0.0,0.0,0.0,1.0052,2.1018,6.7688,0.0,1.1631,0.0,0.0,3.9643,1.0108,0.0,0.6439,1.3469,389.154,86.4774,130.8329,0.0
36,2051.0,0.9041,0.8718,0.0,0.0,0.0,0.0,1.0052,2.1018,6.7688,0.0,1.1631,0.0,0.0,3.9643,1.0108,0.0,0.6439,1.3469,417.4001,89.8145,140.43030000000002,0.0
37,2052.0,0.9041,0.8718,0.0,0.0,0.0,0.0,1.0052,2.1018,6.7688,0.0,1.1631,0.0,0.0,3.9643,1.0108,0.0,0.6439,1.3469,440.839,94.4767,150.0761,0.0
38,2053.0,0.9041,0.8718,0.0,0.0,0.0,0.0,1.0052,2.1018,6.7688,0.0579,1.1631,0.0,0.0,3.9643,1.0108,0.0,0.6439,1.3469,465.2591,99.4824,152.7934,0.0
39,2054.0,0.9041,0.8718,0.0,0.0,0.0,0.0,1.0052,2.1018,6.7688,0.0579,1.1631,0.0,0.0,3.9643,1.0108,0.0,0.6439,1.3469,489.58899999999994,105.5933,164.0308,0.0
40,2055.0,0.9041,0.8718,0.0,0.0,0.0,0.0,1.0052,2.1018,6.7688,0.0579,1.1631,0.0,0.0,3.9643,1.0108,0.0,0.6439,1.3469,517.6902,110.081,173.8335,0.0
41,2056.0,0.9041,0.8718,0.0,0.0,3.5546,0.0,1.0052,2.1018,6.7688,0.0579,1.1631,0.0,0.0,3.9643,1.0108,0.0,0.6439,1.3469,541.6832,111.7495,178.4822,0.0
42,2057.0,0.9041,0.8718,0.0,0.0,3.6068,0.0,1.0052,2.1018,6.7688,0.0579,1.1631,0.0,0.0,3.9643,1.0108,0.0,0.6439,1.3469,562.0819,115.27799999999999,183.6246,0.0
43,2058.0,0.9041,0.8718,0.0,0.0,3.6068,0.0,1.0052,2.1018,6.7688,0.0579,1.1631,0.0,0.0,3.9643,1.0108,0.0,0.6439,1.3469,575.8210999999999,128.41910000000001,196.77439999999999,0.0
44,2059.0,0.9041,0.8718,0.0,0.0,3.6068,0.4925,1.0052,2.1018,6.7688,0.0579,1.1631,3.1751,0.0,3.9643,1.0108,0.0,0.6439,1.3469,600.7488,147.8646,201.6423,0.0
45,2060.0,0.9041,0.8718,0.0,0.0,4.9641,0.4239,1.0052,2.1018,6.7688,0.0579,1.1631,3.7254,0.0,3.9643,1.0108,0.0,0.6439,1.3469,620.0777,157.599,204.2956,0.0
46,2061.0,0.9041,0.8718,0.0,0.0,13.1697,0.3675,1.0052,2.1018,6.7688,0.0579,1.1631,2.1773,0.0,3.9643,1.0108,1.3042,0.6439,1.3469,635.3636,162.9927,210.44549999999998,0.0
47,2062.0,0.9041,0.8718,0.0,0.0,22.2856,0.3675,1.0052,2.1018,6.7688,0.0579,1.1631,2.1773,0.0,3.9643,1.0108,1.517,0.6439,1.3469,655.3574000000001,166.3298,215.0041,0.0
48,2063.0,0.9041,0.8718,0.0,0.0,32.118,0.3675,1.0052,2.1018,6.7688,0.0579,1.1631,2.1773,0.0,3.9643,1.0108,2.2416,0.6439,1.3469,666.3908,169.6669,224.918,0.0
49,2064.0,0.9041,0.8718,0.0,0.0,42.0769,0.3675,1.0052,2.1018,6.7688,0.0579,1.1631,2.1773,0.0,3.9643,1.0108,3.7456,0.6439,1.3469,691.8634000000001,178.8427,224.955,0.0
50,2065.0,0.9041,0.8718,0.0,0.0,68.0397,0.3675,1.0052,2.1018,6.7688,0.0579,1.1631,2.1773,0.0,3.9643,1.0108,6.3532,0.6439,1.3469,702.8708999999999,199.95669999999998,226.8173,0.0
51,2066.0,0.9041,0.8718,1.3909,0.0,94.0025,0.3675,0.8348,1.7476,6.7688,0.0472,0.9539,2.1773,0.1574,3.9643,0.8361,11.154,0.5284,1.1178,708.9381,215.8,234.20290000000003,0.0
52,2067.0,0.9041,0.8718,1.1485,0.0,119.9654,0.3675,0.8348,1.7476,6.7688,0.0472,0.9539,2.9141,3.6528,3.9643,0.8361,12.7349,0.5284,1.1178,732.6251,233.6759,233.79590000000002,2.0271
53,2068.0,0.9041,0.8718,1.5594,0.0,127.2179,0.3675,0.8348,2.1018,6.7688,0.0472,0.9539,2.1773,3.6528,3.9643,0.8361,9.4842,0.5284,1.1178,736.6864,266.38,233.0049,2.7681
54,2069.0,0.9041,0.8718,1.5594,0.0,129.8141,0.3675,0.8348,1.7476,6.7688,0.0472,0.9539,2.1773,3.6528,3.9643,0.8361,7.9032,0.5284,1.1178,755.5144000000001,276.52340000000004,230.9638,2.7681
55,2070.0,0.9041,0.8718,1.5594,32.6642,132.4104,0.3675,0.8348,2.1018,6.7688,0.0472,0.9539,2.9141,3.6528,3.9643,0.8361,7.9032,0.5284,1.1178,766.3202999999999,307.71299999999997,228.77929999999998,2.0271
