,y,Amarti-Neshe,Aswan 1,Aswan 2,Baro,Bedden,Birbir,Chemoga Yeda,Dagash,Dal,Esna,Finchaa,Geba,Genji,High Aswan Dam,Jebel Aulia,Kajbar,Karadobi,Kashm El Girba ,Lake Tana - Beles,Lakki,Large hydropower plant (Dam),Lower Dabus,Lower Dedessa,Medium hydropower plant (Run-of river),Merowe,Mograt,Naga Hamadi,New Assiut Barrage,Renaissance,Roseires,Sabaloka,Sennar,Shereik,Sor,Tams,Tekeze 1,Tekeze 2,Tis Abay 1,Tis Abay 2,Upper Atbara,Upper Dabus
15,2030.0,1.3901,8.3886,8.089,13.6907,0.0,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,10.0432,47.3655,0.0,0.0,1.6028,33.1627,0.0,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,0.0,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
16,2031.0,1.3901,8.3886,8.089,13.6907,0.0,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,10.0432,47.3655,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
17,2032.0,1.3901,8.3886,8.089,13.6907,0.0,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,10.0432,47.3655,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
18,2033.0,1.3901,8.3886,8.089,13.6907,0.0,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,10.0432,47.3655,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
19,2034.0,1.3901,8.3886,8.089,13.6907,0.0,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,10.0432,47.3655,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
20,2035.0,1.3901,8.3886,8.089,13.6907,0.0,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,10.0432,47.3655,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
21,2036.0,1.3901,8.3886,8.089,13.6907,12.6146,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,5.8033,47.3655,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
22,2037.0,1.3901,8.3886,8.089,13.6907,10.9533,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,8.5172,47.3655,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
23,2038.0,1.3901,8.3886,8.089,13.6907,12.7674,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,7.8316,47.1234,0.0,0.0,1.5552,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
24,2039.0,1.3901,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,7.791,47.3655,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
25,2040.0,1.3901,8.3886,8.089,13.6907,12.5576,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,10.0432,47.3655,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
26,2041.0,1.3901,8.3886,8.089,13.6554,13.1372,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,10.0432,46.8654,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0338,14.9796,8.9878,11.3845,0.2382,2.3368,2.6234,0.0
27,2042.0,1.0097,8.3886,8.089,13.6907,13.6059,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,5.6937,10.0432,47.3655,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0523,13.8165,8.9878,11.3845,0.1847,2.3368,2.6234,0.0
28,2043.0,1.0097,8.3886,8.089,13.6554,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.6118,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,4.6449,10.0432,46.7687,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0567,14.8544,8.9878,10.1369,0.2394,2.3368,2.6234,0.0
29,2044.0,1.0097,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,10.0432,47.3655,0.0,0.0,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0567,12.4382,6.5286,10.1369,0.2394,2.3368,2.6234,0.0
