,y,CO2
0,2015,1.8822
1,2016,1.5837
2,2017,2.1337
3,2018,2.6837
4,2019,3.2337
5,2020,2.0502
6,2021,2.1327
7,2022,2.2187
8,2023,2.328
9,2024,1.6803
10,2025,1.7351
11,2026,1.7914
12,2027,1.8506
13,2028,1.9215
14,2029,2.0006
15,2030,2.0859
16,2031,2.0582
17,2032,2.0497
18,2033,2.0507
19,2034,2.0604
20,2035,2.0782
21,2036,2.1069
22,2037,2.1469
23,2038,1.4644
24,2039,1.429
25,2040,1.3989
26,2041,1.3218
27,2042,1.2718
28,2043,1.2669
29,2044,1.2969
30,2045,1.3466
31,2046,1.2954
32,2047,1.2511
33,2048,1.213
34,2049,1.1827
35,2050,1.1519
36,2051,1.0877
37,2052,1.0367
38,2053,0.9894
39,2054,0.9446
40,2055,0.8836
41,2056,0.8389
42,2057,0.7971
43,2058,0.7579
44,2059,0.7233
45,2060,0.6903
46,2061,0.6683
47,2062,0.6559
48,2063,0.6478
49,2064,0.6345
50,2065,0.6225
51,2066,0.6117
52,2067,0.6064
53,2068,0.605
54,2069,0.602
55,2070,0.5924
