,y,Solar PV (roof top),Solar PV with storage
0,2050.0,0.1353522489470416,0.0
1,2051.0,0.4112670395297918,0.0
2,2052.0,0.5140532629650737,0.12582892954057126
3,2053.0,0.6417220459912656,0.24224281407547987
4,2054.0,0.7743185427598509,0.3631499998313098
5,2055.0,0.8875413325832403,0.5059425328548234
6,2056.0,1.1480514690931218,0.5694420215306534
7,2057.0,1.4185421110988752,0.6353742638960338
8,2058.0,1.6993781151234981,0.7038281939283714
9,2059.0,2.0973877177975813,0.7038281939283713
10,2060.0,2.5105798585006855,0.7038281939283713
11,2061.0,2.7808620437996137,0.7038281939283714
12,2062.0,3.0409920514002637,0.7038281939283713
13,2063.0,3.3075275424726227,0.7038281939283713
14,2064.0,3.614731434747045,0.7038281939283713
15,2065.0,3.9295376031836096,0.7038281939283713
16,2066.0,4.252134151547564,0.7038281939283713
17,2067.0,4.5827144489111316,0.7038281939283713
18,2068.0,4.921499414903316,0.7038281939283713
19,2069.0,5.268724007284111,0.7038281939283713
20,2070.0,5.6246169149731085,0.7038281939283713
