,y,Oil,Gas,Hydro,Solar PV,Geothermal
0,2015.0,1.98,0.0,0.0,0.0,0.0
1,2016.0,1.52,0.0,0.0,0.0,0.0
2,2017.0,2.57,0.0,0.0,0.0,0.0
3,2018.0,3.62,0.0,0.0,0.0,0.0
4,2019.0,4.67,0.0,0.0,0.0,0.0
5,2020.0,0.15,6.12,0.0,0.0,0.0
6,2021.0,0.14,6.52,0.0,0.0,0.0
7,2022.0,0.13,6.94,0.0,0.0,0.0
8,2023.0,0.23,7.27,0.0,0.0,0.0
9,2024.0,0.05,0.1,7.82,0.0,0.0
10,2025.0,0.04,0.22,8.2,0.0,0.0
11,2026.0,0.04,0.34,8.6,0.0,0.0
12,2027.0,0.04,0.48,9.01,0.0,0.0
13,2028.0,0.03,0.74,9.33,0.0,0.0
14,2029.0,0.03,1.09,9.6,0.0,0.0
15,2030.0,0.03,1.5,9.84,0.0,0.0
16,2031.0,0.03,2.02,10.04,0.0,0.0
17,2032.0,0.02,2.74,10.04,0.0,0.0
18,2033.0,0.02,3.5,10.04,0.0,0.0
19,2034.0,0.03,4.31,10.04,0.0,0.0
20,2035.0,0.02,5.17,10.04,0.0,0.0
21,2036.0,0.02,6.09,10.04,0.0,0.0
22,2037.0,0.01,7.06,10.04,0.0,0.0
23,2038.0,0.01,0.18,17.94,0.0,0.0
24,2039.0,0.0,0.4,18.8,0.0,0.0
25,2040.0,0.0,0.65,19.69,0.0,0.0
26,2041.0,0.0,0.99,20.86,0.0,0.0
27,2042.0,0.0,1.5,21.95,0.0,0.0
28,2043.0,0.0,2.4,22.77,0.0,0.0
29,2044.0,0.0,3.57,23.45,0.0,0.0
30,2045.0,0.0,4.97,23.98,0.0,0.05
31,2046.0,0.0,5.22,23.98,0.0,1.94
32,2047.0,0.0,5.48,23.98,0.0,3.96
33,2048.0,0.0,5.77,23.98,0.0,6.13
34,2049.0,0.01,6.07,23.98,0.0,8.46
35,2050.0,0.02,6.02,23.93,0.73,10.6
36,2051.0,0.03,5.86,23.98,2.21,10.72
37,2052.0,0.03,5.78,23.98,3.83,10.72
38,2053.0,0.03,5.72,23.98,5.5,10.72
39,2054.0,0.03,5.65,23.98,7.25,10.72
40,2055.0,0.0,5.59,23.98,9.07,10.72
41,2056.0,0.0,5.46,23.98,11.01,10.72
42,2057.0,0.0,5.32,23.98,13.02,10.72
43,2058.0,0.0,5.17,23.98,15.12,10.72
44,2059.0,0.0,5.05,23.98,17.25,10.72
45,2060.0,0.0,4.93,23.98,19.47,10.72
46,2061.0,0.0,4.94,23.98,20.92,10.72
47,2062.0,0.0,5.04,23.98,22.32,10.72
48,2063.0,0.0,5.15,23.98,23.75,10.72
49,2064.0,0.0,5.17,23.88,25.4,10.72
50,2065.0,0.0,5.18,23.77,27.09,10.72
51,2066.0,0.0,5.2,23.69,28.78,10.72
52,2067.0,0.0,5.28,23.48,30.59,10.72
53,2068.0,0.0,5.38,23.27,32.41,10.72
54,2069.0,0.0,5.5,23.98,34.27,9.8
55,2070.0,0.0,5.61,22.84,36.18,10.72
