,y,Natural gas exports (Liquification terminal),Natural gas imports (LNG),Natural gas extraction
0,2021.0,-0.0,0.0,52.7533
1,2022.0,-0.0,0.0,52.6627
2,2023.0,-0.0,0.0,52.5723
3,2024.0,-0.0,0.0,52.4823
4,2025.0,-633.6433,0.0,797.8553
5,2026.0,-633.6433,0.0,745.4627
6,2027.0,-633.6433,0.0,746.0899
7,2028.0,-633.6433,0.0,745.4627
8,2029.0,-0.0,0.0,5.2652
9,2032.0,-0.0,3.6747,0.0
10,2033.0,-0.0,51.6858,0.0
11,2034.0,-0.0,51.5988,0.0
12,2035.0,-0.0,51.5121,0.0
13,2036.0,-0.0,51.4256,0.0
14,2037.0,-0.0,51.3395,0.0
15,2038.0,-0.0,51.2536,0.0
16,2039.0,-0.0,51.1681,0.0
17,2040.0,-0.0,51.0828,0.0
18,2041.0,-0.0,48.9165,0.0
19,2042.0,-0.0,48.8388,0.0
20,2043.0,-0.0,47.4596,0.0
21,2044.0,-0.0,47.0165,0.0
22,2045.0,-0.0,40.2583,0.0
23,2046.0,-0.0,29.7871,0.0
24,2047.0,-0.0,27.6584,0.0
25,2048.0,-0.0,26.3573,0.0
26,2049.0,-0.0,22.4385,0.0
27,2050.0,-0.0,24.2143,0.0
28,2051.0,-0.0,11.9722,0.0
29,2052.0,-0.0,14.0702,0.0
30,2053.0,-0.0,18.8194,0.0
31,2054.0,-0.0,23.776,0.0
32,2055.0,-0.0,25.5328,0.0
33,2056.0,-0.0,26.4563,0.0
34,2057.0,-0.0,29.0686,0.0
35,2058.0,-0.0,35.6283,0.0
36,2059.0,-0.0,38.9817,0.0
37,2060.0,-0.0,39.5824,0.0
38,2061.0,-0.0,40.005,0.0
39,2062.0,-0.0,40.4391,0.0
40,2063.0,-0.0,40.889,0.0
41,2064.0,-0.0,41.3465,0.0
42,2065.0,-0.0,42.0683,0.0
43,2066.0,-0.0,37.1956,0.0
44,2067.0,-0.0,29.4239,0.0
45,2068.0,-0.0,40.3233,0.0
46,2069.0,-0.0,47.3764,0.0
47,2070.0,-0.0,56.4316,0.0
