,y,Solar PV (utility),Solar PV (roof top),Solar PV with storage,Solar FPV
0,2015.0,0.0,0.011099999999999999,0.0,0.0
1,2016.0,0.0,0.0121,0.0,0.0
2,2017.0,0.0,0.0131,0.0,0.0
3,2018.0,0.0,0.0131,0.0,0.0
4,2019.0,0.0,0.0131,0.0,0.0
5,2020.0,0.0,0.012695000000000001,0.0,0.0
6,2021.0,0.0,0.012290000000000002,0.0,0.0
7,2022.0,0.0,0.011885,0.0,0.0
8,2023.0,0.0,0.01148,0.0,0.0
9,2024.0,0.0,0.011075000000000002,0.0,0.0
10,2025.0,0.0,0.010670000000000002,0.0,0.0
11,2026.0,0.0,0.010265,0.0,0.0
12,2027.0,0.0,0.00986,0.0,0.0
13,2028.0,0.0,0.009455000000000002,0.0,0.0
14,2029.0,0.0,0.009049999999999999,0.0,0.0
15,2030.0,0.0,0.008645,0.25,0.0
16,2031.0,0.0,0.5294993436363018,0.75,0.0
17,2032.0,0.0,1.2880818867482642,1.25,0.0
18,2033.0,0.0,2.1397732914118612,1.75,0.0
19,2034.0,0.0,3.0928138900592232,2.25,0.0
20,2035.0,0.0,3.0894088900592234,2.25,0.0
21,2036.0,0.0,3.7324473734833115,2.75,0.0
22,2037.0,0.0,4.5918335541804325,3.25,0.0
23,2038.0,0.0,5.561453945030735,3.75,0.0
24,2039.0,0.0,6.648925940949643,4.25,0.0
25,2040.0,0.0,7.862398072690119,4.75,0.0
26,2041.0,0.0,9.060664473745891,5.25,0.0
27,2042.0,0.0,10.380300328627195,5.75,0.0
28,2043.0,0.0,11.829098691173074,6.25,0.0
29,2044.0,0.0,13.367652766904799,6.75,0.0
30,2045.0,0.0,14.149070625767445,7.25,0.0
31,2046.0,0.0,15.006103366037912,7.75,0.0
32,2047.0,0.0,15.949307480097616,8.25,0.0
33,2048.0,0.0,18.105040458001415,8.75,0.0
34,2049.0,0.0,19.81611818889855,9.25,0.0
35,2050.0,0.0,21.221351055885684,9.5,0.0
36,2051.0,0.0,20.70009171224938,9.5,1.7382730722637565
37,2052.0,0.0,21.83859220158303,9.5,2.4107632449405516
38,2053.0,0.0,23.019988704985693,9.5,3.0022489937935948
39,2054.0,0.0,24.84012088032865,9.5,3.0022489937935948
40,2055.0,0.0,26.20748471997579,10.0,3.0022489937935948
41,2056.0,0.0,28.5630412365517,10.0,3.3693451691939704
42,2057.0,0.0,30.70225005585458,10.0,3.497000000000091
43,2058.0,0.0,32.48642339036993,10.0,3.497000000000091
44,2059.0,0.0,34.39854639445102,10.0,3.497000000000091
45,2060.0,1.2505640584270152,36.18507426271054,10.0,3.497000000000091
46,2061.0,1.631496465018168,37.986807861654775,10.0,3.497000000000091
47,2062.0,2.20726406537578,39.66717200677347,10.0,3.497000000000091
48,2063.0,2.9743023537008697,41.21837364422758,10.0,3.507000000000091
49,2064.0,3.9180815033455403,42.679819568495866,10.0,3.507000000000091
50,2065.0,4.679548702377642,44.89840170963322,10.0,3.507000000000091
51,2066.0,7.679548702377642,47.04136896936276,10.0,3.507000000000091
52,2067.0,7.679548702377642,49.098164855303054,10.0,3.507000000000091
53,2068.0,10.679548702377641,49.94243187739925,10.0,3.507000000000091
54,2069.0,13.679548702377643,51.23135414650211,10.0,3.507000000000091
55,2070.0,16.67954870237764,52.826121279514986,10.0,3.8460000000000907
