,y,Coal imports (inland transport-maritime freight)
0,2035.0,8.6981
1,2036.0,11.0557
2,2037.0,63.4022
3,2038.0,176.6899
4,2039.0,248.2285
5,2040.0,334.1436
6,2041.0,344.017
7,2042.0,344.017
8,2043.0,344.017
9,2044.0,344.017
10,2045.0,368.6393
11,2046.0,411.5043
12,2047.0,431.4178
13,2048.0,432.5428
14,2049.0,445.1078
15,2050.0,460.9865
16,2051.0,487.8308
17,2052.0,487.8308
18,2053.0,487.8308
19,2054.0,487.8308
20,2055.0,486.1112
21,2056.0,478.3972
22,2057.0,476.0379
23,2058.0,479.2042
24,2059.0,487.2998
25,2060.0,480.9493
26,2061.0,477.6819
27,2062.0,473.8488
28,2063.0,469.4459
29,2064.0,464.5333
30,2065.0,450.9153
31,2066.0,422.2973
32,2067.0,456.6653
33,2068.0,450.4009
34,2069.0,422.3172
35,2070.0,382.7285
