,y,Coal,Oil,Gas,Hydro,Solar PV,Solar FPV,Biomass,Geothermal
0,2015.0,0.0,2.256,0.0,1.565,0.011,0.0,0.238,0.0
1,2016.0,0.0,2.267,0.0,1.565,0.012,0.0,0.238,0.0
2,2017.0,0.0,2.267,0.0,1.885,0.013,0.0,0.238,0.0
3,2018.0,0.0,2.267,0.0,1.885,0.013,0.0,0.238,0.0
4,2019.0,0.0,2.267,0.0,1.885,0.013,0.0,0.238,0.0
5,2020.0,0.0,2.267,0.0,1.885,0.013,0.0,0.238,0.0
6,2021.0,0.0,2.155,1.149,1.885,0.012,0.0,0.226,0.0
7,2022.0,0.0,2.041,1.149,1.885,0.012,0.0,0.214,0.0
8,2023.0,0.0,1.929,1.149,1.885,0.011,0.0,0.202,0.0
9,2024.0,0.0,1.816,1.149,2.245,0.011,0.0,0.19,0.1
10,2025.0,0.0,1.703,1.149,2.665,0.011,0.0,0.119,0.2
11,2026.0,0.0,1.58,1.149,2.665,0.01,0.0,0.107,0.3
12,2027.0,0.0,1.466,1.149,2.665,0.01,0.0,0.095,0.4
13,2028.0,0.0,1.354,1.149,2.977,0.009,0.0,0.083,0.4
14,2029.0,0.0,1.241,1.149,2.977,0.009,0.0,0.071,0.4
15,2030.0,0.0,1.128,1.149,4.142,0.259,0.0,0.06,0.4
16,2031.0,0.0,1.015,1.149,4.142,1.279,0.0,0.048,0.4
17,2032.0,0.0,0.902,1.149,4.142,2.538,0.0,0.036,0.4
18,2033.0,0.0,0.79,1.149,4.142,3.89,0.0,0.024,0.4
19,2034.0,0.0,0.677,1.149,4.142,5.343,0.0,0.012,0.4
20,2035.0,0.127,0.564,1.149,4.142,5.339,0.0,0.0,0.4
21,2036.0,0.162,0.451,1.149,4.142,6.482,0.0,0.0,0.4
22,2037.0,0.927,0.339,1.149,4.142,7.842,0.0,0.0,0.4
23,2038.0,2.583,0.225,1.149,4.142,9.311,0.0,0.0,0.4
24,2039.0,3.629,0.113,1.149,4.142,10.899,0.0,0.0,0.4
25,2040.0,4.885,0.0,1.149,4.142,12.612,0.0,0.0,0.4
26,2041.0,5.029,0.0,1.149,4.142,14.311,0.0,0.0,0.4
27,2042.0,5.029,0.0,1.149,4.116,16.13,0.0,0.0,0.4
28,2043.0,5.029,0.0,1.149,4.116,18.079,0.0,0.0,0.4
29,2044.0,5.029,0.0,1.149,4.106,20.118,0.0,0.0,0.4
30,2045.0,5.389,0.0,1.149,4.106,21.399,0.0,0.0,0.4
31,2046.0,6.016,0.0,1.149,3.836,22.756,0.0,0.0,0.4
32,2047.0,6.307,0.0,1.149,3.836,24.199,0.0,0.0,0.4
33,2048.0,6.323,0.0,1.149,3.836,26.855,0.0,0.0,0.4
34,2049.0,6.507,0.0,1.149,3.836,29.066,0.0,0.0,0.4
35,2050.0,6.739,0.0,1.149,3.836,30.721,0.0,0.0,0.4
36,2051.0,7.131,0.0,0.684,3.836,30.2,1.738,0.0,0.4
37,2052.0,7.131,0.0,0.762,3.836,31.339,2.411,0.0,0.4
38,2053.0,7.131,0.0,0.98,3.836,32.52,3.002,0.0,0.4
39,2054.0,7.131,0.0,1.181,3.836,34.34,3.002,0.0,0.4
40,2055.0,7.131,0.0,1.181,3.836,36.207,3.002,0.0,0.4
41,2056.0,7.131,0.0,1.181,3.836,38.563,3.369,0.0,0.4
42,2057.0,7.131,0.0,1.263,3.836,40.702,3.497,0.0,0.4
43,2058.0,7.131,0.0,1.51,3.836,42.486,3.497,0.0,0.4
44,2059.0,7.244,0.0,1.639,3.836,44.399,3.497,0.0,0.4
45,2060.0,7.244,0.0,1.639,3.836,47.436,3.497,0.0,0.4
46,2061.0,7.244,0.0,1.639,3.836,49.618,3.497,0.0,0.4
47,2062.0,7.244,0.0,1.639,3.836,51.874,3.497,0.0,0.4
48,2063.0,7.244,0.0,1.639,3.836,54.192,3.507,0.0,0.4
49,2064.0,7.244,0.0,1.639,3.836,56.598,3.507,0.0,0.4
50,2065.0,7.117,0.0,1.639,3.836,59.578,3.507,0.0,0.4
51,2066.0,7.082,0.0,1.639,3.836,64.721,3.507,0.0,0.4
52,2067.0,7.871,0.0,1.639,3.836,66.778,3.507,0.0,0.4
53,2068.0,7.95,0.0,3.083,3.836,70.622,3.507,0.0,0.4
54,2069.0,7.584,0.0,3.465,3.836,74.911,3.507,0.0,0.4
55,2070.0,7.043,0.0,3.964,3.836,79.506,3.846,0.0,0.4
