,y,CO2
0,2015,14.901
1,2016,16.8646
2,2017,15.8702
3,2018,15.4666
4,2019,15.0665
5,2020,14.6664
6,2021,25.0918
7,2022,25.6005
8,2023,21.0414
9,2024,18.5504
10,2025,56.3832
11,2026,54.0899
12,2027,54.4851
13,2028,54.8304
14,2029,17.9886
15,2030,18.1226
16,2031,18.3071
17,2032,19.0314
18,2033,22.0305
19,2034,22.5387
20,2035,22.2283
21,2036,22.6815
22,2037,27.6586
23,2038,38.1496
24,2039,44.8742
25,2040,52.9047
26,2041,53.374
27,2042,53.0631
28,2043,52.6893
29,2044,52.3681
30,2045,53.9507
31,2046,56.9902
32,2047,58.3906
33,2048,58.1404
34,2049,58.7937
35,2050,60.0449
36,2051,61.5259
37,2052,61.3265
38,2053,61.2694
39,2054,61.2286
40,2055,60.8727
41,2056,59.9373
42,2057,59.5781
43,2058,59.927
44,2059,60.5609
45,2060,59.7521
46,2061,59.1678
47,2062,58.5397
48,2063,57.8673
49,2064,57.1556
50,2065,55.6769
51,2066,52.5601
52,2067,54.992
53,2068,54.7208
54,2069,52.2849
55,2070,48.9183
