,y,Dagash FPV,Dal FPV,Jebel Aulia FPV,Kajbar FPV,Kashm El Girba  FPV,Mograt FPV,Merowe FPV,Sabaloka FPV,Shereik FPV,Upper Atbara FPV
0,2051.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,0.0,0.0,0.7403,0.0
1,2052.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,2.4913,0.0,2.9257,0.0
2,2053.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,6.5988,0.0,2.9257,0.0
3,2054.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,6.5988,0.0,2.9257,0.0
4,2055.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,6.5988,0.0,2.9257,0.0
5,2056.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,8.6109,0.5277,2.9257,0.0
6,2057.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,8.6109,1.3986,2.9257,0.0
7,2058.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,8.6109,1.3986,2.9257,0.0
8,2059.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,8.6109,1.3986,2.9257,0.0
9,2060.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,8.6109,1.3986,2.9257,0.0
10,2061.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,8.6109,1.3986,2.9257,0.0
11,2062.0,2.1835,4.5653,0.0,2.5264,0.0,2.1957,8.6109,1.3986,2.9257,0.0
12,2063.0,2.1835,4.5653,0.0,2.5264,0.065,2.1957,8.6109,1.3986,2.9257,0.0
13,2064.0,2.1835,4.5653,0.0,2.5264,0.065,2.1957,8.6109,1.3986,2.9257,0.0
14,2065.0,2.1835,4.5653,0.0,2.5264,0.065,2.1957,8.6109,1.3986,2.9257,0.0
15,2066.0,2.1835,4.5653,0.0,2.5264,0.065,2.1957,8.6109,1.3986,2.9257,0.0
16,2067.0,2.1835,4.5653,0.0,2.5264,0.065,2.1957,8.6109,1.3986,2.9257,0.0
17,2068.0,2.1835,3.7959,0.0,2.072,0.0539,1.8161,8.6109,1.1478,2.9257,0.0
18,2069.0,2.1835,3.7959,0.0,2.072,0.0539,1.8161,8.6109,1.1478,2.4281,0.0
19,2070.0,2.1835,3.7959,0.1025,2.072,0.0539,1.8161,8.6109,1.1478,2.4281,1.699
