,y,Dagash,Dal,Jebel Aulia,Kajbar,Kashm El Girba ,Mograt,Merowe,Roseires,Sabaloka,Shereik,Sennar,Upper Atbara
24,2039,877.7503,1823.0198,37.1396,1012.7888,20.2534,437.5188,3114.1267,379.7958,576.727,1166.2295,36.5729,246.3515
25,2040,877.7503,1823.0198,37.1396,1012.7888,20.2534,437.5188,3114.1267,379.7958,576.727,1166.2295,36.5729,246.3515
26,2041,877.7503,1823.0198,37.1396,1012.7888,20.2534,437.5188,3114.1267,379.7958,576.727,1166.2295,36.5729,246.3515
27,2042,877.7503,1823.0198,37.1396,1012.7888,20.2534,437.5188,3114.1267,379.7958,576.727,1166.2295,0.0,246.3515
28,2043,877.7503,1823.0198,37.1396,1012.7888,20.2534,437.5188,3114.1267,379.7958,576.727,1166.2295,0.0,246.3515
29,2044,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,379.7958,576.727,1166.2295,0.0,246.3515
30,2045,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,379.7958,576.727,1166.2295,0.0,246.3515
31,2046,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
32,2047,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
33,2048,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
34,2049,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
35,2050,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
36,2051,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
37,2052,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
38,2053,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
39,2054,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
40,2055,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
41,2056,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
42,2057,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
43,2058,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
44,2059,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
45,2060,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
46,2061,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
47,2062,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
48,2063,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
49,2064,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
50,2065,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
51,2066,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
52,2067,877.7503,1823.0198,37.1396,1012.7888,0.0,437.5188,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
53,2068,877.7503,1823.0198,37.1396,1012.7888,0.0,422.9554,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
54,2069,838.5142,1823.0198,37.1396,967.5163,0.0,422.9554,3114.1267,0.0,576.727,1166.2295,0.0,246.3515
55,2070,838.5142,1741.5294,37.1396,1012.7888,0.0,422.9554,3114.1267,0.0,576.727,1114.9035,0.0,246.3515
