,y,CSP (with storage),CSP (without storage),Solar PV (roof top),Solar PV (utility),Solar PV with storage
0,2015.0,0.0,0.0,0.0,0.0,0.0
1,2016.0,0.0,0.0,0.0911,0.3272,0.0
2,2017.0,0.0,0.0,0.1034,0.3272,0.0
3,2018.0,0.0,0.0,0.1034,0.6609,0.0
4,2019.0,0.0,0.0,0.1034,0.6609,0.0
5,2020.0,0.0,0.0,0.101,1.3255000000000001,0.0
6,2021.0,0.0,0.0,0.09860000000000001,2.991,0.0
7,2022.0,2.4168,3.8944,0.09620000000000001,4.6566,0.0
8,2023.0,10.5828,10.3851,1.4286,6.3221,1.9656
9,2024.0,10.5828,12.4315,1.76,7.9875,2.457
10,2025.0,16.8472,15.5777,2.0913,12.207600000000001,2.9483
11,2026.0,16.8472,15.5777,2.4225999999999996,16.836000000000002,3.4397
12,2027.0,16.8472,15.5777,2.4202,18.919800000000002,3.4397
13,2028.0,16.8472,15.5777,2.4177999999999997,23.812800000000003,3.4397
14,2029.0,16.8472,15.5777,2.4154,31.668499999999998,3.4397
15,2030.0,16.8472,15.5777,3.7478,39.5243,3.4397
16,2031.0,16.8472,15.5777,4.0791,61.4291,3.4397
17,2032.0,16.8472,15.5777,4.410399999999999,83.3339,6.3881
18,2033.0,16.8472,15.5777,4.7417,105.23870000000001,6.8795
19,2034.0,16.8472,15.5777,5.0731,127.14349999999999,7.3709
20,2035.0,16.8472,15.5777,5.3803,149.0482,7.8623
21,2036.0,16.8472,15.5777,5.692699999999999,170.95299999999997,8.3536
22,2037.0,16.8472,15.5777,6.0116000000000005,192.8578,8.845
23,2038.0,16.8472,15.5777,6.342899999999999,214.76260000000002,9.3364
24,2039.0,16.8472,15.5777,6.6742,236.6675,9.8278
25,2040.0,16.8472,15.5777,7.0079,258.50849999999997,10.3192
26,2041.0,16.8472,15.5777,7.3416,300.4554,10.8106
27,2042.0,16.8472,15.5777,7.6753,343.4114,11.302
28,2043.0,16.8472,15.5777,8.0091,386.93620000000004,11.7934
29,2044.0,16.8472,15.5777,8.3428,430.36980000000005,12.2848
30,2045.0,16.8472,15.5777,8.6765,473.38169999999997,12.7762
31,2046.0,16.8472,15.5777,9.0102,514.8371,13.2675
32,2047.0,14.4305,11.6833,9.3439,556.8538,13.7589
33,2048.0,6.2644,5.1926,9.6776,598.959,14.2503
34,2049.0,6.2644,3.1462,10.0113,640.5016,14.7417
35,2050.0,0.0,0.0,10.345,680.4984999999999,15.2331
36,2051.0,0.0,0.0,10.6787,718.4308000000001,15.7245
37,2052.0,0.0,0.0,11.0125,758.5058,16.2159
38,2053.0,0.0,0.0,11.3462,795.8793999999999,16.7073
39,2054.0,0.0,0.0,11.6799,831.1025999999998,17.1987
40,2055.0,0.0,0.0,12.0136,866.4472999999999,18.2313
41,2056.0,0.0,0.0,12.3473,888.0669,23.3532
42,2057.0,0.0,0.0,12.681,909.3057,28.384099999999997
43,2058.0,0.0,0.0,14.6371,931.4464999999999,33.4151
44,2059.0,0.0,0.0,19.7693,953.4265000000001,38.4461
45,2060.0,0.0,0.9409,42.777899999999995,974.6725000000001,43.4771
46,2061.0,0.0,7.0384,58.0948,998.2291,48.5081
47,2062.0,0.0,13.6971,83.4807,1019.9406,53.539199999999994
48,2063.0,0.0,20.936,110.0361,1041.68,58.5702
49,2064.0,0.0,30.3585,138.6519,1062.4048,63.6012
50,2065.0,0.0,56.3213,168.06439999999998,1082.2632,68.6322
51,2066.0,0.0,82.2842,198.2929,1084.5989,73.6632
52,2067.0,0.0,108.247,229.3582,1067.1087,78.6942
53,2068.0,0.0,127.2179,259.45050000000003,1038.6036,83.7252
54,2069.0,0.0,129.8141,291.8515,1075.8432,88.7562
55,2070.0,32.6642,132.4104,324.6872,1076.5083,93.7872
