,y,Amarti-Neshe,Aswan 1,Aswan 2,Baro,Bedden,Dagash,Dal,Esna,Finchaa,High Aswan Dam,Jebel Aulia,Kajbar,Kashm El Girba ,Lake Tana - Beles,Lakki,Large hydropower plant (Dam),Medium hydropower plant (Run-of river),Merowe,Mograt,Naga Hamadi,New Assiut Barrage,Renaissance,Roseires,Sabaloka,Sennar,Shereik,Sor,Tekeze 1,Tekeze 2,Tis Abay 1,Tis Abay 2,Upper Atbara
18,2033.0,1.3901,8.3886,8.089,13.6907,0.0,9.3473,19.4136,2.3936,1.7675,45.3459,0.3955,10.7853,0.2157,6.3945,10.0432,47.3655,1.6028,33.1627,0.0,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,8.9878,11.3845,0.3296,2.3368,2.6234
19,2034.0,1.3901,8.3886,8.089,13.6907,0.0,9.3473,19.4136,2.3936,1.7675,45.3459,0.3955,10.7853,0.2157,6.3945,10.0432,47.3655,1.6028,33.1627,0.0,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,8.9878,11.3845,0.3296,2.3368,2.6234
20,2035.0,1.0072,8.3886,8.089,13.6907,0.0,9.1211,19.4136,2.3936,1.7675,45.3459,0.291,10.7853,0.0929,6.3945,10.0432,47.3655,1.6028,33.1627,0.0,1.9174,0.9509,53.4936,3.2076,6.1416,0.245,12.4193,0.0325,8.9878,11.2611,0.1847,1.6974,1.6831
21,2036.0,0.7792,8.3886,8.089,13.6907,12.6146,9.0344,19.4136,2.3936,1.7675,45.3459,0.3646,10.7853,0.1426,3.8163,5.8033,47.3655,1.6028,33.1627,0.0,1.9174,0.9509,53.4936,3.2003,6.1416,0.3082,12.4193,0.0325,8.9878,11.3845,0.1847,2.3368,2.6234
22,2037.0,0.7792,8.3886,8.089,13.6907,13.9433,9.3473,19.4136,2.3936,1.7675,45.3459,0.289,10.7853,0.1426,4.6449,5.5272,47.3655,1.6028,33.1627,0.0,1.9174,0.9509,53.4936,3.8158,6.1416,0.3089,12.4193,0.0325,8.9878,9.1812,0.1847,2.0807,2.6234
23,2038.0,0.7792,8.3886,8.089,13.3654,12.7674,9.3473,19.4136,2.3936,1.7675,45.3459,0.3955,10.7853,0.1918,4.6218,7.8316,47.3655,1.6028,33.1627,0.0,1.9174,0.9509,53.4936,3.9065,6.1416,0.2829,12.4193,0.0325,8.9878,10.0958,0.1847,1.6932,2.6234
24,2039.0,1.0072,8.3886,8.089,13.6907,11.7876,9.2803,18.8261,2.3936,1.5083,45.3459,0.3646,10.7853,0.1918,4.6218,9.9467,47.3655,1.6028,33.1627,4.2372,1.9174,0.9509,53.4936,4.0445,6.1416,0.3089,12.2078,0.0325,8.9878,9.7999,0.1847,1.6932,2.6234
25,2040.0,1.0072,8.3886,8.089,13.6076,12.5576,9.2372,19.4136,2.3936,1.7675,45.3459,0.3646,10.7853,0.1918,6.3945,10.0432,47.3655,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,3.6013,6.1416,0.3089,12.4193,0.0325,8.9878,11.3845,0.1847,2.3368,2.6234
26,2041.0,1.0072,8.3886,8.089,13.6907,13.1372,9.3473,19.4136,2.3936,1.7675,45.3459,0.384,10.7853,0.1131,5.4121,10.0432,47.3655,1.6028,30.0648,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3089,12.4193,0.0325,8.9878,11.3845,0.1847,2.3368,2.6234
27,2042.0,1.0072,8.3886,8.089,13.6907,13.5432,9.3275,19.4136,2.3936,1.7675,45.3459,0.3192,9.6963,0.1623,4.9197,9.9305,47.3655,1.6028,27.5327,4.6592,1.9174,0.9509,53.4936,3.8593,6.1416,0.0,12.4193,0.0325,8.9878,11.3845,0.1847,2.3368,2.6234
28,2043.0,1.0072,8.3886,8.089,13.6907,13.9433,9.035,17.4553,2.3936,1.7675,45.3459,0.3192,10.3032,0.1623,4.7939,9.586,47.3655,1.6028,27.0979,4.6592,1.9174,0.9509,53.4936,3.4657,5.8671,0.0,12.4193,0.0318,8.0028,11.3845,0.1527,2.3368,2.2694
29,2044.0,0.8719,8.3886,8.089,13.6907,13.9433,8.9294,18.5458,2.3936,1.4662,45.3459,0.3192,10.3032,0.0,3.9994,9.8069,47.3655,1.6028,24.7355,4.5041,1.9174,0.9509,53.4936,3.8637,5.8671,0.0,11.1279,0.0318,8.9878,8.4387,0.1527,2.0807,2.2694
30,2045.0,0.8719,8.3886,8.089,13.2019,13.9433,8.9294,18.5458,2.3936,1.4662,45.3459,0.3192,10.3032,0.0,2.9621,9.9791,47.3655,1.6028,23.9908,4.5041,1.9174,0.9509,53.4936,3.8637,5.8671,0.0,10.6187,0.0318,8.0028,8.4937,0.1527,2.3368,2.2694
31,2046.0,0.8719,8.3886,8.089,13.6907,13.9433,8.9294,18.5458,2.3936,1.4662,45.3459,0.3192,10.3032,0.0,3.9994,10.0432,47.3655,1.6028,23.8863,4.5041,1.9174,0.9509,49.0009,0.0,5.8671,0.0,11.0962,0.0318,8.0028,10.4362,0.1527,2.3368,2.2694
32,2047.0,0.8719,8.3886,8.089,13.6907,13.9433,8.6094,18.5458,2.3936,1.4662,45.3459,0.3192,10.3032,0.0,4.0225,9.9297,47.3655,1.6028,23.4785,4.5041,1.9174,0.9509,48.1226,0.0,5.8671,0.0,11.0514,0.0318,5.6376,10.0781,0.1527,2.3368,2.6234
33,2048.0,0.6439,8.3886,8.089,13.6907,13.7768,8.2053,18.5458,2.3936,1.4662,45.3459,0.3192,10.3032,0.0,2.9621,10.0432,47.3655,1.6028,23.4785,4.5041,1.9174,0.9509,42.8552,0.0,5.8671,0.0,11.3154,0.0318,7.128,11.0075,0.1527,2.3368,2.6234
34,2049.0,0.6439,8.3886,8.089,13.6907,13.9433,8.4535,18.5458,2.3936,1.4662,45.3459,0.3192,10.3032,0.0,2.9621,10.0432,47.3655,1.6028,23.4785,4.5041,1.9174,0.9509,38.8185,0.0,5.8671,0.0,11.2231,0.0318,7.128,10.6821,0.1527,2.0723,2.6234
35,2050.0,0.6439,8.3886,8.089,13.6907,13.9433,8.7158,18.5458,2.3936,0.7985,45.3459,0.3192,10.3032,0.0,2.9621,10.0432,45.0903,1.6028,23.7505,4.5041,1.9174,0.9509,34.6505,0.0,5.8671,0.0,11.8727,0.0318,7.128,9.0083,0.1527,2.3368,2.6234
36,2051.0,0.6439,8.3886,8.089,12.3813,13.9433,8.2514,18.5458,2.3936,1.1508,45.3459,0.3192,10.3032,0.0,2.9621,10.0432,42.3333,1.6028,23.5542,4.5041,1.9174,0.9509,34.1713,0.0,5.8671,0.0,11.8727,0.0318,8.9878,10.1369,0.1527,1.8491,2.6234
37,2052.0,0.6439,8.3886,8.089,13.6907,13.9433,8.9294,17.0321,2.3936,1.4662,45.3459,0.3192,10.3032,0.0,3.9994,10.0432,41.1111,1.6028,23.4785,4.5041,1.9174,0.9509,33.6718,0.0,5.8671,0.0,11.4235,0.0318,5.6376,10.1369,0.1527,2.3368,2.6234
38,2053.0,0.6439,8.3886,8.089,11.9304,13.9433,8.9294,16.6352,2.3936,0.0,45.3459,0.2721,10.3032,0.0,6.1087,10.0432,39.5897,1.6028,23.4785,4.0873,1.9174,0.9509,34.3273,0.0,5.8671,0.0,10.5667,0.0318,4.1634,10.1369,0.1527,1.47,2.6234
39,2054.0,0.8694,8.3886,8.089,11.628,13.9433,8.9294,17.0282,2.3936,0.0,45.3459,0.2721,9.2119,0.0,5.0713,9.9383,37.5646,1.6028,23.4785,4.0549,1.9174,0.9509,33.8428,0.0,5.8671,0.0,10.9734,0.0318,4.1634,11.0518,0.1527,1.47,2.6234
40,2055.0,0.6439,8.3886,8.089,13.6907,13.8039,8.9294,16.7405,2.3936,0.0,45.3459,0.2721,9.2418,0.0,5.0713,9.9692,37.3409,1.6028,22.9246,4.5041,1.9174,0.9509,29.8563,0.0,5.8671,0.0,10.956,0.0318,4.1634,9.6196,0.2061,2.3368,2.6234
41,2056.0,0.7792,8.3886,8.089,13.2019,13.9433,8.9294,16.5666,2.3936,0.0,45.3459,0.2721,9.2418,0.0,5.0713,9.7177,35.5036,1.2712,23.4785,4.5041,1.9174,0.9509,29.4222,0.0,5.8671,0.0,11.201,0.0318,4.1634,9.0706,0.1527,1.8533,2.6234
42,2057.0,0.6439,8.3886,8.089,13.2019,13.6266,8.9294,17.0501,2.3936,0.0,45.3459,0.3192,9.2418,0.0,5.0713,9.9886,33.5494,1.2712,23.4785,4.5041,1.9174,0.9509,28.9719,0.0,5.8671,0.0,11.524,0.0318,4.1634,9.0288,0.2061,1.8533,2.6234
43,2058.0,0.6439,8.3886,8.089,13.2019,13.0401,8.9294,16.6352,2.3936,0.0,45.3459,0.3192,10.3032,0.0,5.0713,10.0432,33.7504,1.2712,23.4785,4.5041,1.9174,0.9509,28.505,0.0,5.8671,0.0,11.0413,0.0318,4.1634,7.141,0.2061,1.4658,2.6234
