,y,Biomass,Biomass exports,Coal,Coal Production,Coal exports,Crude Oil production,Crude oil Refinery,Crude oil exports,Gas,Geothermal,HFO exports,Hydro,LFO exports,Natural gas extraction,Oil,Solar CSP,Solar FPV,Solar PV,Wind
0,2015.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
1,2016.0,229.84,0.0,0.0,0.15,0.0,113.84,72.35,0.0,5060.65,0.0,0.0,12612.939999999999,0.0,1.39,276.23,0.0,0.0,0.0,0.01
2,2017.0,13.95,0.0,0.0,0.2,0.0,119.76999999999998,70.91,0.0,5250.13,0.0,0.0,13393.89,0.0,1.42,261.19000000000005,0.0,0.0,0.0,0.01
3,2018.0,150.52,0.0,0.0,0.2,0.0,132.09,71.36,0.0,4888.7,0.0,0.0,13622.009999999998,0.0,1.45,258.86,0.0,0.0,0.0,0.02
4,2019.0,229.84,0.0,0.0,0.22,0.0,126.74000000000001,70.24,0.0,4893.39,0.0,0.0,13641.3,0.0,1.68,258.86,0.0,0.0,0.0,0.02
5,2020.0,229.84,0.0,0.0,0.23,0.0,105.8,69.14,0.0,5681.0199999999995,0.06,0.0,13641.3,0.0,1.71,258.0,0.0,0.0,0.01,0.02
6,2021.0,218.34,0.0,0.0,0.23,0.0,107.14999999999999,70.58000000000001,0.0,5665.38,0.15,0.0,13641.3,0.0,1.72,245.17000000000002,0.0,0.0,0.02,0.02
7,2022.0,206.85000000000002,0.0,0.0,0.24,0.0,108.49,72.01,0.0,5593.5,0.2,0.0,13641.3,0.0,1.73,232.27,0.18,0.0,0.03,0.02
8,2023.0,195.36,0.0,0.0,0.24,0.0,109.83,73.46000000000001,0.0,5306.530000000001,0.3,0.0,14201.849999999999,0.0,1.71,228.98,0.57,0.0,0.06,0.04
9,2024.0,242.19,0.0,0.0,0.24,0.0,111.17,74.92,0.0,5536.53,0.43,0.0,15779.269999999999,0.0,1.75,209.48000000000002,0.63,0.0,0.08,0.04
10,2025.0,231.57,0.0,2279.76,3.25,0.0,112.67,89.46000000000001,0.0,5394.5,0.53,0.0,17869.34,0.0,2.19,193.47000000000003,0.88,0.0,0.11,0.04
11,2026.0,192.19,0.0,4559.52,1.35,0.0,112.82,90.51,0.0,4951.46,0.53,0.0,18122.82,0.0,2.14,180.58,0.88,0.0,0.14,0.05
12,2027.0,208.58,0.0,4559.52,0.0,0.0,103.85,83.7,0.0,4975.73,0.53,0.0,18212.01,0.0,2.16,167.68,0.88,0.0,0.15,0.05
13,2028.0,197.09,0.0,4559.52,0.0,0.0,94.86999999999999,76.93,0.0,4942.41,0.53,0.0,19099.2,0.0,2.18,154.76,0.88,0.0,0.18,0.060000000000000005
14,2029.0,185.6,0.0,4559.52,0.0,0.0,85.89,70.17,0.0,4826.44,0.53,0.0,19107.399999999998,0.0,1.77,141.88,0.88,0.0,0.22,0.06999999999999999
15,2030.0,174.11,0.0,4559.52,0.0,0.0,54.43,51.99999999999999,0.0,4687.48,0.53,0.0,21512.75,0.0,1.78,128.97,0.88,0.0,0.28,0.06999999999999999
16,2031.0,162.62,0.0,4559.52,0.0,0.0,0.0,16.98,0.0,4933.05,0.53,0.0,21512.75,0.0,1.82,116.07000000000001,0.88,0.0,0.45,0.08
17,2032.0,151.13,0.0,4559.52,0.0,0.0,0.0,17.09,0.0,5216.38,0.53,0.0,21512.75,0.0,1.86,103.18,0.88,0.0,0.61,0.09000000000000001
18,2033.0,139.63,0.0,4559.52,0.0,0.0,0.0,17.23,0.0,5366.59,0.53,0.0,21512.75,0.0,1.9,267.43,0.88,0.0,0.74,0.1
19,2034.0,128.14000000000001,0.0,5072.66,0.0,0.0,0.0,17.35,0.0,5392.21,0.53,0.0,21512.75,0.0,1.93,466.29999999999995,0.88,0.0,0.89,0.12
20,2035.0,116.65,0.0,5832.58,0.0,0.0,0.0,18.060000000000002,0.0,5380.36,0.53,0.0,21258.239999999998,0.0,1.94,533.11,0.88,0.0,1.03,0.13
21,2036.0,116.65,0.0,6592.5,0.0,0.0,0.0,18.610000000000003,0.0,5509.85,0.53,0.0,21566.22,0.0,1.95,557.7900000000001,0.88,0.0,1.18,0.15000000000000002
22,2037.0,116.65,0.0,7352.42,0.0,0.0,0.0,19.17,0.0,5679.65,0.53,0.0,21640.37,0.0,1.43,539.68,0.88,0.0,1.33,0.16999999999999998
23,2038.0,116.65,0.0,8112.34,0.0,0.0,0.0,24.52,0.0,5836.05,0.5800000000000001,0.0,21700.24,0.0,1.45,521.48,0.88,0.0,1.48,0.16999999999999998
24,2039.0,116.65,0.0,8872.26,0.0,0.0,0.0,25.11,0.0,5733.63,0.63,0.0,22064.44,0.0,1.47,489.91,0.88,0.0,1.6099999999999999,0.19
25,2040.0,116.65,0.0,9632.18,0.0,0.0,0.0,25.720000000000002,0.0,5769.61,0.68,0.0,22259.13,0.0,1.06,214.43,0.88,0.0,1.76,0.19
26,2041.0,116.65,0.0,10258.92,0.0,0.0,0.0,26.200000000000003,0.0,5840.66,0.68,0.0,22011.27,0.0,1.09,0.0,0.88,0.0,2.04,0.2
27,2042.0,116.65,0.0,10638.88,0.0,0.0,0.0,26.69,0.0,6010.27,0.68,0.0,21618.95,0.0,0.02,0.0,0.88,0.0,2.32,0.21000000000000002
28,2043.0,116.65,0.0,11018.84,0.0,0.0,0.0,27.200000000000003,0.0,6177.59,0.68,0.0,21302.41,0.0,0.02,0.0,0.88,0.0,2.6,0.22
29,2044.0,116.65,0.0,11398.8,0.0,0.0,0.0,27.71,0.0,6367.21,0.71,0.0,20984.58,0.0,0.02,0.0,0.88,0.0,2.8800000000000003,0.24
30,2045.0,116.65,0.0,11658.48,0.0,0.0,0.0,28.23,0.0,6593.449999999999,0.6599999999999999,0.0,20820.1,0.0,0.02,0.0,0.88,0.0,3.1599999999999997,0.26
31,2046.0,116.65,0.0,11658.48,0.0,0.0,0.0,28.77,0.0,6783.94,0.56,0.0,20470.04,0.0,0.02,0.0,0.88,0.0,3.44,0.27
32,2047.0,116.65,0.0,11791.56,0.0,0.0,0.0,29.310000000000002,0.0,7139.28,0.51,0.0,20342.48,0.0,0.02,0.0,0.71,0.0,3.6999999999999997,0.29
33,2048.0,116.65,0.0,12933.699999999999,0.0,0.0,0.0,29.87,0.0,8332.539999999999,0.41000000000000003,0.0,20229.79,0.0,0.02,0.0,0.31,0.0,3.97,0.32
34,2049.0,116.65,0.0,13313.66,0.0,0.0,0.0,30.450000000000003,0.0,8228.6,0.28,0.0,20140.059999999998,0.0,0.02,0.0,0.26,0.0,4.24,0.33999999999999997
35,2050.0,116.65,0.0,13693.619999999999,0.0,0.0,0.0,31.03,0.0,8448.89,0.18,0.0,20049.55,0.0,0.02,0.0,0.0,0.0,4.53,0.39
36,2051.0,116.65,0.0,14073.58,0.0,0.0,0.0,31.490000000000002,0.0,8695.62,0.18,0.0,19947.43,0.0,0.02,0.0,0.0,0.0,4.750000000000001,0.4
37,2052.0,116.65,0.0,14452.41,0.0,0.0,0.0,31.970000000000002,0.0,8953.72,0.18,0.0,19774.17,0.0,0.02,0.0,0.0,0.0,5.02,0.42
38,2053.0,116.65,0.0,14831.34,0.0,0.0,0.0,32.44,0.0,9224.26,0.18,0.0,19510.5,0.0,0.02,0.0,0.0,0.0,5.26,0.43
39,2054.0,116.65,0.0,15211.3,0.0,0.0,0.0,32.93,0.0,9507.74,0.18,0.0,19412.68,0.0,0.02,0.0,0.0,0.0,5.4799999999999995,0.45
40,2055.0,116.65,0.0,14071.42,0.0,0.0,0.0,28.65,0.0,10236.72,0.18,0.0,19305.36,0.0,0.01,0.0,0.0,0.0,5.72,0.46
41,2056.0,116.65,0.0,12931.539999999999,0.0,0.0,0.0,29.15,0.0,10984.56,0.18,0.0,19264.89,0.0,0.01,0.0,0.0,0.0,5.91,0.49
42,2057.0,116.65,0.0,14071.42,0.0,0.0,0.0,29.66,0.0,11164.0,0.18,0.0,19283.78,0.0,0.01,0.0,0.0,0.0,6.07,0.52
43,2058.0,116.65,0.0,15236.6,0.0,0.0,0.0,30.17,0.0,11318.140000000001,0.18,0.0,19222.54,0.0,0.01,0.0,0.0,0.0,6.250000000000001,0.56
44,2059.0,116.65,0.0,16371.01,0.0,0.0,0.0,30.7,0.0,11479.699999999999,0.18,0.0,19076.260000000002,0.0,0.01,0.0,0.0,0.0,6.470000000000001,0.5900000000000001
45,2060.0,116.65,0.0,17592.34,0.0,0.0,0.0,31.23,0.0,11665.039999999999,0.18,0.0,18805.829999999998,0.0,0.0,0.0,0.03,0.0,6.79,0.62
46,2061.0,116.65,0.0,18014.59,0.0,0.0,0.0,31.67,0.0,12059.32,0.18,0.0,18703.19,0.0,0.01,0.0,0.19,0.0,7.0600000000000005,0.6200000000000001
47,2062.0,116.65,0.0,18394.550000000003,0.0,0.0,0.0,32.1,0.0,12457.259999999998,0.18,0.0,18317.17,0.0,0.0,0.0,0.37,0.0,7.4,0.62
48,2063.0,116.65,0.0,18774.510000000002,0.0,0.0,0.0,32.55,0.0,12871.06,0.18,0.0,17965.609999999997,0.0,0.0,0.0,0.57,0.0,7.74,0.6
49,2064.0,58.32,0.0,19154.47,0.0,0.0,0.0,32.99,0.0,13301.95,0.16,0.0,17676.44,0.0,0.0,0.0,0.83,0.0,8.09,0.6
50,2065.0,0.0,0.0,19534.43,0.0,0.0,0.0,33.45,0.0,13549.38,0.15,0.0,17283.81,0.0,0.0,0.0,1.53,0.0,8.409999999999998,0.61
51,2066.0,0.0,0.0,19964.66,0.0,0.0,0.0,33.9,0.0,13835.609999999999,0.16,0.0,17419.55,0.0,0.0,0.0,2.24,0.0,8.66,0.61
52,2067.0,0.0,0.0,20415.63,0.0,0.0,0.0,34.36,0.0,14123.09,0.18,0.0,19297.489999999998,0.0,0.0,0.0,2.95,0.0,8.780000000000001,0.61
53,2068.0,0.0,0.0,20872.62,0.0,0.0,0.0,34.83,0.0,14356.5,0.18,0.0,18710.29,0.0,0.0,0.0,3.46,0.0,8.82,0.6799999999999999
54,2069.0,0.0,0.0,21333.85,0.0,0.0,0.0,35.3,0.0,14918.35,0.2,0.0,18744.359999999997,0.0,0.0,0.0,3.53,0.0,9.319999999999999,0.64
55,2070.0,0.0,0.0,21810.09,0.0,0.0,0.0,35.78,0.0,15331.49,0.16,0.0,19119.949999999997,0.0,0.0,0.0,4.49,0.0,9.56,0.67
