,y,CO2
0,2015,0.0
1,2016,240.1178
2,2017,238.7097
3,2018,237.1818
4,2019,239.7466
5,2020,239.77
6,2021,244.3852
7,2022,248.4373
8,2023,253.0434
9,2024,259.46979999999996
10,2025,321.7893
11,2026,339.77889999999996
12,2027,345.75700000000006
13,2028,351.42729999999995
14,2029,317.1196
15,2030,323.82939999999996
16,2031,330.3198
17,2032,337.2862
18,2033,345.22990000000004
19,2034,356.2977
20,2035,366.1333
21,2036,376.83110000000005
22,2037,388.3612
23,2038,399.98150000000004
24,2039,410.93800000000005
25,2040,380.12460000000004
26,2041,387.911
27,2042,398.13779999999997
28,2043,406.0746
29,2044,413.6447
30,2045,420.7981
31,2046,427.14309999999995
32,2047,434.8738000000001
33,2048,449.4817
34,2049,457.7858
35,2050,466.5084
36,2051,474.9198
37,2052,483.39129999999994
38,2053,492.10319999999996
39,2054,501.1132
40,2055,502.37420000000003
41,2056,503.92429999999996
42,2057,517.5197
43,2058,531.379
44,2059,545.2259
45,2060,559.1129999999999
46,2061,569.5242
47,2062,579.5678
48,2063,589.7436
49,2064,600.1547
50,2065,609.0878999999999
51,2066,618.4764
52,2067,628.2631
53,2068,638.7365
54,2069,651.1822
55,2070,661.3773000000001
