,y,Biomass extraction/production/refining
8,2023,2310.7237999999998
9,2024,2358.0240999999996
10,2025,2382.6773000000003
11,2026,2411.8116
12,2027,2442.2090000000003
13,2028,2473.4386999999997
14,2029,2503.5151
15,2030,2554.3762999999994
16,2031,2551.6646
17,2032,2548.6211999999996
18,2033,2545.3011
19,2034,2532.5933999999997
20,2035,2540.1176000000005
21,2036,2526.4242999999997
22,2037,2512.8106000000002
23,2038,2499.3081
24,2039,2485.9522
25,2040,2472.7695
26,2041,2491.0811
27,2042,2509.3408000000004
28,2043,2522.9873000000002
29,2044,2532.0416999999998
30,2045,2541.101
31,2046,2550.0712000000003
32,2047,2559.0566999999996
33,2048,2568.0575
34,2049,2577.0708999999997
35,2050,2586.0928
36,2051,2604.8390999999997
37,2052,2624.4677
38,2053,2640.4312000000004
39,2054,2655.2000000000003
40,2055,2670.9612
41,2056,2687.7637999999997
42,2057,2705.6602
43,2058,2724.7009
44,2059,2744.9391
45,2060,2766.4339999999997
46,2061,2789.2139999999995
47,2062,2813.3917
48,2063,2839.0426
49,2064,2866.2475
50,2065,2895.0917
51,2066,2925.6651
52,2067,2958.0635
53,2068,2992.3898
54,2069,3026.3169000000003
55,2070,3062.3936
