,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal
46,2061.0,7.558,0.08700000000000001,46.982,22.902,3.5,16.8,135.73899999999998,8.53,34.0,2.3,4.5200000000000005
47,2062.0,7.558,0.08700000000000001,48.75600000000001,22.902,3.5,17.2,141.11700000000002,9.036,35.5,2.4,4.5200000000000005
48,2063.0,7.558,0.08700000000000001,51.617000000000004,22.902,3.5,17.6,145.468,10.247,37.0,2.5,4.5200000000000005
49,2064.0,7.244999999999999,0.08700000000000001,53.824000000000005,22.902,3.5,18.0,150.984,11.875,38.5,2.6,4.5200000000000005
50,2065.0,7.244999999999999,0.08700000000000001,54.87,22.902,3.5,18.4,156.468,13.344000000000001,40.0,2.7,4.5200000000000005
51,2066.0,7.029,0.078,57.973,22.902,3.5,18.8,164.231,15.163,40.5,2.8,4.5200000000000005
52,2067.0,7.999,0.061,57.816,22.87,3.5,19.2,169.25300000000001,16.163,41.0,2.9,4.5200000000000005
53,2068.0,7.718999999999999,0.061,59.414,22.87,3.5,19.6,176.746,16.569,41.5,3.0,4.750000000000001
54,2069.0,7.356999999999999,0.061,61.252,25.037,3.5,20.0,181.65300000000002,17.243,42.0,3.0,4.750000000000001
55,2070.0,7.1579999999999995,0.052,64.034,25.037,3.5,20.4,186.79799999999997,18.729,42.5,3.0,5.000000000000001
