,y,Coal,Oil,Gas,Hydro,Nuclear,Solar CSP,Solar PV,Solar FPV,Wind,Biomass,Geothermal,power_trade
43,2058.0,194.1,0.75,805.3000000000001,347.88,93.82,228.65,806.36,40.519999999999996,386.47,51.91,119.44,0.47999999999998977
44,2059.0,195.38,0.75,843.28,348.6,93.82,234.51,839.3100000000001,40.519999999999996,399.24,53.49,120.22,0.0
45,2060.0,194.18,0.74,874.47,343.87,93.82,240.37,873.53,55.870000000000005,412.0,55.08,121.17,0.0
46,2061.0,192.83,0.74,903.2299999999999,340.15,93.82,246.23,908.38,57.03,431.11,56.66,121.17,0.0
47,2062.0,191.02,0.73,933.31,336.48,93.82,252.1,943.12,59.86,450.21,58.24,121.17,0.0
48,2063.0,189.70000000000002,0.68,965.9699999999999,336.26,93.82,257.96,971.41,66.71,469.32,59.83,121.17,2.842170943040401e-14
49,2064.0,178.82,0.78,1002.3900000000001,336.6700000000001,93.82,263.82,1006.0799999999999,74.59,488.42,61.41,121.17,0.0
50,2065.0,176.31,0.8300000000000001,1034.6,339.70000000000005,93.82,269.69,1040.79,76.97,507.53,62.99,119.99,0.960000000000008
51,2066.0,161.83999999999997,0.81,1083.22,335.32000000000005,93.82,275.55,1086.39,88.03999999999999,513.87,64.58,121.17,0.9599999999999795
52,2067.0,177.97,0.77,1098.83,358.51,93.82,281.41,1108.83,80.03,520.22,66.16,117.56,0.960000000000008
53,2068.0,165.91,0.75,1085.8999999999999,349.21,93.82,287.27,1151.21,87.46,526.56,67.75,125.63,18.889999999999986
54,2069.0,155.09,0.75,1044.7,372.36000000000007,93.82,293.13,1178.22,84.02,532.9,67.75,126.32000000000001,45.33000000000001
55,2070.0,148.63,0.72,1008.87,377.48999999999995,93.82,299.0,1203.34,92.61999999999999,539.25,67.75,131.11,146.78000000000003
