,y,Amarti-Neshe,Aswan 1,Aswan 2,Baro,Bedden,Birbir,Chemoga Yeda,Dagash,Dal,Esna,Finchaa,Genji,High Aswan Dam,Jebel Aulia,Kajbar,Karadobi,Kashm El Girba ,Lake Tana - Beles,Lakki,Large hydropower plant (Dam),Lower Dedessa,Medium hydropower plant (Run-of river),Merowe,Mograt,Naga Hamadi,New Assiut Barrage,Renaissance,Roseires,Sabaloka,Sennar,Shereik,Sor,Sor 2,Tams,Tekeze 1,Tekeze 2,Tis Abay 1,Tis Abay 2,Upper Atbara,Upper Mandaya
16,2031.0,1.3901,8.3886,8.089,13.6907,11.8216,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,0.0,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
17,2032.0,1.3901,8.3886,8.089,13.6907,12.4405,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,0.0,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
18,2033.0,1.3901,8.3886,8.089,13.6907,12.9535,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,0.0,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
19,2034.0,1.3901,8.3886,8.089,13.6907,13.354,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,0.0,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
20,2035.0,1.3901,8.3886,8.089,13.6907,13.6567,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,2.2017,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
21,2036.0,1.3901,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,2.9222,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
22,2037.0,1.3901,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,3.8906,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
23,2038.0,1.3901,8.3886,8.089,13.6907,10.7037,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,8.0726,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
24,2039.0,1.3901,8.3886,8.089,13.6907,10.2932,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,9.4445,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
25,2040.0,1.3901,8.3886,8.089,13.6907,10.8208,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,9.9387,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
26,2041.0,1.3901,8.3886,8.089,13.6907,11.6718,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,10.0432,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.3895,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
27,2042.0,1.3901,8.3886,8.089,13.6907,12.3541,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,10.0432,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.0,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
28,2043.0,1.3901,8.3886,8.089,13.6907,12.9994,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,0.0,0.2157,6.3945,10.0432,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.0,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
29,2044.0,1.3901,8.3886,8.089,13.6907,13.9433,0.0,0.0,9.3473,19.4136,2.3936,1.7675,0.0,45.3459,0.3955,10.7853,0.0,0.0,6.3945,9.6464,47.3655,8.2388,1.6028,33.1627,4.6592,1.9174,0.9509,53.4936,4.0445,6.1416,0.0,12.4193,0.0714,0.0,14.9796,8.9878,11.3845,0.3296,2.3368,2.6234,0.0
